P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
20.78,2.93,29.1,5.32,5.95
6.06,2.53,21.39,3.94,5.64
5.47,2.51,26.16,6.3,6.21
5.38,3.44,24.37,6.9,5.98
5.68,5.12,25.41,6.84,5.64
5.45,5.23,24.82,6.27,6.21
5.56,5.11,23.68,6.4,5.33
5.38,5.36,25.86,6.78,6.26
6.02,5.82,24.42,7.23,6.63
5.68,6.68,24.24,6.25,5.27
5.79,6.88,24.47,6.21,5.22
5.48,4.93,23.74,6.06,5.95
5.58,5.12,24.84,4.88,6.25
5.42,5.35,25.28,4.34,5.19
6.1,5.73,24.15,4.58,3.52
7.17,6.11,25.06,4.19,2.24
5.34,4.99,23.83,5.18,2.32
5.51,5.79,23.32,4.21,2.16
5.64,5.57,24.63,4.85,2.17
5.84,5.13,23.9,4.62,2.53
5.78,5.07,24.63,7.16,4.12
5.93,5.24,24.02,6.3,4.57
5.71,5.22,24.05,6.99,5.14
5.71,6.47,24.71,6.41,5.37
6.04,5.05,25.92,7.63,5.55
5.56,5.18,24.35,6.27,5.79
6.95,5.04,24.59,6.1,5.88
6.46,5.43,23.9,6.68,5.32
6.11,5.04,24.44,6.33,5.34
5.92,6.11,24.13,6.59,5.02
5.84,6.15,24.5,6.56,5.9
5.69,5.67,23.42,6.31,5.62
6.23,8.09,10.81,6.6,5.22
5.38,5.01,10.15,7.15,5.18
5.28,5.06,9.47,6.91,5.21
2.83,5.52,12.33,6.21,6.12
2.84,6.13,15.82,6.12,5.67
2.85,3.04,16.54,6.58,5.52
3.79,2.71,25.25,6.66,5.92
4.73,2.1,25.42,6.72,5.35
6.38,2.0,23.74,6.56,5.19
5.58,2.06,23.97,6.23,4.01
6.14,2.06,26.76,6.43,3.96
5.37,2.27,23.85,6.14,3.59
5.27,3.88,23.87,7.46,4.1
6.12,4.95,24.45,6.7,4.15
6.1,4.99,23.67,6.27,4.38
6.13,5.09,24.85,6.33,5.59
5.94,3.38,24.5,6.26,4.88
5.54,2.18,26.91,6.46,5.09
5.58,1.99,24.68,6.16,7.55
5.72,2.08,24.85,6.66,5.3
5.75,2.06,23.61,6.71,5.74
5.42,2.09,24.27,6.23,5.72
5.9,2.03,21.85,6.12,5.58
5.33,2.32,23.92,6.54,5.77
5.5,2.55,24.81,6.57,5.37
5.8,4.15,21.69,6.49,6.0
5.41,3.93,24.69,6.06,7.43
5.38,5.58,22.21,6.16,6.2
5.68,5.79,24.13,7.04,5.29
5.61,5.57,23.35,6.16,5.6
5.62,5.3,24.14,6.07,6.92
5.32,5.21,24.2,6.7,6.38
5.93,5.35,17.19,4.38,5.55
6.07,5.29,18.87,3.42,5.67
5.58,5.14,24.56,3.27,5.59
5.98,5.71,23.26,3.24,5.53
5.27,5.65,24.07,3.88,3.59
5.8,5.56,24.95,6.3,2.71
5.54,5.63,24.34,6.56,2.74
5.72,5.19,22.04,6.18,3.13
5.58,5.11,22.24,6.19,3.53
5.41,5.22,21.7,6.35,4.26
6.42,5.9,21.69,6.29,4.17
5.39,5.83,26.11,6.69,4.31
6.01,5.0,24.41,6.54,4.75
5.8,5.28,23.74,6.55,7.91
5.56,6.0,23.44,6.68,5.77
5.37,6.42,24.23,6.82,5.39
5.36,5.27,24.08,7.25,5.4
5.97,4.99,24.36,6.13,5.71
5.76,5.04,25.66,6.21,7.01
5.85,4.96,21.36,6.69,5.32
5.5,5.17,23.54,7.91,5.85
5.57,5.62,24.26,6.07,5.7
5.32,5.52,22.4,6.71,5.71
5.46,5.15,24.69,8.08,5.11
6.5,5.18,11.14,6.96,5.15
4.78,5.0,11.79,6.63,5.16
5.02,2.68,13.11,6.66,5.49
5.13,2.65,15.58,6.5,6.16
4.96,2.67,15.75,6.86,5.62
5.59,2.7,20.16,6.95,5.19
5.05,3.54,24.55,6.26,5.7
4.81,2.96,24.56,3.65,5.4
6.78,2.91,23.26,3.94,4.19
4.71,3.04,23.06,3.21,3.81
4.82,5.66,21.85,2.85,3.57
4.75,4.77,22.51,2.5,3.54
5.4,4.0,24.08,3.35,3.63
5.49,2.99,24.17,2.64,3.53
5.6,3.02,24.14,2.59,2.29
5.58,3.36,24.04,2.46,2.26
5.89,3.95,25.92,2.49,2.2
5.49,5.33,22.65,5.97,2.22
5.8,6.75,22.58,6.91,2.64
5.96,5.22,22.14,6.21,4.14
2.58,4.98,24.91,7.01,3.53
2.3,5.1,25.32,7.5,5.0
2.3,6.3,23.91,6.46,5.78
2.34,5.42,24.5,6.35,5.57
2.39,5.19,23.93,6.51,5.67
3.23,5.01,23.04,6.2,5.42
5.63,4.93,25.27,6.31,5.42
5.73,4.92,21.27,4.58,5.19
5.77,5.28,21.68,3.35,5.19
5.42,5.29,21.71,3.26,5.42
6.54,5.37,22.61,3.24,5.67
6.02,5.01,22.01,3.84,6.35
5.58,5.86,22.29,6.33,6.33
5.54,5.44,21.57,6.2,5.37
4.13,5.17,23.93,6.16,5.27
3.7,5.0,23.96,7.19,5.59
7.11,4.9,21.74,7.02,5.21
3.85,5.03,24.32,7.53,6.16
5.12,4.85,22.32,5.74,6.05
5.67,4.92,22.66,6.55,5.64
6.5,5.15,21.63,6.58,5.23
5.39,6.05,23.91,6.33,5.27
5.81,5.92,21.99,6.27,5.16
6.3,5.12,23.24,5.89,5.26
5.34,5.1,24.35,6.52,5.72
5.59,5.12,23.04,6.23,5.67
5.35,5.15,22.34,7.36,5.43
6.24,5.62,25.18,6.76,5.63
5.74,5.68,22.81,6.54,5.91
5.54,4.95,21.59,7.01,5.35
