P-384,x448,p384_mlkem768,x448_mlkem768,mlkem768
27.64,15.75,55.31,19.54,10.22
27.35,17.09,52.07,20.44,9.51
25.5,17.3,48.6,20.28,10.9
24.4,17.46,54.9,20.81,14.72
18.35,16.98,53.17,21.31,17.17
25.81,19.75,50.49,20.74,15.28
28.97,17.49,50.32,21.5,15.04
31.71,17.53,51.64,20.05,14.55
28.64,18.38,51.34,20.32,15.35
30.41,16.84,51.23,21.02,14.65
29.63,17.37,53.2,21.0,14.58
29.91,17.26,52.42,20.99,16.5
29.23,18.3,51.66,21.62,16.2
28.66,17.22,50.3,21.58,12.88
28.7,17.57,51.25,22.33,8.51
29.33,17.38,51.15,19.91,6.95
30.3,16.97,50.88,22.33,7.02
29.48,17.3,56.15,19.91,8.84
28.88,16.83,39.6,19.88,6.87
29.03,18.12,36.94,20.03,6.9
29.39,16.87,34.81,19.93,8.8
28.98,17.68,26.36,19.66,12.73
31.2,17.35,26.63,20.24,12.81
28.5,16.94,36.03,20.65,14.11
30.22,17.23,52.78,21.73,14.71
28.88,17.48,50.47,21.2,16.9
32.5,16.89,48.43,20.23,14.66
28.75,17.16,53.08,20.62,14.7
29.01,18.27,49.64,20.83,14.89
28.53,17.62,50.65,19.75,14.92
28.73,18.24,45.38,20.11,15.94
29.11,16.73,45.7,20.28,14.5
34.49,19.72,45.64,20.3,10.25
28.96,17.06,48.93,25.52,7.82
33.42,17.84,50.49,20.22,5.81
28.64,17.19,27.91,20.07,6.08
27.9,17.39,25.03,21.16,6.21
29.16,18.46,25.62,18.52,7.05
29.11,17.01,25.56,18.2,7.74
28.95,17.63,30.61,19.55,15.16
33.49,17.23,47.85,19.81,14.3
28.1,17.65,45.36,19.26,13.36
29.46,17.52,45.57,18.9,14.93
28.84,17.57,45.36,17.58,14.52
29.19,18.0,47.19,18.7,15.57
28.84,17.77,45.83,18.26,15.93
29.05,17.09,35.1,18.08,14.83
28.97,17.18,32.33,21.73,15.2
30.18,17.06,33.13,21.36,13.55
29.03,16.97,41.91,21.09,13.2
29.91,19.07,47.67,21.23,14.53
28.36,17.25,45.42,20.49,14.52
29.16,17.01,45.48,21.33,17.01
29.89,17.25,45.69,19.99,14.72
29.01,20.56,45.78,20.02,14.85
27.32,24.32,45.97,20.04,14.56
28.74,17.25,45.91,20.15,14.43
28.43,17.15,46.24,19.47,14.66
28.41,18.49,45.38,19.35,14.8
32.69,17.38,57.23,17.67,14.48
23.74,17.47,45.65,19.02,14.69
16.36,19.45,34.99,18.65,14.75
17.23,17.65,22.86,18.64,13.98
28.56,9.92,24.03,18.72,13.57
28.73,9.13,30.1,19.07,13.25
28.69,9.18,45.73,17.8,13.38
26.72,10.76,47.42,17.91,14.42
26.03,12.72,46.99,19.83,14.78
27.94,12.78,45.84,19.28,17.2
28.02,17.72,45.92,20.08,16.08
28.49,16.97,46.15,19.69,14.66
25.31,14.57,47.1,19.94,13.92
26.44,9.36,45.53,18.08,13.18
26.31,9.14,45.48,23.86,17.94
29.5,16.79,46.84,20.02,17.16
30.52,17.2,45.49,20.48,13.17
28.38,17.12,46.73,19.77,16.7
27.15,15.61,46.82,21.05,13.16
28.6,15.48,46.28,18.29,13.65
26.81,16.42,47.94,18.48,13.04
25.52,18.02,47.93,19.1,13.3
27.59,17.38,45.67,18.28,14.68
26.01,17.24,47.55,18.15,16.57
26.26,17.04,45.59,17.98,14.8
31.58,17.32,45.95,18.66,14.44
28.31,17.02,46.73,21.3,14.55
26.17,12.24,41.51,20.04,14.67
25.57,11.99,41.97,21.73,14.6
28.01,12.18,41.25,17.63,14.71
25.68,12.22,47.91,21.44,14.48
25.97,17.37,46.48,20.41,15.71
25.79,17.17,46.22,20.82,14.78
26.44,17.19,47.79,19.89,14.67
27.57,17.36,45.84,18.25,14.85
26.09,17.0,45.98,18.09,16.75
26.3,17.82,46.59,19.21,14.41
26.05,17.28,43.18,17.77,14.74
30.21,17.99,42.42,21.15,15.59
26.84,17.61,44.0,20.91,14.42
28.07,17.16,45.75,22.25,15.08
28.44,15.44,45.95,21.35,15.18
25.92,15.29,43.0,18.63,14.47
29.27,16.96,41.55,19.44,14.61
29.0,17.29,43.77,18.24,15.1
28.57,17.39,45.48,18.02,14.51
26.1,17.04,45.76,22.94,14.61
28.56,17.44,45.84,18.3,15.27
25.76,17.25,45.47,18.61,13.36
31.33,15.82,46.45,20.12,13.46
28.23,17.11,47.22,19.87,13.0
28.58,17.3,46.68,20.28,13.27
29.42,17.07,43.95,18.72,14.58
28.55,17.29,45.99,18.47,15.1
25.53,17.28,45.7,17.89,14.59
28.4,17.49,46.47,18.17,14.26
27.52,17.68,46.45,20.51,13.69
26.44,17.2,46.28,20.47,13.21
26.32,16.21,46.51,20.53,14.79
27.61,15.68,42.39,20.23,14.89
28.67,16.65,43.04,20.73,14.43
25.41,18.22,41.98,17.77,15.54
26.19,18.41,42.42,18.39,13.31
28.54,17.54,41.71,19.36,15.36
27.94,17.57,44.25,17.91,13.35
25.68,17.46,47.05,19.62,13.31
28.0,16.36,43.88,19.3,13.56
30.38,17.39,41.52,19.61,13.71
