P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
26.64,4.31,19.55,9.64,3.66
2.98,2.79,13.07,5.65,2.95
4.42,2.73,20.3,6.97,2.57
2.98,2.79,12.83,5.75,2.64
2.81,2.57,22.2,5.43,2.69
2.77,2.48,19.7,5.62,2.81
2.94,3.98,12.84,6.55,2.63
3.14,2.71,15.1,5.19,2.59
2.94,2.61,20.44,7.76,2.66
2.65,2.54,12.89,4.7,2.47
3.06,2.43,12.85,5.98,2.75
3.29,2.46,12.81,6.58,2.38
3.78,2.45,12.66,7.65,2.64
4.32,2.4,14.16,6.28,2.35
3.52,2.46,20.23,5.76,2.33
3.06,3.17,15.37,4.8,3.48
3.4,2.44,13.93,5.19,2.43
3.01,3.51,13.36,6.2,2.71
2.69,4.72,14.25,6.28,3.02
2.79,2.4,14.4,4.65,2.79
2.7,2.54,12.39,4.55,2.48
2.82,2.47,13.7,4.75,2.44
3.71,3.47,12.94,4.96,2.83
2.81,5.99,12.79,6.11,2.8
2.79,2.42,20.05,4.68,2.82
3.59,2.56,12.38,5.11,2.68
2.7,3.49,12.84,4.66,2.74
4.03,2.47,12.64,5.01,2.75
2.93,2.44,12.74,5.05,2.55
2.78,3.14,12.36,4.76,2.33
2.81,2.96,19.87,4.77,2.67
5.27,2.6,12.34,4.54,2.33
5.85,4.43,12.99,4.65,2.76
2.78,3.5,12.33,4.68,2.72
3.67,2.48,19.34,4.96,2.94
3.6,3.25,12.87,5.17,3.09
3.43,3.2,19.76,6.29,2.74
2.76,2.41,13.96,6.17,2.46
3.04,2.46,12.73,4.63,2.35
4.22,2.47,12.66,4.63,2.28
4.48,2.47,13.65,4.67,2.48
2.71,3.72,13.9,4.95,2.54
2.81,2.91,14.46,6.96,3.29
3.88,3.13,12.77,4.62,2.34
3.14,3.12,14.56,4.64,2.52
3.67,3.96,12.76,6.9,3.05
3.3,2.53,13.84,4.93,2.95
2.82,2.44,14.0,6.41,2.39
4.38,2.49,12.63,4.58,3.11
2.81,4.05,14.5,5.06,2.4
2.8,2.49,14.0,4.65,2.35
3.73,2.52,14.03,4.79,3.03
2.68,2.4,13.2,4.47,2.43
2.67,2.43,14.38,6.3,2.94
3.02,4.29,13.99,4.76,2.43
4.77,2.46,14.08,4.67,2.43
3.23,2.5,14.03,4.74,2.42
2.87,3.97,19.29,6.27,2.39
2.62,3.12,18.74,4.34,2.33
3.39,2.48,18.22,4.58,2.43
3.99,3.18,15.38,4.46,3.18
3.19,3.4,13.55,4.52,3.14
2.8,2.72,15.67,4.25,2.38
2.69,2.59,12.85,4.56,2.53
2.85,2.46,12.96,4.49,2.46
3.9,2.5,12.6,4.58,2.4
2.72,2.5,12.75,4.73,3.21
2.84,2.45,12.22,4.59,2.47
3.25,2.41,12.39,4.65,3.2
3.29,4.03,19.2,6.66,2.99
2.86,2.68,18.96,4.42,3.01
2.82,2.44,22.23,6.38,2.36
2.88,2.42,15.68,4.62,2.44
3.1,3.89,13.03,4.61,2.32
3.5,2.52,12.89,6.46,2.33
2.88,2.58,17.81,4.46,3.98
2.86,2.46,16.43,4.63,3.06
2.78,3.88,16.71,4.47,2.2
3.33,2.89,13.86,4.65,2.4
3.96,3.0,13.38,4.66,2.34
2.91,2.47,13.17,4.82,2.38
2.76,2.51,14.9,4.7,2.5
2.83,3.42,12.85,4.49,2.26
2.75,2.33,12.68,4.63,2.43
4.64,2.98,19.57,4.6,2.41
2.88,3.14,13.01,4.79,2.27
2.79,3.11,15.94,4.84,2.38
2.81,2.42,12.85,5.04,3.09
2.82,2.38,13.09,6.71,2.46
3.62,2.75,13.32,5.88,2.27
2.92,2.4,12.75,4.71,3.0
