P-384,x448,p384_mlkem768,x448_mlkem768,mlkem768
10.83,5.98,23.95,11.1,5.34
7.47,5.46,17.67,8.87,4.84
7.64,5.63,17.23,8.76,5.32
10.1,5.68,17.4,8.88,4.45
7.38,5.64,25.94,8.52,4.33
7.8,5.68,21.01,8.79,4.38
7.52,5.32,23.34,8.39,4.99
7.41,5.42,20.69,9.7,4.67
7.45,5.31,21.62,8.53,4.91
7.24,5.34,17.88,9.91,4.32
7.67,5.67,17.54,8.6,4.8
10.66,5.43,18.14,12.51,7.86
7.56,8.35,17.54,8.18,4.54
10.37,7.61,17.47,8.49,6.81
7.63,5.19,17.38,9.32,4.46
7.9,5.82,17.32,8.45,4.5
7.46,5.33,20.68,8.37,4.35
7.86,6.73,20.35,9.38,5.13
7.92,5.16,19.51,12.05,6.25
11.01,5.33,17.36,12.99,4.5
7.27,5.18,17.31,8.38,6.2
7.38,5.35,17.43,9.22,4.39
7.38,5.31,17.53,8.33,5.45
9.32,5.64,17.01,10.41,6.46
7.25,7.47,18.09,8.62,4.57
7.33,5.37,26.06,9.19,4.6
7.35,5.28,20.83,8.6,4.63
7.33,5.32,16.9,8.46,5.18
7.26,5.28,17.34,8.47,4.5
7.32,5.35,17.56,8.39,4.4
7.65,5.22,17.5,10.31,4.41
7.41,5.3,20.56,8.47,4.46
7.45,5.4,17.09,8.52,4.35
7.78,5.15,26.47,12.47,4.77
7.42,5.38,17.09,9.5,4.53
7.35,5.41,19.83,12.18,5.46
7.65,7.42,17.46,9.79,6.73
7.38,5.33,26.29,8.74,4.39
7.44,7.65,17.69,12.09,5.56
7.37,5.32,17.5,8.67,5.0
7.19,5.37,26.34,12.21,4.45
9.34,5.19,17.44,8.5,4.86
10.15,5.31,17.57,8.44,4.39
10.14,5.35,25.84,8.74,4.33
10.26,5.14,20.55,8.31,5.42
10.15,5.33,19.2,8.59,5.07
7.44,5.4,17.51,8.26,4.49
7.28,5.43,19.71,10.46,4.94
7.27,5.69,17.3,8.58,4.93
7.44,5.38,20.82,8.5,4.33
7.32,5.37,17.66,8.7,5.05
7.34,5.41,16.64,8.4,4.88
7.43,5.34,20.67,10.34,4.38
7.44,5.42,20.53,8.37,4.47
7.33,5.2,26.11,9.2,4.42
7.41,5.22,21.41,8.62,6.57
7.7,5.48,17.91,8.62,4.53
7.39,5.46,21.61,12.2,5.28
7.57,5.33,18.04,9.1,4.42
7.17,5.21,16.93,8.75,4.51
7.47,5.2,17.57,10.23,5.08
7.46,5.22,18.5,12.45,5.25
7.29,5.27,17.26,8.69,4.42
7.35,5.16,17.34,8.45,5.25
10.83,5.13,20.74,12.03,4.35
7.38,5.15,20.33,8.54,4.3
7.53,5.32,20.36,8.57,4.89
9.28,5.3,17.11,8.46,5.11
7.42,5.79,20.08,13.05,6.43
7.38,5.39,26.17,8.4,4.88
7.41,5.18,17.1,13.01,5.06
10.11,5.08,17.37,9.04,6.65
7.43,5.28,25.68,9.6,4.61
7.63,7.69,17.48,8.99,4.89
7.63,7.86,17.85,8.48,4.38
7.71,5.17,17.48,8.96,5.12
7.42,5.39,17.68,12.98,4.84
7.65,5.37,17.67,8.45,4.45
7.68,5.32,20.46,12.96,4.38
7.57,5.36,17.37,8.6,4.33
10.18,5.42,25.94,9.64,5.02
7.36,5.13,20.22,8.36,4.45
7.73,5.17,17.19,9.51,7.31
7.47,5.82,20.88,10.04,4.33
7.3,5.37,26.33,9.5,4.37
7.38,5.39,17.42,12.47,4.39
10.21,5.29,18.12,12.16,7.17
7.48,5.12,21.06,9.28,4.35
7.49,7.69,17.05,8.58,5.22
7.49,5.22,26.2,8.55,4.57
10.38,5.55,17.43,8.93,4.42
7.35,5.47,17.39,12.04,5.23
7.33,5.19,17.03,9.29,6.22
10.01,7.73,20.08,8.27,4.63
10.4,5.19,20.21,12.24,4.42
7.36,7.63,26.57,8.43,4.69
7.5,5.21,17.33,9.5,4.44
7.35,5.15,20.52,8.9,4.74
7.42,5.32,17.11,8.56,4.37
7.39,5.11,17.34,12.72,4.55
10.08,7.69,17.25,11.9,4.4
11.09,7.63,17.2,8.79,4.41
11.01,5.22,17.37,8.49,4.4
7.61,5.27,17.62,9.62,5.21
7.7,5.38,16.92,8.56,4.56
7.42,5.36,17.58,9.21,4.44
7.78,5.28,16.9,9.5,4.37
7.76,5.09,17.17,8.32,4.53
8.36,7.49,17.45,11.83,5.08
7.31,5.38,17.32,8.48,4.36
7.12,5.13,17.22,9.19,5.2
7.15,5.26,16.84,9.35,4.42
9.91,5.14,17.47,8.62,4.31
7.47,5.35,17.36,9.58,4.32
7.15,7.7,17.35,12.4,4.46
7.43,5.27,17.06,8.98,4.53
7.13,5.35,17.63,8.59,6.76
7.26,7.68,17.27,10.1,4.4
7.39,5.33,17.16,8.48,6.17
7.41,5.37,17.98,8.43,4.29
7.56,7.75,16.9,8.55,4.77
10.16,5.22,17.07,12.19,4.51
10.22,5.22,17.16,10.01,6.22
7.34,5.2,17.49,8.46,4.44
7.32,7.7,16.77,9.14,4.56
7.14,5.25,16.95,8.54,4.4
7.42,5.37,26.24,8.44,5.21
7.23,5.37,17.4,8.62,4.55
7.51,5.38,20.39,8.67,4.83
7.31,7.63,17.23,9.06,4.4
7.46,7.7,17.22,12.85,4.51
7.35,5.24,19.72,10.46,4.39
7.43,5.38,18.29,8.48,4.42
10.01,5.35,17.05,8.45,5.45
10.01,5.35,17.45,9.52,4.41
7.21,5.28,16.98,8.4,4.5
7.36,5.48,17.32,8.23,4.33
10.14,7.7,20.13,8.67,4.95
9.03,7.49,20.84,8.52,4.92
7.65,5.38,17.44,9.26,4.52
10.26,5.29,20.35,8.5,6.72
7.33,7.78,17.54,9.35,4.37
7.34,5.4,17.53,8.4,4.5
7.23,5.43,17.21,8.57,4.86
7.22,5.28,25.89,8.68,4.59
7.3,8.23,17.59,9.22,4.41
7.24,5.21,19.07,8.39,6.26
9.21,5.39,16.82,8.36,4.51
7.19,5.31,16.74,8.51,4.3
9.16,5.23,17.08,9.37,4.87
9.18,5.3,17.51,8.48,5.11
10.09,5.41,16.57,9.32,4.56
9.26,7.44,16.97,9.28,4.64
9.13,5.43,17.45,8.41,4.33
10.0,7.41,17.48,8.36,4.61
7.16,7.42,17.48,11.97,4.87
9.28,5.3,17.28,9.09,6.42
7.14,5.22,16.82,9.04,4.48
10.37,5.38,16.94,9.31,4.53
7.54,7.68,16.97,8.61,6.22
7.37,5.24,17.27,9.41,4.79
7.4,5.25,17.16,8.32,4.36
9.21,5.16,17.03,12.05,4.7
7.2,7.37,17.55,8.47,4.34
9.33,5.15,16.86,11.85,6.18
8.88,5.33,17.16,8.44,6.34
9.23,7.45,25.3,8.5,4.96
7.49,5.22,18.28,8.54,4.95
9.36,5.21,17.06,8.39,5.18
9.26,5.19,25.3,8.69,4.34
7.16,5.29,16.93,8.61,5.14
7.15,5.39,17.13,8.83,5.11
7.12,5.26,16.91,8.85,5.16
7.24,5.22,16.99,8.49,4.54
7.47,5.28,26.03,8.67,4.37
7.4,5.25,16.99,10.01,4.51
8.87,5.24,16.93,8.48,4.77
9.26,5.21,17.3,8.63,6.1
7.12,5.26,16.86,8.59,6.34
7.33,5.09,16.89,8.46,6.17
9.32,5.18,17.68,12.2,5.26
9.26,5.41,16.81,12.09,4.32
9.41,5.18,17.07,9.75,4.68
10.13,5.42,17.14,8.56,4.43
7.2,5.5,26.36,9.51,4.5
7.44,5.11,17.27,8.63,4.38
9.44,7.72,16.89,8.56,4.52
10.02,5.37,17.21,8.6,4.46
7.36,7.69,26.44,12.01,5.43
7.49,5.37,25.51,8.41,4.41
7.39,5.26,17.39,8.32,4.52
7.43,5.26,16.97,8.97,4.44
10.2,9.8,17.43,8.3,4.42
7.34,5.34,17.34,8.45,5.41
7.76,5.36,17.2,12.08,4.58
7.37,7.27,17.56,8.89,4.44
7.36,5.35,26.14,8.47,4.33
7.88,5.14,17.05,8.47,4.82
7.44,5.27,17.58,8.49,4.68
7.43,5.17,17.06,8.41,4.62
8.26,5.18,16.89,8.66,4.47
7.21,5.21,17.48,8.48,4.36
7.3,5.37,21.12,8.7,4.6
10.24,7.45,17.93,8.41,4.38
7.16,5.38,17.59,8.44,4.64
7.14,5.22,16.9,11.89,4.44
7.38,7.47,17.53,9.4,4.51
7.36,5.18,17.0,8.6,4.49
7.24,5.26,16.8,12.6,6.19
7.52,5.22,17.22,8.45,7.22
10.42,5.45,25.33,9.47,4.66
7.36,5.35,29.45,8.73,6.13
7.23,5.21,17.65,8.2,4.35
7.39,5.48,17.73,13.26,4.54
7.21,7.59,17.72,9.43,5.57
10.19,7.57,17.83,8.46,4.45
10.17,5.27,17.35,12.17,4.31
7.44,5.32,26.2,8.45,6.3
7.39,5.24,17.15,9.31,5.14
9.15,5.44,30.54,8.75,4.44
7.26,5.33,28.16,9.43,6.66
7.22,5.34,29.37,8.55,4.48
7.28,5.49,27.66,8.29,6.2
