P-521,p521_mlkem1024,mlkem1024
54.53,79.04,23.59
55.42,70.96,22.45
56.72,81.14,27.0
54.81,79.06,27.22
48.6,76.03,26.39
51.66,71.23,24.74
53.8,70.95,25.07
53.76,77.17,25.29
59.97,75.82,27.1
56.57,79.26,27.45
56.69,70.86,27.05
54.44,79.73,26.82
53.8,78.33,27.61
58.13,76.8,26.85
57.42,71.93,27.67
54.67,73.35,24.39
52.84,72.99,27.88
48.74,73.88,29.38
52.51,78.7,26.75
54.88,73.48,28.14
56.53,86.61,27.21
56.43,80.93,27.48
52.85,82.48,25.36
49.64,82.09,26.36
48.81,80.95,27.39
50.32,81.51,24.96
51.58,81.38,24.36
51.63,54.85,28.78
53.55,55.88,24.91
51.22,55.84,24.5
49.74,71.77,24.59
52.98,72.51,25.15
54.99,73.24,24.67
52.31,70.25,25.13
52.16,72.33,25.09
54.67,74.14,25.87
52.58,75.81,25.96
54.94,75.08,24.05
51.85,76.8,29.16
53.03,75.86,27.13
48.6,70.59,25.17
50.56,70.28,25.25
53.46,69.94,24.2
51.92,73.5,24.75
49.79,73.44,25.2
48.41,74.33,26.08
50.62,70.57,26.34
53.41,34.59,24.75
54.83,33.82,27.96
52.49,41.43,26.27
49.85,64.57,25.03
49.84,74.55,24.79
51.97,72.89,24.69
52.9,73.16,27.53
52.93,77.36,26.23
48.9,77.55,28.09
66.33,78.16,27.52
52.15,73.71,26.83
48.92,51.55,26.18
49.46,33.72,28.02
53.4,34.23,29.35
54.19,35.62,24.83
55.33,35.36,24.75
53.95,37.0,24.73
54.95,37.56,24.17
57.37,69.98,26.0
55.86,73.47,24.78
53.9,70.47,24.65
54.5,34.61,26.46
55.73,34.55,27.52
55.98,35.12,27.43
55.99,35.63,27.41
55.12,35.04,27.5
53.73,35.61,28.39
48.9,51.27,26.77
52.11,73.91,29.78
52.93,72.25,26.11
52.66,68.92,29.12
51.35,70.59,27.41
53.78,72.92,24.43
53.08,82.19,25.71
52.28,69.39,24.65
51.87,69.82,28.42
50.97,74.28,24.91
51.95,82.93,26.86
53.42,77.32,26.75
48.54,76.94,27.59
48.66,70.03,25.74
49.48,70.3,24.69
48.67,77.2,25.01
48.68,76.67,28.3
52.94,75.8,25.04
50.28,76.26,24.82
50.03,79.23,26.36
52.02,71.35,24.85
52.92,70.29,28.18
51.73,69.54,25.43
33.34,69.62,26.72
23.9,72.05,24.36
23.61,71.99,25.22
34.86,69.84,26.9
51.07,70.23,26.98
51.45,74.53,25.26
52.61,74.14,24.52
48.84,77.06,28.68
48.81,73.41,24.77
49.21,34.96,24.59
49.33,32.91,24.95
50.65,33.47,24.82
50.82,57.59,25.57
48.03,74.87,24.31
51.51,74.12,25.59
50.23,74.0,24.76
70.1,69.75,24.76
57.5,73.38,24.66
54.2,35.08,24.69
54.21,33.78,24.91
57.67,33.44,28.09
54.85,35.68,27.18
53.46,57.76,23.48
55.79,73.15,14.46
57.52,70.06,14.29
57.25,70.6,24.23
56.51,74.25,26.8
56.13,72.64,25.18
55.51,75.82,24.99
55.66,71.72,24.74
60.28,73.45,25.05
55.76,73.68,25.26
48.5,72.1,24.09
53.33,67.5,25.07
51.72,70.17,26.96
48.84,71.04,27.53
48.8,67.96,27.02
51.02,32.85,27.28
48.42,33.67,27.55
48.32,38.86,27.08
48.8,64.33,30.21
48.84,76.31,27.23
52.79,78.76,29.52
53.06,79.45,27.53
50.03,77.0,27.47
52.86,77.87,27.11
49.13,78.7,24.61
49.87,75.99,28.92
52.18,69.98,27.47
51.82,75.49,26.97
50.05,75.47,29.39
50.84,74.2,26.65
52.34,75.51,24.51
48.39,72.54,24.55
49.65,74.13,25.63
50.65,74.07,26.34
49.67,74.91,26.42
51.62,74.65,27.17
52.02,71.73,26.66
50.62,74.54,25.32
52.08,70.63,24.97
50.44,70.66,25.37
50.82,69.41,26.4
52.13,73.36,24.82
49.11,70.24,24.2
36.33,75.08,25.38
35.68,74.3,25.25
39.98,72.17,25.38
58.8,71.86,25.03
55.77,68.31,25.68
55.41,72.48,25.0
54.71,72.5,26.74
57.0,70.4,24.62
58.57,69.02,25.69
54.27,66.01,25.36
53.21,73.74,24.97
53.88,69.6,25.18
54.21,72.86,24.77
56.23,75.01,25.2
57.85,74.08,25.08
56.0,70.34,24.91
57.75,68.96,24.52
53.9,72.96,23.93
53.02,75.25,23.39
52.16,36.45,24.96
56.18,34.06,23.88
52.54,36.96,24.84
52.65,44.07,24.35
51.5,71.95,24.63
54.1,71.23,27.68
50.49,70.34,24.12
51.99,72.67,26.75
54.12,69.48,28.24
50.42,75.87,27.1
48.73,70.42,27.93
48.76,69.9,27.25
48.52,77.83,27.65
50.22,77.14,27.42
52.66,77.1,28.01
52.97,74.82,28.52
51.04,78.65,26.11
48.66,75.83,26.35
49.73,78.79,27.6
52.1,74.82,25.36
51.56,75.87,25.2
51.12,72.59,25.13
48.49,69.85,24.61
48.72,74.36,24.35
44.73,77.56,25.13
24.24,71.9,25.36
24.42,74.77,24.92
24.03,69.49,26.91
26.11,74.52,27.32
38.43,73.97,24.72
50.09,69.66,27.18
54.54,70.16,27.46
51.97,69.54,26.31
51.61,69.87,24.87
52.85,74.2,26.82
53.0,76.36,24.53
52.51,75.83,24.58
49.87,70.27,24.61
52.31,69.36,25.88
62.94,72.87,25.57
50.76,70.34,24.3
48.35,71.1,25.66
48.46,73.16,24.66
49.41,73.28,24.48
59.09,73.47,24.96
33.03,72.92,24.67
41.4,70.43,24.73
57.48,74.45,17.54
56.95,72.81,17.97
58.41,69.74,21.42
53.34,69.57,25.27
