P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
2.22,2.45,17.86,4.78,2.38
2.09,1.81,8.72,3.23,1.94
2.25,1.87,9.31,4.68,1.7
1.89,2.45,9.56,3.6,2.09
2.21,1.65,13.7,3.25,1.83
1.89,1.73,10.98,3.28,2.25
2.14,1.71,9.4,4.44,1.96
1.95,2.1,9.71,3.5,1.82
2.03,2.38,10.64,3.35,2.09
2.87,1.91,8.63,3.48,1.93
1.81,1.99,8.73,3.34,2.2
1.96,1.69,10.18,3.21,1.72
1.85,1.69,9.05,4.29,1.92
1.82,2.06,9.31,3.12,1.7
2.76,1.67,8.8,3.14,2.34
1.78,1.68,9.54,3.15,1.68
2.22,1.77,13.98,3.43,1.66
1.82,1.67,9.04,3.36,2.45
2.4,1.64,9.77,3.42,1.81
1.89,2.33,9.48,4.0,2.34
2.03,2.21,13.65,3.12,1.73
2.97,1.74,9.9,3.56,2.34
2.39,1.98,9.15,3.39,1.71
2.62,1.8,13.74,3.47,2.17
2.2,1.62,10.25,3.49,1.71
2.02,1.64,9.44,7.27,1.83
1.91,1.59,10.25,3.39,1.94
1.79,1.91,14.05,4.85,1.67
3.04,1.63,10.12,3.15,1.78
1.84,2.09,8.36,3.18,1.79
1.93,1.9,13.49,3.38,1.72
1.82,1.69,9.44,4.19,1.86
2.4,2.14,9.36,4.37,1.67
2.46,1.83,9.07,3.04,2.33
1.9,1.66,9.63,4.11,1.69
1.87,1.87,9.59,3.14,1.71
1.78,1.79,9.14,3.53,2.32
1.83,1.66,13.7,3.79,1.68
3.03,2.08,8.48,4.26,1.62
1.89,1.59,13.21,4.49,1.9
2.94,1.69,13.57,3.5,1.66
2.19,2.14,8.79,3.22,2.15
1.87,2.16,9.16,3.06,2.15
2.18,2.06,13.73,3.8,1.68
2.36,1.68,9.34,3.12,2.86
2.08,1.67,9.37,4.56,1.68
1.9,1.8,9.12,3.18,1.68
1.85,1.76,8.46,3.58,2.47
2.52,1.73,9.54,4.42,1.65
2.34,1.75,13.73,3.44,1.69
2.73,1.66,9.13,3.52,1.94
1.83,1.63,13.41,4.25,1.67
1.85,1.66,9.47,4.86,1.74
2.17,1.67,8.97,3.78,1.73
2.35,2.63,8.43,4.67,1.74
2.66,1.69,8.53,3.13,1.72
2.21,2.27,8.62,4.57,1.75
2.36,1.68,10.26,3.83,2.16
2.12,2.29,9.47,3.94,2.03
2.2,1.63,8.9,4.2,1.71
1.85,2.17,8.51,3.91,2.14
2.57,2.2,8.77,3.4,1.73
2.15,1.68,13.81,3.14,1.73
2.26,1.91,8.87,3.45,1.98
1.91,1.63,9.82,3.43,1.74
2.17,2.06,9.25,3.39,1.79
1.94,2.11,8.85,3.41,1.94
1.88,1.69,8.45,4.43,1.68
1.88,1.85,8.49,4.2,1.72
2.38,2.27,9.32,4.37,2.28
1.78,2.1,9.14,3.07,1.75
1.93,1.78,10.77,3.73,1.64
1.94,1.72,14.25,3.11,1.94
1.86,1.56,14.1,3.17,2.13
1.92,2.01,10.09,5.95,2.15
1.92,1.66,9.3,4.1,1.72
2.5,1.68,8.76,3.37,1.72
2.56,2.31,9.26,3.48,2.48
1.84,1.65,9.14,3.38,1.69
1.83,1.71,14.43,3.41,2.77
2.17,1.95,9.0,3.16,1.83
2.36,1.67,13.73,3.07,1.67
2.46,1.69,8.97,4.06,1.81
1.79,1.64,9.57,3.15,1.69
1.9,1.63,8.68,4.2,1.72
1.91,1.86,8.45,4.24,2.26
1.81,1.66,9.28,4.88,1.92
2.08,1.63,9.85,3.11,1.9
1.85,2.57,9.37,4.35,1.91
1.9,1.66,14.15,3.05,1.69
1.91,1.81,9.5,3.17,1.81
1.87,2.17,10.28,3.77,2.84
