P-384,x448,p384_mlkem768,x448_mlkem768,mlkem768
9.35,5.39,16.68,5.9,4.41
9.32,5.73,14.6,5.57,4.34
9.6,5.14,14.5,5.65,5.08
9.19,5.03,15.2,5.79,4.23
9.66,5.04,17.66,5.98,4.27
8.67,5.12,14.89,5.64,4.21
9.34,5.2,14.92,6.25,4.32
8.51,5.25,14.98,5.78,4.92
9.61,5.66,16.0,5.68,4.53
10.18,6.17,15.54,5.71,4.29
9.16,5.67,14.75,5.82,4.29
9.23,5.41,14.92,5.89,4.37
9.21,5.08,15.09,6.25,4.71
8.69,5.09,15.83,6.39,4.33
8.52,5.04,15.52,6.32,4.23
8.54,5.09,15.33,6.08,4.24
8.5,5.32,16.99,6.03,4.29
8.54,6.29,15.58,5.73,4.8
9.2,5.71,15.87,5.75,4.28
9.34,5.43,16.39,6.08,4.26
9.89,5.09,15.29,5.69,4.22
10.83,5.14,15.64,6.08,4.66
8.54,5.07,14.9,6.34,4.63
8.55,5.11,14.87,6.3,4.25
9.03,5.02,15.1,5.93,4.22
9.64,5.3,15.78,5.76,4.32
9.56,5.72,14.88,5.75,4.45
9.25,5.88,15.06,5.71,4.95
9.43,5.76,15.66,5.66,4.29
8.75,5.72,15.68,5.68,4.25
8.56,5.08,15.44,5.71,4.35
8.53,5.09,14.85,6.04,4.4
9.7,5.13,15.52,5.98,5.17
9.35,5.08,14.9,6.25,4.3
9.83,5.05,15.57,6.8,4.25
9.87,5.11,14.37,5.92,4.24
9.29,5.64,14.54,5.79,5.28
8.63,5.73,14.69,5.61,4.61
8.5,6.24,14.82,5.65,4.27
8.53,5.17,14.26,5.7,4.25
8.53,5.12,14.77,5.63,4.27
9.26,5.08,14.56,5.75,5.21
9.05,5.07,14.58,6.33,4.53
9.48,5.06,14.46,6.08,4.25
9.75,5.09,14.43,6.04,4.27
9.39,5.22,14.59,5.73,4.2
8.79,5.8,15.06,5.74,4.6
8.65,6.15,14.98,5.65,4.72
8.58,5.44,14.07,5.72,4.16
8.55,5.13,14.72,5.72,4.1
8.64,5.12,14.87,6.66,4.2
8.79,5.02,15.28,6.33,4.6
9.71,5.08,14.69,6.36,4.43
