P-521,p521_mlkem1024,mlkem1024
8.02,24.82,5.66
9.55,18.84,6.03
7.85,21.75,5.76
10.6,18.64,4.88
9.82,20.45,4.54
10.46,20.1,7.66
8.95,31.36,5.1
10.81,21.53,5.73
7.66,24.44,7.45
11.24,21.66,6.71
10.1,28.87,4.78
8.64,25.57,5.87
8.95,22.41,4.82
10.83,25.25,4.72
10.21,20.55,5.3
7.26,21.61,4.71
7.79,22.66,4.63
8.61,18.7,4.73
7.47,27.43,4.84
7.44,28.2,5.36
9.4,21.53,5.51
7.53,29.18,6.89
9.27,20.25,4.96
7.99,21.72,5.61
11.84,19.93,4.97
9.09,19.71,4.7
7.33,21.17,5.73
9.72,19.74,5.65
7.25,19.61,5.02
9.34,19.63,4.71
8.13,19.95,5.17
9.26,19.84,6.13
7.92,20.27,7.0
9.14,19.02,5.54
8.52,30.0,5.04
8.38,26.66,6.84
10.48,30.62,5.65
7.69,19.27,6.79
8.33,19.23,4.72
7.3,20.26,5.09
7.63,19.56,4.96
8.44,31.07,7.17
8.63,20.44,5.26
8.17,27.35,4.68
9.22,30.43,4.85
9.15,19.07,4.74
11.56,20.38,4.68
7.77,29.93,6.4
10.81,19.86,5.19
11.2,21.24,4.83
7.81,24.3,4.73
12.05,19.06,5.24
7.41,17.96,5.69
10.91,25.15,6.55
8.87,19.08,5.18
8.01,23.28,6.12
8.74,23.01,4.78
7.66,19.57,6.88
11.02,25.12,5.45
8.81,20.47,4.76
8.02,30.38,7.07
7.93,19.57,4.93
10.57,21.23,5.32
9.82,19.96,5.18
8.65,20.41,5.41
7.59,19.89,6.59
7.33,29.72,4.73
7.81,19.51,6.46
8.54,19.77,4.96
10.72,18.85,4.86
8.92,18.18,4.78
8.09,20.39,4.8
7.84,27.49,4.73
8.75,20.41,4.75
9.69,20.93,5.73
9.27,19.76,5.32
7.34,23.34,4.67
9.33,29.2,4.69
10.9,23.5,4.85
8.05,19.94,5.44
7.98,22.32,6.72
7.56,24.32,4.69
10.12,20.95,5.68
7.45,21.68,4.83
9.74,20.01,4.84
7.59,20.41,4.84
10.86,21.59,5.4
7.44,18.93,5.75
7.75,18.41,4.95
10.36,28.54,4.65
9.39,21.8,5.77
11.19,30.77,6.93
8.25,19.86,4.62
8.02,21.1,4.73
8.52,20.4,4.68
7.48,19.94,5.06
9.75,23.37,5.0
7.34,19.64,6.76
9.15,20.16,4.71
7.55,20.67,5.1
8.98,20.44,5.59
11.08,20.3,4.84
8.77,19.91,4.75
8.34,23.87,5.22
9.58,26.71,5.02
9.09,19.08,4.76
9.42,17.69,5.56
7.27,18.77,5.44
8.63,19.23,4.91
7.33,22.36,5.33
7.83,21.5,6.17
8.16,20.7,4.65
7.4,19.94,4.79
7.18,20.83,7.32
8.85,22.64,4.88
7.64,23.29,6.74
9.79,21.29,5.43
7.45,19.7,5.05
15.08,24.48,7.33
9.14,19.41,4.67
7.55,19.99,4.74
9.28,21.34,4.61
7.56,19.23,6.73
9.31,21.57,4.63
11.67,19.96,4.53
7.4,19.06,5.2
9.06,19.3,5.53
7.4,21.54,7.33
9.21,23.11,5.29
8.51,23.73,6.03
7.67,23.65,5.54
8.88,22.86,5.01
7.9,21.11,4.73
7.3,27.98,5.41
7.49,27.87,5.55
7.62,22.0,5.26
7.44,22.88,4.71
8.43,29.43,5.36
7.94,27.38,5.53
7.96,27.51,4.97
9.61,17.88,4.6
10.71,20.35,7.04
10.56,18.45,4.88
9.5,20.8,4.68
13.39,19.6,4.75
11.3,19.91,4.92
9.89,20.29,6.91
8.94,19.74,6.66
9.35,19.56,4.74
9.17,19.61,4.67
8.04,20.56,7.0
8.25,19.79,4.77
9.18,34.58,7.95
7.8,19.27,4.71
9.36,20.27,4.64
7.45,20.19,4.97
8.65,21.18,7.57
7.46,17.86,5.65
7.85,22.37,4.73
10.48,18.61,6.79
7.48,19.12,5.54
11.4,29.44,4.81
7.44,20.14,4.67
9.25,21.06,4.94
7.55,20.21,5.64
9.78,20.07,4.86
7.55,19.77,4.57
