P-521,p521_mlkem1024,mlkem1024
11.26,33.36,7.18
8.49,18.13,5.36
7.62,18.46,5.54
7.52,19.13,5.0
7.75,19.2,4.98
8.05,27.21,4.66
7.52,19.79,5.3
8.35,18.46,5.27
7.3,18.57,4.57
7.74,17.94,5.87
7.33,18.66,5.44
7.57,17.87,5.25
10.11,18.04,5.54
10.84,17.81,8.5
8.13,18.16,4.89
7.18,17.57,4.91
10.59,18.29,6.69
9.62,20.42,4.63
7.6,26.93,5.37
8.23,19.27,5.66
7.63,19.66,5.41
10.44,19.02,4.56
7.87,18.28,4.61
7.37,18.85,7.19
8.01,27.51,5.09
7.66,18.17,5.5
7.39,18.89,4.91
10.72,17.55,7.43
10.96,18.05,4.92
8.12,17.46,6.96
7.66,18.7,4.69
7.26,18.16,4.71
11.03,18.96,7.19
7.56,17.44,4.66
7.52,27.91,4.85
7.37,18.23,4.69
7.35,18.78,6.54
8.1,17.76,6.17
10.72,17.82,4.74
10.76,18.86,4.9
7.74,26.86,4.73
7.64,18.23,4.74
7.9,26.84,4.66
7.5,18.04,5.75
8.34,27.31,6.52
7.59,18.87,4.86
10.9,18.8,4.87
7.38,18.84,4.71
10.79,18.09,7.21
8.65,18.67,4.86
7.43,18.02,6.57
11.0,17.43,6.42
8.06,18.18,4.97
7.25,17.83,5.44
8.6,27.44,7.79
7.37,18.87,4.62
7.58,28.22,6.58
7.66,18.06,6.77
7.61,17.27,4.76
7.43,21.68,4.92
8.29,18.81,5.05
7.3,17.48,4.89
10.43,18.43,6.61
7.54,17.67,5.58
7.87,18.07,4.82
11.4,18.14,4.8
10.53,17.95,4.56
8.73,18.03,4.71
7.34,17.97,5.27
7.54,18.16,4.77
8.22,21.67,4.63
7.52,18.09,4.88
10.64,21.17,5.65
7.74,28.26,4.74
7.52,18.14,7.33
7.72,18.36,4.97
11.09,18.47,4.68
10.74,18.69,7.35
8.29,22.45,4.78
7.61,21.52,4.79
7.21,21.9,4.63
8.26,17.52,5.08
7.85,20.97,5.73
7.34,17.62,4.98
8.33,27.91,4.67
10.72,17.74,5.67
7.31,17.84,8.91
11.34,21.09,5.08
7.62,17.99,6.58
10.45,26.99,4.8
10.32,18.82,5.04
8.17,21.99,7.76
7.3,19.08,4.75
8.16,22.21,4.78
7.68,27.33,4.56
7.51,22.11,4.83
9.64,18.74,7.61
7.87,20.72,4.97
10.44,18.48,4.9
8.61,27.46,7.05
7.51,20.64,4.8
10.46,18.62,5.85
8.07,20.52,6.77
7.44,21.59,4.62
8.3,22.04,4.77
7.84,18.27,5.43
10.4,18.0,5.41
11.55,22.42,6.9
7.62,18.05,4.74
8.31,17.59,4.68
7.45,18.63,4.65
7.46,21.21,5.46
7.72,21.47,5.48
7.85,22.98,6.11
7.41,18.44,5.36
7.71,17.58,4.91
7.58,17.6,4.51
7.47,17.71,4.64
10.7,21.16,4.75
7.51,18.35,7.25
7.57,17.56,4.96
8.51,17.31,5.74
7.58,17.7,4.65
8.21,18.14,4.81
8.47,20.72,5.44
7.52,19.09,7.38
7.57,20.64,8.35
7.57,18.78,6.32
7.55,17.19,5.18
7.54,20.64,5.31
8.01,17.52,7.55
7.66,18.33,5.21
7.56,17.77,6.8
8.65,21.08,6.71
7.43,20.84,6.69
7.54,22.28,4.69
7.82,18.82,5.63
7.5,21.7,5.37
11.36,21.24,4.85
7.5,22.38,4.67
8.61,26.88,4.72
7.86,18.72,4.62
7.32,24.3,4.75
7.94,37.33,4.64
7.59,24.62,4.97
7.64,17.93,5.63
10.4,30.02,5.35
7.49,18.45,4.86
8.19,28.59,4.96
7.22,20.7,4.82
7.83,30.95,4.79
7.57,17.82,5.35
7.46,17.82,5.62
10.64,17.52,4.52
7.37,19.2,5.21
10.46,24.79,4.93
7.75,17.98,4.88
7.48,19.32,4.59
8.21,18.76,6.87
7.58,19.11,6.96
7.53,18.83,4.68
7.65,19.44,4.82
7.51,18.17,5.29
7.48,19.1,4.7
8.53,18.65,6.57
10.48,18.31,5.47
8.28,17.7,6.23
7.62,20.03,6.77
7.48,18.16,4.68
8.07,18.9,4.65
10.6,18.15,5.54
7.18,18.44,4.85
8.15,27.14,4.84
11.01,19.53,5.27
8.05,27.64,4.65
8.34,18.77,4.75
7.59,18.44,5.15
7.5,20.21,5.51
9.05,18.66,4.88
7.51,18.12,5.4
7.32,19.04,4.66
8.42,18.83,6.79
7.58,18.85,5.24
7.4,18.24,7.47
10.97,17.68,5.51
7.2,18.67,5.32
8.58,18.79,4.7
7.44,18.43,5.2
7.53,22.03,4.93
7.68,30.27,6.09
7.42,21.55,5.81
11.13,20.96,6.66
7.23,17.43,4.53
7.53,18.08,6.76
11.55,27.6,5.39
10.7,17.81,6.58
10.94,17.75,6.72
7.3,27.52,6.52
7.99,28.09,5.65
7.47,27.64,4.92
10.38,19.55,4.79
8.34,26.93,4.53
7.21,17.86,4.6
8.03,19.0,4.89
7.34,26.75,5.84
7.17,18.73,5.77
11.79,18.32,4.89
10.33,18.08,4.62
8.35,21.97,4.63
7.33,21.08,4.52
11.12,17.53,4.74
7.3,17.8,5.45
10.61,18.14,4.67
8.86,27.35,4.84
10.71,21.64,7.34
7.71,17.57,4.56
10.5,20.73,4.62
8.63,17.91,5.36
10.89,17.52,4.72
7.92,18.12,5.03
7.58,24.58,4.8
7.62,28.03,5.3
7.41,23.18,5.39
7.79,26.39,4.88
7.56,21.5,4.9
8.29,18.39,4.6
7.67,21.96,4.63
7.39,18.2,4.54
8.37,18.59,5.15
7.44,17.99,4.74
7.28,18.79,5.21
7.91,27.33,4.68
7.46,18.89,4.93
8.34,17.42,4.68
10.52,17.71,4.71
7.46,21.39,4.67
8.67,18.2,4.74
7.76,17.27,4.64
7.61,27.35,5.52
8.23,28.29,5.15
7.36,28.37,4.91
7.26,21.14,4.79
8.16,27.24,4.82
7.26,18.49,4.63
9.07,19.05,4.58
7.6,19.29,5.46
7.24,18.69,4.9
10.71,19.02,5.09
7.64,26.83,4.91
7.58,17.79,4.55
8.05,17.73,4.74
8.51,18.03,4.6
7.44,17.69,5.01
