P-521,p521_mlkem1024,mlkem1024
19.18,30.33,9.36
18.61,26.64,9.36
18.43,26.71,9.03
18.58,27.22,9.05
19.3,27.66,9.08
18.71,27.13,8.42
19.31,26.28,8.36
19.42,27.45,8.66
18.97,27.21,9.45
18.53,27.75,9.71
18.63,27.33,9.41
19.0,25.5,8.7
18.57,26.23,8.64
20.96,26.23,8.5
18.66,25.68,9.01
19.28,25.83,9.5
18.73,26.49,9.31
18.04,26.56,9.96
18.69,26.02,8.85
17.86,26.2,8.61
18.39,26.25,8.77
18.26,28.93,8.68
19.54,28.03,8.57
18.58,27.6,9.07
17.97,26.63,9.36
17.58,27.55,10.5
17.51,27.82,8.52
17.97,27.6,8.68
17.03,25.87,8.48
17.06,26.07,8.79
17.74,26.61,9.66
18.59,26.76,9.38
18.5,27.82,8.93
18.28,27.01,8.34
17.25,26.63,8.45
18.15,28.03,8.05
17.95,26.42,7.98
18.01,26.37,7.98
18.42,26.36,8.51
19.49,26.47,8.68
19.55,25.58,8.76
18.92,25.71,8.75
18.42,25.43,8.88
18.71,25.46,8.75
17.93,23.99,8.25
18.05,24.39,8.24
17.8,24.91,8.29
17.87,26.2,8.31
17.9,26.95,8.59
18.07,26.59,9.05
17.97,26.12,8.99
18.12,26.03,9.27
18.11,24.93,9.03
18.61,25.18,8.68
17.89,25.39,8.87
18.67,26.49,8.53
17.99,25.43,8.31
18.38,25.09,8.18
18.28,27.05,8.23
18.0,25.99,8.94
17.62,25.01,8.6
17.47,25.23,8.91
16.45,24.75,8.73
17.41,25.45,8.85
17.1,24.55,8.96
17.19,26.71,8.83
17.11,25.68,9.33
17.07,26.15,8.33
16.58,25.55,8.15
17.53,25.74,8.21
18.1,26.0,8.04
18.46,26.08,8.06
18.64,26.59,8.03
18.08,27.1,9.01
17.51,25.63,8.74
17.22,26.73,8.9
17.39,24.12,8.71
18.13,25.17,9.06
18.06,25.13,8.94
17.56,24.89,8.86
18.29,27.58,8.47
17.45,25.58,9.17
17.57,26.08,8.51
18.15,25.53,8.29
19.13,25.5,8.74
17.77,25.73,8.03
17.5,25.48,8.04
17.66,24.17,7.95
17.35,24.99,7.96
17.81,24.74,8.0
17.54,25.58,8.64
17.24,24.62,8.07
17.32,24.72,8.01
17.29,24.71,8.39
17.43,24.86,8.34
17.87,24.77,8.71
17.45,25.04,8.78
17.36,24.53,8.43
17.1,24.78,9.05
17.2,25.05,9.19
17.2,24.57,8.92
17.76,23.85,8.57
16.01,25.09,8.76
17.04,23.87,8.38
16.46,23.45,8.32
16.89,24.48,9.5
16.78,24.58,8.17
16.93,24.94,8.79
16.58,25.85,8.02
17.05,25.21,9.56
16.93,26.06,8.87
16.7,25.59,9.15
16.73,24.18,8.85
16.97,25.05,9.15
16.81,24.28,8.68
18.02,24.52,8.16
18.57,24.36,8.48
17.52,25.45,8.09
17.46,24.7,8.19
17.48,24.6,7.88
17.74,26.11,8.91
16.55,25.57,8.58
16.88,24.61,9.72
16.69,24.07,10.35
17.21,25.03,8.88
17.4,25.82,8.68
17.57,25.22,9.46
17.5,24.61,11.26
17.32,24.6,9.89
17.42,24.19,8.96
16.85,24.18,9.21
17.03,24.68,11.45
16.4,24.05,9.92
16.72,24.24,9.4
17.29,24.25,9.48
17.35,26.94,10.44
16.73,23.45,9.56
17.4,23.4,9.12
16.77,24.41,10.05
16.66,23.8,10.46
16.67,24.12,9.06
16.84,24.36,9.76
16.38,25.04,9.95
16.38,25.72,10.23
16.41,26.11,10.17
16.74,25.75,8.71
17.09,25.76,10.58
16.33,24.32,9.77
16.75,24.42,9.48
18.21,23.98,9.39
17.87,24.62,10.38
17.71,24.36,9.81
17.63,24.52,9.46
17.09,24.32,9.71
16.82,24.85,10.42
17.35,24.47,10.14
17.59,26.57,10.21
17.95,24.46,9.25
17.79,24.17,9.71
18.44,24.17,9.7
18.38,24.42,9.94
18.24,23.83,9.82
18.09,24.4,8.96
18.24,23.87,8.95
19.36,25.3,9.28
18.35,24.9,9.69
23.32,23.88,10.25
18.17,25.33,8.52
18.89,24.63,8.86
18.59,25.01,10.13
18.78,24.87,11.79
17.78,24.68,8.96
17.75,24.08,9.25
17.59,23.73,10.28
17.82,24.75,9.61
16.26,24.8,9.46
16.49,24.33,8.69
15.93,26.17,8.57
16.16,25.25,9.21
16.16,25.38,9.22
16.63,25.89,7.74
16.3,24.3,8.24
17.48,23.93,8.95
17.24,23.53,9.59
17.42,24.23,9.45
17.11,23.61,11.84
18.05,24.32,8.95
17.66,25.07,10.07
17.59,24.59,10.04
17.49,23.9,9.97
17.83,23.49,9.09
17.25,23.34,9.19
17.44,23.88,8.95
17.78,23.65,9.46
17.34,23.3,10.5
16.66,24.71,9.13
16.77,24.57,8.92
18.01,25.31,9.49
18.2,24.93,8.94
17.24,24.28,10.41
16.65,23.75,8.65
17.26,25.11,9.71
17.46,25.61,9.25
16.99,26.11,10.35
17.88,25.61,8.79
17.3,25.19,9.05
17.38,24.69,8.24
17.91,25.08,8.01
17.96,25.36,8.35
17.63,24.56,10.75
17.3,25.25,9.69
18.35,24.39,9.16
16.32,26.48,8.88
16.71,25.24,8.8
16.28,24.71,9.06
16.98,26.82,10.35
16.73,24.78,8.52
17.4,25.3,9.0
16.47,24.36,8.26
16.99,24.76,10.2
16.66,24.5,9.74
17.14,23.8,9.15
17.4,24.25,7.91
17.15,23.95,8.36
16.95,23.95,7.7
16.99,24.08,9.04
16.83,25.7,9.35
17.51,25.32,8.24
17.35,23.44,8.21
18.1,24.99,9.14
17.9,25.12,8.66
17.84,24.37,8.72
17.77,23.88,9.29
19.67,25.05,8.76
16.84,24.47,8.84
17.01,24.73,8.25
16.86,24.48,7.9
17.32,24.65,7.94
17.44,24.89,8.92
17.22,26.72,8.14
16.89,23.94,9.14
17.32,24.87,8.47
16.96,25.19,7.91
17.46,25.13,8.35
17.01,24.72,8.35
17.46,24.19,8.56
17.53,25.05,8.69
17.76,23.86,8.39
17.56,25.8,9.41
17.14,23.95,7.87
17.5,23.94,7.76
17.48,23.28,8.6
16.91,23.86,8.19
16.53,23.96,8.72
17.34,24.49,8.79
16.74,24.26,8.39
16.78,23.81,8.64
16.68,26.48,8.76
16.74,24.44,8.84
16.22,25.41,8.71
16.6,25.45,8.67
16.18,24.5,8.25
16.71,25.14,8.51
16.62,23.67,8.3
16.35,23.65,8.62
17.13,24.36,8.19
17.37,24.9,8.19
17.3,24.56,8.26
17.26,24.82,8.35
17.48,24.5,8.28
16.7,23.52,8.48
17.24,23.99,8.2
16.84,24.62,8.52
17.09,26.04,8.29
16.4,25.8,8.75
16.32,26.72,8.45
16.91,25.93,8.29
16.25,25.39,8.41
16.19,24.92,8.09
16.73,25.17,8.13
16.77,25.07,8.15
17.48,25.19,8.55
16.92,25.23,8.27
16.76,24.89,8.82
16.9,25.64,8.58
16.19,25.61,8.27
16.9,25.75,8.4
