Protocol,Level,KEM,Slope
QUIC,1,P-256,-0.0322346176911544
QUIC,1,mlkem512,0.03436319340329834
QUIC,1,p256_mlkem512,0.018946476761619223
QUIC,1,x25519,-0.025259490254872563
QUIC,1,x25519_mlkem512,0.0596492803598201
QUIC,3,P-384,0.11345308845577211
QUIC,3,mlkem768,0.050190599700149906
QUIC,3,p384_mlkem768,0.24186862068965526
QUIC,3,x448,0.08320104947526234
QUIC,3,x448_mlkem768,0.0948922788605697
QUIC,5,P-521,0.08020982008995496
QUIC,5,mlkem1024,0.04262335832083956
QUIC,5,p521_mlkem1024,0.19326791604197907
TLS,1,P-256,-0.09025166416791602
TLS,1,mlkem512,-0.0882517691154423
TLS,1,p256_mlkem512,-0.38322004497751133
TLS,1,x25519,-0.08014614692653671
TLS,1,x25519_mlkem512,-0.10155596701649178
TLS,3,P-384,-0.4906292953523238
TLS,3,mlkem768,-0.24467463268365813
TLS,3,p384_mlkem768,-0.7545324287856069
TLS,3,x448,-0.2947019040479759
TLS,3,x448_mlkem768,-0.33753652173913035
TLS,5,P-521,-0.8811551124437783
TLS,5,mlkem1024,-0.44428079460269865
TLS,5,p521_mlkem1024,-1.1741116791604191
