Protocol,Level,Delay_ms,KEM,Mean,Std,Count,Min,Max,Median,IdealMean,PctIncrease
QUIC,1,0,P-256,3.3122599999999998,1.2263585948679174,500,2.6,26.64,2.96,3.3122599999999998,0.0
QUIC,1,1,P-256,2.12486,0.309387818189547,500,1.76,3.07,2.01,3.3122599999999998,-35.84863507091834
QUIC,1,5,P-256,2.11204,0.324072653226307,500,1.76,3.54,1.96,3.3122599999999998,-36.235681981486955
QUIC,1,10,P-256,2.13354,0.33028691662642234,500,1.79,4.32,1.995,3.3122599999999998,-35.586578348318056
QUIC,1,20,P-256,2.1167800000000003,0.32485272075259064,500,1.77,3.97,1.955,3.3122599999999998,-36.092577273523204
QUIC,1,0,mlkem512,2.51852,0.26932746642022354,500,2.18,3.98,2.42,2.51852,0.0
QUIC,1,1,mlkem512,1.86856,0.2786345290907128,500,1.58,3.39,1.74,2.51852,-25.807220113399936
QUIC,1,5,mlkem512,1.87214,0.26104541715885243,500,1.58,3.2,1.745,2.51852,-25.66507313819228
QUIC,1,10,mlkem512,1.87814,0.2724076950172466,500,1.58,2.9,1.75,2.51852,-25.42683798421296
QUIC,1,20,mlkem512,2.94894,0.5754794780522747,500,2.29,5.42,2.68,2.51852,17.09019582929656
QUIC,1,0,p256_mlkem512,16.21856,3.8248273339680736,500,11.92,30.53,14.7,16.21856,0.0
QUIC,1,1,p256_mlkem512,9.69582,1.6292302200179187,500,8.34,17.86,9.22,16.21856,-40.217750527790386
QUIC,1,5,p256_mlkem512,9.9281,1.8511532964760389,500,8.31,16.26,9.3,16.21856,-38.78556419312195
QUIC,1,10,p256_mlkem512,10.038219999999999,1.8385752498875307,500,8.34,16.66,9.36,16.21856,-38.10658899433736
QUIC,1,20,p256_mlkem512,13.7248,4.44762431913582,500,8.33,29.91,14.06,16.21856,-15.37596432728923
QUIC,1,0,x25519,2.8955,0.5747495315771003,500,2.31,5.99,2.605,2.8955,0.0
QUIC,1,1,x25519,1.8886599999999998,0.28533003848477556,500,1.56,3.47,1.78,2.8955,-34.77257813849077
QUIC,1,5,x25519,1.87154,0.2804223632373268,500,1.55,3.48,1.75,2.8955,-35.36384044206528
QUIC,1,10,x25519,1.9058599999999999,0.2930666075706101,500,1.57,4.33,1.86,2.8955,-34.17855292695563
QUIC,1,20,x25519,1.9218,0.3113986162403308,500,1.56,4.11,1.88,2.8955,-33.628043515800385
QUIC,1,0,x25519_mlkem512,5.04232,0.7367459581250687,500,4.25,9.64,4.675,5.04232,0.0
QUIC,1,1,x25519_mlkem512,3.62838,0.5670791241671064,500,3.0,7.27,3.4450000000000003,5.04232,-28.041457107045964
QUIC,1,5,x25519_mlkem512,3.55796,0.5091218405224766,500,3.02,5.67,3.37,5.04232,-29.438036459407574
QUIC,1,10,x25519_mlkem512,3.5659,0.560177281915599,500,3.01,6.78,3.33,5.04232,-29.28056926176839
QUIC,1,20,x25519_mlkem512,5.6686000000000005,1.0433709243464386,500,4.46,10.34,5.265000000000001,5.04232,12.420473115549992
