Protocol,Level,KEM,SpearmanR,PValue,Significant
QUIC,1,P-256,-0.4631185542984244,3.881572233244147e-133,True
QUIC,1,mlkem512,0.14484879647879922,3.407529113070857e-13,True
QUIC,1,p256_mlkem512,-0.13374611159313343,1.8917078278296598e-11,True
QUIC,1,x25519,-0.42783686866622217,8.071023152580655e-112,True
QUIC,1,x25519_mlkem512,0.08711246092129198,1.2903318327496705e-05,True
QUIC,3,P-384,0.13595789928532323,8.718549405971384e-12,True
QUIC,3,mlkem768,0.017848047131024045,0.3723784064101151,False
QUIC,3,p384_mlkem768,0.16772835008611475,3.117000096566898e-17,True
QUIC,3,x448,0.20317234080816154,1.0590071065291762e-24,True
QUIC,3,x448_mlkem768,0.05837071053809124,0.0035051992226416097,True
QUIC,5,P-521,0.04600693594978437,0.02142475159118739,True
QUIC,5,mlkem1024,0.04479574219911071,0.025104476342206986,True
QUIC,5,p521_mlkem1024,0.0965121460073183,1.3349220011059185e-06,True
TLS,1,P-256,-0.47614535870647134,1.1516808958206961e-141,True
TLS,1,mlkem512,-0.47067575962872943,4.8632655625219564e-138,True
TLS,1,p256_mlkem512,-0.47728682206572115,1.978549203620239e-142,True
TLS,1,x25519,-0.4685146253903574,1.2629465705301623e-136,True
TLS,1,x25519_mlkem512,-0.4672866368565056,7.953910329744652e-136,True
TLS,3,P-384,-0.48694762461744373,5.0619904074492e-149,True
TLS,3,mlkem768,-0.34458659668908026,1.2575879611395835e-70,True
TLS,3,p384_mlkem768,-0.2752223506689177,1.0812263525865623e-44,True
TLS,3,x448,-0.4924194793056963,7.510139967966183e-153,True
TLS,3,x448_mlkem768,-0.3303567855369492,9.940330643205818e-65,True
TLS,5,P-521,-0.29195233710597723,2.5755296409112465e-50,True
TLS,5,mlkem1024,-0.4121526820750955,3.988380254822162e-103,True
TLS,5,p521_mlkem1024,-0.2445291564089665,2.3298956957243504e-35,True
