P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
2.29,2.37,16.66,6.78,2.13
2.41,2.25,9.75,3.64,1.92
2.37,1.91,8.67,3.87,1.91
2.36,1.76,9.43,3.45,2.21
1.96,2.07,9.12,3.37,2.68
1.87,2.17,9.52,3.79,1.69
2.26,1.68,9.33,3.08,1.68
2.28,2.14,9.23,4.0,2.49
2.14,1.94,8.48,3.08,1.86
2.42,1.92,8.42,3.13,2.07
2.06,1.99,9.21,3.25,2.19
1.93,1.99,14.29,3.08,1.69
2.46,2.06,8.94,3.92,1.75
2.6,1.95,9.54,3.06,1.8
2.42,1.84,9.66,3.34,1.78
2.23,1.62,14.0,3.11,1.74
1.89,1.93,11.05,3.95,1.81
2.26,1.65,11.62,3.37,2.12
1.97,1.95,14.01,3.46,1.86
2.35,1.7,10.83,3.49,1.68
2.53,1.94,10.27,4.85,1.69
1.87,2.92,10.3,3.2,1.85
2.45,1.65,8.56,4.9,2.12
2.27,1.97,8.56,3.15,2.15
2.19,1.72,13.89,3.23,2.05
2.28,1.67,8.91,3.08,2.1
1.91,2.05,9.27,4.45,2.17
2.41,1.78,9.95,3.57,1.7
2.43,1.66,9.0,3.16,1.73
2.04,2.39,8.64,3.33,1.65
2.15,1.91,8.8,3.1,1.61
1.91,1.94,9.07,4.85,1.74
2.27,2.17,8.55,3.06,1.71
1.89,2.12,13.45,4.21,1.7
1.88,1.81,13.68,3.14,2.24
2.22,2.05,8.41,3.51,1.81
1.86,1.8,13.48,3.1,1.62
1.96,1.89,13.36,4.57,2.42
2.38,2.08,8.39,3.16,2.09
1.91,2.21,13.91,3.16,1.64
1.95,1.93,8.67,3.41,2.38
2.29,1.69,9.58,3.13,1.71
2.17,2.23,9.87,3.17,1.78
1.86,1.89,11.01,3.11,2.35
2.17,1.99,9.73,3.9,1.85
1.82,1.62,8.45,3.1,1.96
2.43,1.58,8.43,3.82,2.19
1.96,1.75,9.34,3.13,1.66
1.85,1.63,9.23,3.22,2.31
2.69,1.65,13.88,4.35,1.58
1.95,2.12,13.86,3.18,1.64
2.42,1.95,9.78,4.37,1.75
2.48,1.92,11.14,3.77,1.74
1.83,2.09,9.31,3.17,1.69
2.46,1.72,9.08,3.14,1.67
1.96,1.61,9.41,3.25,1.73
1.86,1.71,8.83,3.22,1.64
1.96,2.06,10.01,4.13,1.7
2.12,1.64,10.33,3.11,1.68
1.86,1.89,9.7,3.97,2.08
2.6,2.45,9.04,3.11,1.89
2.17,1.67,13.96,4.93,2.1
1.95,1.9,8.36,3.14,1.83
1.95,1.9,8.55,4.56,2.09
2.16,1.65,9.33,4.25,1.72
2.63,2.17,8.6,3.27,2.42
1.82,1.71,9.24,3.1,2.47
2.51,1.8,10.32,4.0,2.3
1.88,2.67,8.51,3.11,1.68
1.85,1.75,13.48,4.46,1.91
2.28,1.76,8.96,3.64,2.35
1.96,2.33,9.34,3.39,1.69
1.93,1.6,13.7,3.31,2.63
1.95,1.98,13.8,3.07,1.71
1.96,1.68,9.06,3.5,1.58
2.87,1.64,9.79,3.22,2.41
2.28,2.36,9.91,4.77,2.26
1.84,1.82,13.95,4.22,1.77
2.14,1.63,9.37,4.01,1.83
1.85,1.85,10.11,3.41,1.75
1.93,2.1,9.0,4.02,1.61
1.88,2.73,8.48,3.1,2.18
1.93,1.75,9.52,4.4,1.65
2.14,1.95,8.98,3.38,1.68
1.86,2.47,8.42,5.34,1.81
1.89,1.66,8.73,4.27,1.68
2.69,1.85,9.24,3.91,1.67
1.9,1.61,10.61,3.08,2.23
2.02,1.79,9.55,3.92,1.78
2.17,2.32,9.63,4.24,1.65
1.85,1.77,9.84,3.6,1.9
1.87,1.78,8.37,3.1,1.62
2.14,2.1,10.23,4.04,1.85
1.84,1.6,8.94,4.11,2.19
1.87,2.19,13.75,3.67,1.68
2.89,2.4,8.69,3.1,2.52
1.94,1.59,9.45,3.9,1.69
1.88,1.89,8.93,3.12,1.71
1.99,2.04,9.67,4.94,2.24
1.86,1.87,9.05,3.1,1.65
2.39,1.9,8.43,3.21,2.19
1.96,1.73,8.5,3.59,1.61
1.89,1.63,8.38,3.09,2.0
2.11,1.94,10.86,4.62,1.87
2.04,2.71,8.99,4.25,1.69
2.35,1.91,9.44,4.09,1.85
2.52,1.71,8.87,3.1,1.71
2.38,1.98,9.45,4.05,1.77
2.38,1.64,8.49,4.32,1.78
2.44,2.24,9.34,4.44,1.71
1.88,2.35,9.38,3.12,1.71
2.75,2.09,10.35,3.67,1.67
1.85,1.95,8.49,4.51,1.62
2.53,1.68,8.41,3.1,2.04
2.46,1.88,9.28,3.11,1.74
1.85,1.7,9.1,3.21,1.62
4.32,1.87,8.76,4.31,1.9
1.88,1.63,10.47,3.17,1.87
3.05,1.94,8.41,3.57,1.67
1.91,1.99,8.71,3.41,2.4
1.93,1.95,12.64,3.9,1.72
1.89,2.19,9.33,3.06,1.87
1.94,1.66,10.19,3.94,1.97
2.27,1.74,10.52,3.11,1.94
1.84,1.82,9.37,4.58,1.67
2.06,2.1,8.62,3.1,2.06
1.88,1.96,13.66,5.04,1.7
2.76,2.65,8.82,3.08,1.68
1.88,1.66,8.48,4.36,2.63
1.97,1.87,9.21,3.1,1.88
2.53,1.97,9.74,3.22,1.71
1.86,1.75,8.95,3.4,1.95
1.9,1.9,13.85,3.04,1.65
2.01,1.68,8.68,3.83,1.69
1.94,1.61,8.64,3.22,1.89
1.92,2.19,8.53,3.4,1.94
1.84,1.89,13.65,3.1,1.7
2.48,1.77,8.49,4.79,1.67
2.03,2.56,9.29,3.09,1.82
1.86,2.08,9.16,4.89,1.68
1.93,1.6,8.99,3.09,1.69
2.1,1.8,13.74,3.96,2.62
1.91,2.25,9.2,3.15,1.62
2.56,2.09,8.44,4.0,1.76
1.96,2.1,9.03,3.11,1.81
1.9,1.72,8.51,3.32,1.67
1.91,1.91,8.57,3.05,2.32
1.83,1.75,9.42,3.14,1.92
2.85,2.03,13.98,3.18,2.17
2.38,2.04,10.06,3.42,2.14
