P-384,x448,p384_mlkem768,x448_mlkem768,mlkem768
5.51,5.01,21.81,7.53,3.55
5.62,4.18,13.57,6.46,3.25
7.32,3.96,13.19,6.51,3.27
7.14,4.05,13.53,8.2,4.55
7.74,4.34,12.81,6.26,3.99
6.8,5.3,19.35,5.63,2.94
5.15,3.87,18.9,5.76,4.08
6.89,4.56,12.72,8.73,2.98
5.09,3.77,15.02,8.11,3.1
5.08,3.79,19.44,5.67,3.18
5.8,3.98,12.81,8.56,2.93
6.4,3.74,13.12,5.78,3.46
5.81,4.04,12.45,6.61,2.86
7.17,3.82,12.59,7.21,3.71
5.28,4.16,18.54,5.62,2.89
6.88,3.88,19.85,5.65,4.54
5.06,3.75,12.17,5.81,3.35
5.5,4.68,12.12,5.77,3.38
6.29,5.64,12.91,7.08,3.14
6.6,4.43,12.26,7.52,3.08
6.09,5.1,18.76,5.56,3.29
5.05,6.42,12.25,6.5,2.99
7.17,3.89,12.56,5.86,4.14
5.04,4.3,16.03,7.61,2.99
7.03,3.74,15.45,8.62,3.3
5.07,3.71,12.8,8.72,2.98
6.43,3.74,12.74,6.24,4.31
7.71,4.15,11.96,6.45,4.17
6.36,3.8,18.64,6.48,3.0
5.08,4.81,12.72,8.04,2.87
6.9,3.92,12.75,5.61,3.03
5.04,4.02,14.71,7.54,3.0
5.8,3.69,12.62,8.04,4.21
6.47,5.54,13.43,6.54,3.26
5.41,3.74,14.88,7.37,3.01
5.1,4.1,12.69,5.78,3.25
6.53,5.72,12.65,6.7,3.22
7.12,5.04,18.85,7.58,2.94
5.0,3.62,13.41,8.4,3.73
5.89,4.38,13.23,6.56,2.94
5.08,4.56,14.43,6.71,3.94
5.57,4.29,14.53,5.8,2.92
5.44,3.64,11.96,6.55,4.37
5.04,3.87,12.49,7.23,2.89
6.39,4.47,14.33,6.63,3.45
5.11,4.08,12.37,5.61,3.04
5.13,3.7,12.69,7.19,4.19
5.48,3.85,12.82,6.68,3.17
5.15,3.67,12.54,5.61,3.38
5.13,5.49,12.8,5.91,3.79
5.01,5.31,12.36,7.37,2.95
5.73,3.79,12.18,5.64,3.02
5.05,3.74,11.97,7.29,2.98
5.5,5.66,14.27,5.8,3.33
6.4,3.76,11.94,8.9,3.88
5.35,4.87,12.66,8.43,3.07
6.34,4.09,18.89,6.43,3.61
5.14,3.72,14.75,8.26,4.18
7.47,3.86,12.46,6.68,3.74
5.06,3.79,12.59,8.05,2.92
6.35,3.83,12.75,5.58,2.98
5.09,5.26,11.97,6.43,3.35
5.75,3.82,11.88,5.6,2.93
5.12,5.64,12.29,5.59,3.85
6.04,5.84,12.62,8.83,2.92
5.08,4.66,17.89,5.67,4.03
5.4,4.8,12.7,5.63,2.97
5.12,4.99,12.65,6.5,3.93
5.51,5.68,18.83,5.57,2.94
5.55,5.67,11.84,6.01,4.81
6.38,6.09,18.68,5.65,4.16
5.12,5.8,12.24,5.64,3.47
5.71,4.01,12.67,6.66,2.95
5.03,3.95,13.12,5.64,2.97
5.76,4.68,12.18,5.61,2.95
