P-521,p521_mlkem1024,mlkem1024
6.7,16.54,3.77
5.32,12.96,4.7
7.17,13.14,3.3
5.26,13.3,3.18
5.27,12.48,4.77
7.74,13.08,3.33
4.9,12.53,3.27
5.46,12.51,3.13
4.96,12.49,3.42
5.02,12.36,3.34
5.65,12.53,3.28
6.53,12.11,3.98
5.2,12.06,3.31
5.01,12.22,3.17
5.08,11.87,3.34
4.86,12.13,3.18
5.3,12.25,3.33
5.26,11.97,3.16
6.96,12.09,3.4
7.76,18.67,3.18
4.96,12.43,3.36
5.27,12.1,3.04
5.22,13.36,3.7
5.0,15.84,3.24
5.39,12.67,3.27
6.99,12.46,4.41
7.76,12.42,4.14
5.07,14.74,3.15
6.21,12.15,3.18
5.51,12.65,3.16
4.89,14.52,3.13
5.59,12.41,3.98
5.04,12.41,3.1
5.23,19.67,3.18
4.95,18.67,3.12
5.46,18.56,3.37
4.94,13.58,3.64
4.94,12.64,3.19
6.84,13.19,3.3
4.85,12.8,3.29
5.8,12.57,3.3
4.96,12.72,4.47
4.93,12.61,3.37
5.4,12.69,3.13
4.95,12.66,3.35
6.67,18.91,3.12
4.88,12.02,4.3
8.04,12.22,3.21
5.33,12.21,3.4
5.01,14.29,3.12
5.34,18.88,3.64
4.91,12.63,4.91
6.54,12.64,3.29
4.96,14.73,3.3
6.7,14.82,3.14
5.01,12.78,3.92
6.75,12.43,3.2
5.3,12.78,4.05
6.99,12.62,3.15
7.34,15.21,3.6
5.24,14.47,3.07
4.95,12.5,4.49
7.69,18.96,3.21
4.96,12.5,3.08
4.98,14.55,3.15
5.05,12.08,3.12
4.96,12.07,3.37
6.81,12.5,3.14
4.89,18.87,4.46
5.34,12.96,3.19
7.04,13.97,3.17
4.94,12.99,3.42
5.45,13.18,3.05
7.06,12.49,3.5
5.61,13.34,4.42
4.9,12.31,4.84
5.27,12.24,3.13
5.02,11.89,3.54
5.03,12.51,3.05
5.33,12.45,3.22
7.18,13.97,4.49
5.16,11.75,3.65
5.05,11.87,3.15
4.92,18.68,3.21
5.0,12.67,4.72
4.91,18.82,3.26
7.35,14.73,3.28
7.03,18.73,3.12
5.04,12.57,3.81
7.05,12.86,3.18
6.19,12.64,3.07
6.71,12.55,3.17
4.84,12.45,3.09
5.43,18.81,3.76
6.3,12.42,3.25
5.28,19.12,3.68
4.92,20.48,3.19
5.17,12.44,3.87
7.0,12.74,3.14
6.17,13.15,3.12
5.18,13.41,3.17
7.01,12.96,3.12
7.05,14.09,3.23
5.21,14.21,3.16
5.27,18.69,3.46
5.46,18.36,3.23
7.17,12.04,3.1
4.94,12.28,3.1
5.34,19.11,3.17
7.72,12.87,4.09
5.7,12.38,3.22
7.01,18.81,4.31
5.17,18.93,3.08
7.37,14.65,3.36
4.93,12.88,3.21
5.71,12.41,4.65
5.94,13.21,3.05
5.16,14.66,3.12
5.8,12.86,3.67
4.87,13.06,3.15
5.71,13.16,4.23
4.9,12.62,3.15
5.62,12.71,3.56
4.99,12.57,3.08
4.92,12.88,3.12
5.24,12.73,5.25
5.0,12.84,4.59
5.18,13.12,3.4
5.2,14.74,3.46
5.06,18.82,3.99
5.44,12.22,3.23
4.92,11.93,3.81
5.6,12.07,4.45
4.91,18.67,3.51
5.59,15.04,3.35
7.03,12.12,3.22
7.0,12.04,3.2
5.24,11.78,3.12
4.97,11.99,3.25
4.95,12.37,3.91
5.5,15.0,3.13
4.94,14.53,3.73
5.54,12.34,3.06
7.03,18.73,3.19
5.22,12.26,3.57
4.99,18.94,3.09
4.88,13.36,3.61
5.46,12.88,3.19
6.98,19.18,3.23
6.64,18.76,3.18
4.97,12.68,3.13
4.95,12.63,3.58
5.47,14.68,3.59
