P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
2.05,1.95,9.54,2.29,2.05
1.69,1.58,7.15,1.94,2.6
1.67,2.21,8.49,2.98,1.67
2.17,1.55,7.76,1.95,1.73
1.79,1.61,7.31,1.94,2.36
1.73,2.43,7.19,1.98,1.6
1.76,1.58,7.19,3.41,1.67
2.38,1.64,7.13,1.97,1.69
1.73,2.66,8.82,1.96,1.69
1.65,1.59,6.95,2.02,1.65
3.06,1.62,6.98,2.74,1.76
1.71,2.83,7.15,1.94,1.73
1.71,1.58,7.06,1.98,1.63
1.82,1.62,7.15,2.9,1.73
1.8,1.98,7.03,1.91,1.76
1.69,1.66,7.27,1.96,1.61
1.71,1.59,7.6,2.3,1.69
1.74,1.7,7.97,2.0,2.12
1.71,1.56,7.99,1.92,1.67
1.82,1.6,8.06,2.03,1.69
1.79,1.75,8.26,1.95,2.75
1.72,1.61,8.12,1.97,1.64
1.89,1.77,9.24,1.92,1.63
2.25,1.6,7.76,2.26,2.39
1.64,1.6,7.93,2.57,1.89
1.78,1.6,7.66,1.96,1.65
2.36,1.64,7.18,1.98,1.66
1.62,1.95,7.21,3.29,2.0
1.78,1.58,7.67,1.94,1.66
2.05,1.61,7.92,1.96,1.72
1.7,2.36,8.67,2.29,2.73
1.74,1.6,8.57,2.5,1.6
1.94,1.61,8.59,1.98,1.67
1.72,2.22,8.38,1.96,1.97
1.71,1.6,8.4,2.72,1.62
1.83,1.64,7.93,1.97,1.68
1.71,1.7,7.84,1.94,1.77
1.7,1.54,7.93,2.03,1.75
1.74,1.62,8.35,2.01,1.69
2.25,1.75,8.36,1.91,1.73
1.69,1.65,7.76,1.99,1.68
1.74,1.54,7.24,2.9,1.68
2.2,1.57,7.0,1.94,2.08
1.72,2.65,7.12,1.97,2.68
1.76,1.55,7.01,2.7,1.65
2.26,1.6,7.2,1.98,1.67
1.69,1.71,7.01,1.98,2.27
1.72,1.6,6.95,1.96,1.67
1.7,1.59,7.04,2.21,1.65
1.69,2.05,7.01,1.91,2.07
1.7,1.62,7.02,1.95,1.68
1.76,1.58,7.0,1.98,1.68
1.83,1.76,7.04,1.97,1.69
1.81,1.62,7.05,2.16,2.58
1.72,1.51,7.05,1.97,1.62
2.59,1.74,7.01,2.44,1.64
1.66,1.58,7.0,1.9,2.4
1.75,1.55,7.08,1.94,1.62
2.87,1.68,7.29,2.59,1.72
1.73,2.7,7.08,1.94,1.81
1.66,1.55,8.3,1.91,1.73
2.24,1.61,7.21,2.98,1.67
1.66,1.52,7.13,1.95,1.67
1.67,1.59,6.83,1.95,1.74
2.3,1.69,6.82,2.08,1.75
1.8,1.59,6.91,2.03,1.68
1.71,1.54,7.93,1.96,2.38
1.77,1.66,8.26,1.96,1.71
1.99,1.66,8.67,2.11,1.7
1.69,1.49,8.1,1.97,2.29
1.73,1.63,8.24,1.89,1.67
2.7,1.61,8.53,2.03,1.67
1.69,1.54,9.33,1.93,1.78
1.89,1.57,8.55,1.95,1.64
1.92,1.59,8.01,1.99,1.67
1.71,1.61,8.32,2.7,1.67
1.73,1.61,8.06,1.93,1.7
1.78,1.95,8.01,1.99,1.61
1.7,1.59,7.26,3.07,1.73
1.76,1.55,7.3,1.96,1.67
1.77,1.98,7.1,1.96,1.68
1.81,1.55,7.0,2.11,1.72
1.68,1.55,7.0,2.12,1.78
1.83,1.96,6.99,1.98,1.71
1.83,1.65,6.96,2.01,1.63
1.72,1.55,7.0,3.1,2.5
1.71,1.72,6.98,1.96,1.67
2.51,1.61,6.96,1.97,1.7
1.7,1.55,6.99,2.02,2.57
1.74,1.6,6.97,2.03,1.59
3.0,1.51,7.0,1.91,1.63
1.76,1.54,7.44,2.05,2.83
1.7,1.68,7.04,3.0,1.59
1.79,1.53,7.0,1.9,1.65
