P-384,x448,p384_mlkem768,x448_mlkem768,mlkem768
9.76,6.39,19.11,6.34,4.79
9.7,5.77,16.27,5.98,4.54
9.59,5.1,16.11,6.76,4.53
8.53,5.12,16.07,7.32,4.62
8.51,5.21,16.31,6.57,5.62
8.54,5.24,16.09,6.94,5.47
11.29,5.19,15.94,6.8,5.07
9.55,5.31,16.75,6.22,4.53
9.6,5.23,15.62,5.97,4.56
9.93,5.25,16.35,5.94,4.57
8.71,5.22,15.78,5.94,4.55
8.62,5.25,16.56,5.9,5.55
8.51,5.28,16.16,5.89,4.9
8.52,5.37,16.46,5.91,4.99
9.18,5.33,15.83,6.43,4.42
9.46,5.55,15.59,5.84,4.42
9.4,6.19,16.34,5.88,4.37
12.54,7.16,16.01,5.99,4.55
8.64,6.75,15.3,6.04,5.18
8.54,6.55,15.35,6.61,4.68
8.5,6.55,16.12,6.28,4.41
8.59,5.34,15.76,5.97,4.39
9.09,5.51,15.7,5.97,4.39
9.9,5.25,15.28,6.07,4.45
9.23,5.31,15.36,6.39,5.07
9.14,5.25,15.64,6.37,4.83
8.81,5.23,15.77,6.92,4.36
8.7,5.23,15.78,6.62,4.48
8.76,5.25,14.88,6.82,4.43
8.96,5.43,15.17,6.78,4.45
9.58,5.85,16.46,6.39,4.83
9.27,5.85,15.84,6.7,5.54
9.34,5.68,14.99,6.67,4.53
9.23,5.21,15.27,5.97,4.41
8.76,5.24,15.76,6.67,4.38
8.54,5.29,14.24,6.93,4.49
8.51,5.37,15.31,6.7,4.47
9.57,5.25,15.5,6.36,5.26
9.03,5.38,15.88,5.94,4.8
9.14,6.47,16.17,5.97,4.43
9.07,5.64,15.29,6.71,4.43
9.07,6.39,15.65,5.88,4.54
9.08,6.1,16.03,5.98,4.49
9.07,5.24,15.58,5.89,4.72
8.77,5.08,15.84,5.9,5.17
8.74,5.11,15.64,5.96,4.87
8.47,5.02,16.37,5.99,4.5
8.54,5.0,15.63,5.98,4.48
8.57,5.09,15.97,6.16,4.36
9.35,5.35,16.29,6.96,4.37
10.16,6.06,16.42,6.87,4.41
9.31,6.35,16.55,6.46,5.29
8.85,6.17,15.77,6.86,5.83
9.35,6.03,16.75,6.53,7.66
9.28,6.07,16.26,6.47,5.45
8.71,5.09,15.77,5.94,4.45
8.59,5.09,15.73,5.9,4.43
8.57,5.05,15.47,5.93,4.38
8.54,5.05,18.02,5.95,4.4
8.99,5.09,15.62,5.92,4.47
9.83,5.14,15.19,5.89,4.88
9.59,5.89,15.7,5.84,4.83
9.79,6.0,15.82,5.92,4.46
9.45,5.66,15.84,5.9,4.45
8.52,5.14,15.66,5.9,4.41
8.51,5.09,15.72,5.88,4.45
8.43,5.12,15.93,5.89,4.56
9.3,5.08,15.82,5.9,5.11
9.37,5.04,15.3,6.1,4.78
9.21,5.2,15.14,6.29,4.4
9.14,5.68,15.36,6.45,4.38
9.51,6.13,15.6,6.33,4.39
9.19,5.72,15.7,6.46,4.4
8.99,5.24,15.07,5.65,4.89
8.48,5.06,15.09,5.73,5.32
8.31,4.99,15.44,5.9,4.33
8.31,5.2,15.32,5.83,5.43
8.82,5.06,15.05,5.9,4.44
9.27,5.1,15.26,5.86,4.43
10.14,5.06,15.48,6.04,4.48
9.04,5.28,15.7,5.88,4.38
8.73,5.88,15.74,5.94,4.73
8.52,5.69,15.97,5.94,4.81
9.53,5.24,15.53,5.91,4.26
9.05,5.22,15.27,6.46,4.27
9.57,5.11,15.19,6.26,4.38
9.36,5.09,15.85,6.27,4.43
9.63,5.05,16.17,6.36,4.68
9.62,5.16,16.04,6.45,5.03
8.49,5.46,16.18,5.85,4.39
8.89,5.47,15.87,5.85,4.33
9.06,5.54,15.73,6.07,4.32
9.17,5.12,15.71,5.89,4.4
9.03,5.08,16.73,5.84,4.83
9.31,4.96,15.93,5.9,5.29
8.84,5.12,16.17,5.95,4.75
9.12,5.09,15.92,5.93,4.36
8.82,5.35,15.45,5.89,4.34
8.94,5.54,15.25,5.9,4.38
8.5,5.25,14.83,5.98,4.54
8.15,5.16,15.13,6.36,4.74
8.24,5.04,15.9,7.12,5.66
8.68,5.1,15.27,6.6,4.4
8.99,5.07,15.49,7.29,4.35
9.27,5.26,16.0,6.44,4.38
9.05,5.98,15.65,6.93,4.41
9.01,5.88,16.02,6.66,5.32
9.03,5.76,16.16,6.84,4.78
9.36,5.1,16.5,5.8,4.37
8.98,5.09,15.29,5.96,4.41
8.53,5.04,16.0,5.93,4.41
8.95,5.13,16.09,6.36,4.36
8.37,5.09,15.52,5.9,4.42
9.26,5.05,15.17,6.0,5.76
8.36,5.13,15.87,5.86,4.68
8.57,5.86,15.45,5.9,4.38
9.03,6.33,16.16,5.9,4.43
9.85,6.16,15.48,5.93,4.43
9.68,5.51,15.08,5.98,4.43
9.21,5.01,15.37,5.97,5.38
8.67,4.92,14.99,5.94,5.74
8.54,5.07,16.09,6.06,5.2
