P-521,p521_mlkem1024,mlkem1024
18.7,29.36,10.76
19.89,26.6,9.9
18.69,27.08,10.71
19.55,26.71,9.66
21.9,27.05,8.96
18.3,26.07,9.79
18.94,27.62,9.73
19.33,27.26,9.32
19.13,26.88,9.7
19.12,26.45,9.19
18.61,26.26,9.68
21.07,25.54,9.07
18.0,25.86,8.72
18.55,25.47,9.25
17.84,26.13,9.67
17.78,26.18,9.4
17.71,26.56,9.32
18.12,25.74,9.0
17.73,26.15,9.34
17.76,26.36,10.35
18.1,25.09,9.61
19.06,25.66,9.22
18.87,25.82,10.68
18.18,26.47,9.43
18.42,26.39,9.2
19.18,25.56,10.99
18.0,25.47,8.72
17.93,24.42,9.06
18.41,24.44,8.63
18.53,25.48,8.79
18.18,24.49,10.05
18.85,23.91,8.47
17.84,24.06,8.26
18.37,24.89,8.2
17.66,23.92,8.23
18.33,24.87,8.17
18.01,25.08,8.21
18.25,24.87,8.56
18.22,26.07,9.03
18.33,27.62,9.23
18.01,25.83,9.03
18.19,25.95,9.23
18.22,25.7,9.22
18.11,26.07,9.46
18.0,26.59,8.57
17.96,26.51,8.25
17.49,26.09,8.12
18.02,25.52,8.4
18.32,26.37,8.31
18.25,25.74,9.46
17.74,27.64,8.86
18.5,26.66,10.42
17.71,26.41,9.53
16.36,26.37,9.26
16.7,27.14,8.33
17.31,24.36,9.13
17.28,25.19,9.52
17.19,24.67,9.65
18.0,24.64,10.76
21.34,24.95,8.42
17.51,24.95,8.18
17.29,25.22,8.22
17.79,25.05,8.24
18.28,23.07,8.08
17.56,24.4,8.24
17.69,24.47,8.33
18.36,23.89,9.12
18.0,24.68,9.09
18.17,24.11,9.01
18.83,24.34,9.2
17.98,23.72,8.98
18.15,24.83,8.95
18.57,24.38,8.52
18.27,25.02,8.19
17.63,25.06,8.49
17.52,25.16,8.33
17.72,25.33,8.58
17.46,25.6,9.13
16.93,24.77,9.26
17.09,25.23,8.96
17.63,25.12,9.51
18.51,24.46,8.53
17.8,25.09,8.17
17.12,25.62,8.3
18.03,25.36,8.58
18.12,24.93,10.09
17.23,24.59,8.9
17.28,24.42,9.55
17.89,24.68,8.54
16.44,25.12,8.39
17.01,24.68,8.6
16.76,24.88,10.34
16.2,25.08,10.23
16.65,24.43,8.43
16.48,24.59,8.36
18.7,25.02,8.97
17.98,25.09,8.97
17.35,25.9,9.89
18.33,25.38,8.61
18.29,24.65,8.61
17.67,24.85,8.74
18.12,27.06,8.66
17.72,24.99,8.4
18.5,24.39,8.13
17.36,23.87,8.24
17.38,24.78,8.31
17.96,24.74,9.04
18.28,23.91,9.26
16.99,23.99,8.99
16.84,23.99,9.08
17.41,23.72,8.93
17.64,24.53,8.79
17.38,24.41,8.91
17.39,25.5,8.79
17.79,24.42,8.74
17.42,25.91,8.31
18.24,24.87,9.44
18.3,25.08,10.11
17.46,24.55,9.7
18.93,24.34,9.1
17.9,24.19,8.53
17.82,24.27,8.77
22.61,24.55,9.46
16.73,23.48,9.46
16.19,24.54,10.27
16.8,25.07,8.57
16.68,24.76,8.52
17.16,24.09,9.19
16.5,23.87,9.55
16.57,24.15,9.26
16.52,24.37,8.82
16.41,24.49,9.26
16.46,24.3,9.13
16.74,24.31,8.98
17.04,26.57,8.87
17.4,26.45,9.16
18.04,25.29,10.93
17.29,25.27,8.98
18.11,25.48,9.21
17.39,25.28,10.79
17.84,24.82,9.69
18.04,25.21,9.0
16.71,24.19,9.33
16.94,23.54,9.16
17.51,24.09,9.12
17.42,23.9,9.31
17.78,24.02,9.14
17.22,23.57,10.19
16.97,23.76,9.11
17.27,23.63,8.75
17.66,23.56,8.9
17.22,23.77,9.52
17.18,23.75,9.75
17.45,24.49,9.25
17.45,25.03,8.86
16.93,24.25,8.23
16.54,25.38,8.05
