P-256_Time_ms,P-256_Bytes_Total,x25519_Time_ms,x25519_Bytes_Total,p256_mlkem512_Time_ms,p256_mlkem512_Bytes_Total,x25519_mlkem512_Time_ms,x25519_mlkem512_Bytes_Total,mlkem512_Time_ms,mlkem512_Bytes_Total
3.69,0,3.1,0,20.6,0,7.54,0,3.91,0
4.14,0,5.07,0,14.61,0,5.56,0,2.9,0
3.72,0,3.18,0,23.84,0,4.89,0,3.34,0
3.09,0,2.48,0,15.14,0,7.6,0,3.97,0
2.81,0,2.75,0,23.7,0,6.82,0,4.02,0
3.01,0,2.48,0,21.7,0,4.98,0,3.16,0
3.2,0,3.65,0,15.4,0,4.79,0,2.73,0
3.26,0,2.77,0,13.85,0,6.35,0,2.52,0
3.05,0,3.0,0,16.03,0,5.13,0,2.76,0
3.38,0,2.53,0,23.25,0,6.21,0,2.8,0
2.79,0,2.54,0,23.06,0,5.03,0,3.46,0
3.89,0,3.04,0,17.31,0,5.16,0,3.49,0
3.65,0,3.07,0,13.4,0,4.75,0,3.83,0
2.68,0,2.45,0,14.97,0,4.81,0,2.88,0
2.71,0,3.36,0,16.34,0,6.27,0,2.88,0
2.81,0,2.42,0,14.38,0,7.89,0,2.71,0
3.0,0,4.89,0,13.64,0,5.46,0,3.21,0
2.78,0,2.51,0,13.94,0,5.21,0,2.81,0
2.86,0,2.45,0,16.89,0,4.86,0,2.55,0
3.27,0,2.56,0,21.32,0,5.91,0,2.76,0
3.45,0,2.9,0,14.36,0,6.8,0,2.55,0
2.76,0,3.45,0,20.65,0,6.34,0,2.38,0
3.89,0,2.8,0,15.25,0,6.46,0,2.6,0
4.35,0,3.1,0,15.26,0,4.71,0,3.4,0
3.69,0,2.56,0,16.34,0,5.74,0,3.04,0
2.9,0,3.04,0,13.53,0,7.33,0,2.55,0
3.23,0,2.44,0,14.29,0,5.23,0,2.43,0
2.95,0,2.44,0,13.52,0,6.46,0,2.54,0
2.87,0,2.78,0,13.49,0,6.47,0,3.39,0
2.84,0,2.54,0,15.6,0,5.96,0,3.45,0
3.59,0,3.21,0,14.12,0,6.02,0,2.58,0
3.44,0,2.84,0,13.52,0,4.75,0,3.15,0
3.66,0,2.84,0,13.71,0,5.22,0,2.44,0
3.67,0,2.4,0,14.52,0,5.11,0,4.04,0
2.79,0,3.04,0,13.78,0,5.25,0,3.98,0
2.83,0,2.85,0,14.7,0,6.32,0,3.14,0
3.37,0,2.4,0,13.73,0,5.26,0,4.28,0
3.49,0,5.24,0,14.34,0,4.85,0,3.05,0
2.73,0,2.64,0,14.14,0,4.79,0,2.87,0
2.85,0,3.14,0,15.51,0,5.59,0,2.75,0
2.89,0,2.76,0,15.45,0,7.14,0,2.4,0
3.51,0,2.57,0,13.73,0,6.67,0,2.65,0
2.8,0,2.48,0,13.26,0,4.59,0,2.52,0
3.52,0,2.62,0,13.99,0,4.66,0,2.77,0
4.45,0,4.44,0,13.73,0,5.3,0,2.45,0
3.36,0,2.77,0,14.87,0,6.17,0,2.42,0
2.85,0,3.23,0,14.07,0,6.72,0,2.51,0
2.72,0,3.23,0,14.02,0,5.95,0,3.3,0
3.25,0,3.33,0,12.96,0,4.82,0,2.51,0
3.59,0,3.14,0,13.51,0,4.79,0,3.44,0
2.81,0,2.83,0,15.27,0,6.19,0,6.92,0
2.96,0,2.58,0,14.21,0,5.79,0,3.79,0
2.77,0,3.12,0,15.56,0,4.96,0,2.48,0
2.88,0,2.79,0,13.88,0,4.75,0,2.89,0
3.26,0,2.89,0,16.62,0,5.31,0,2.36,0
2.78,0,3.33,0,13.45,0,5.48,0,3.08,0
2.82,0,2.94,0,17.66,0,6.43,0,2.53,0
2.77,0,2.41,0,13.53,0,5.47,0,3.37,0
2.94,0,2.48,0,16.32,0,6.32,0,3.46,0
2.84,0,2.59,0,13.92,0,7.42,0,3.63,0
3.55,0,3.53,0,17.46,0,5.0,0,3.21,0
2.87,0,3.23,0,14.91,0,8.81,0,2.49,0
3.26,0,2.6,0,18.91,0,6.6,0,2.42,0
2.88,0,3.16,0,28.4,0,5.06,0,3.08,0
3.86,0,2.5,0,20.14,0,5.55,0,2.45,0
2.88,0,3.41,0,16.67,0,4.7,0,2.55,0
3.29,0,2.98,0,15.29,0,4.67,0,3.31,0
3.6,0,4.49,0,19.85,0,6.62,0,3.96,0
4.16,0,2.63,0,14.24,0,4.65,0,3.35,0
2.84,0,3.11,0,12.8,0,5.24,0,2.82,0
3.75,0,2.87,0,15.65,0,8.05,0,2.59,0
3.23,0,2.41,0,16.25,0,4.81,0,2.47,0
2.71,0,3.14,0,21.14,0,4.94,0,2.42,0
2.8,0,2.97,0,19.03,0,4.64,0,3.12,0
3.17,0,2.73,0,12.71,0,7.16,0,2.49,0
3.25,0,2.78,0,13.92,0,5.68,0,2.58,0
3.68,0,2.88,0,19.48,0,6.55,0,2.83,0
2.77,0,2.85,0,15.17,0,4.79,0,2.68,0
3.38,0,2.79,0,14.29,0,6.85,0,2.91,0
2.97,0,3.37,0,13.96,0,5.99,0,2.99,0
3.11,0,2.54,0,13.49,0,5.09,0,3.67,0
3.24,0,3.6,0,24.84,0,4.62,0,2.53,0
3.55,0,2.92,0,16.74,0,4.62,0,2.43,0
2.84,0,2.91,0,16.72,0,7.09,0,2.38,0
3.31,0,2.82,0,20.89,0,5.58,0,2.54,0
3.27,0,2.41,0,14.33,0,6.5,0,5.66,0
2.86,0,2.31,0,13.76,0,4.77,0,3.84,0
3.38,0,2.9,0,25.11,0,4.99,0,3.83,0
2.77,0,3.21,0,15.24,0,4.72,0,3.28,0
3.83,0,2.65,0,14.08,0,5.75,0,2.52,0
3.53,0,2.86,0,14.11,0,7.19,0,2.52,0
3.18,0,2.52,0,14.51,0,5.51,0,3.08,0
2.76,0,2.73,0,15.01,0,5.26,0,2.5,0
2.78,0,2.56,0,16.2,0,4.77,0,2.59,0
3.52,0,2.37,0,13.94,0,5.1,0,2.48,0
2.76,0,2.89,0,14.44,0,6.26,0,2.68,0
3.83,0,2.96,0,14.59,0,6.8,0,2.43,0
3.36,0,3.29,0,16.59,0,6.43,0,3.7,0
2.97,0,3.19,0,15.36,0,5.04,0,2.92,0
3.28,0,2.7,0,14.79,0,4.73,0,2.44,0
2.97,0,3.05,0,13.29,0,4.64,0,3.11,0
2.81,0,3.25,0,14.43,0,4.66,0,3.22,0
2.83,0,3.06,0,13.83,0,8.02,0,2.9,0
2.79,0,3.1,0,13.17,0,6.65,0,3.71,0
3.38,0,2.84,0,14.26,0,6.47,0,3.27,0
3.85,0,2.52,0,13.16,0,4.61,0,3.42,0
2.82,0,2.54,0,13.73,0,8.05,0,2.41,0
2.7,0,3.09,0,23.9,0,5.78,0,2.39,0
3.63,0,2.53,0,15.92,0,4.53,0,2.46,0
2.94,0,2.57,0,13.6,0,6.99,0,2.46,0
3.48,0,3.62,0,14.19,0,4.68,0,2.69,0
2.8,0,2.58,0,13.41,0,5.21,0,3.22,0
2.77,0,2.64,0,13.82,0,8.31,0,2.5,0
2.73,0,3.22,0,12.65,0,5.94,0,2.55,0
3.32,0,2.71,0,14.07,0,4.64,0,2.8,0
3.47,0,2.53,0,13.33,0,5.04,0,3.25,0
3.13,0,3.95,0,14.19,0,5.85,0,3.03,0
2.83,0,2.56,0,22.19,0,6.39,0,4.02,0
2.82,0,2.59,0,15.18,0,6.5,0,3.21,0
2.81,0,2.59,0,12.86,0,6.35,0,2.66,0
3.63,0,2.45,0,13.53,0,7.6,0,2.48,0
3.08,0,2.53,0,15.22,0,5.93,0,2.45,0
2.82,0,3.19,0,18.69,0,5.54,0,2.53,0
2.73,0,2.53,0,14.9,0,4.75,0,3.06,0
3.39,0,3.08,0,13.8,0,5.31,0,3.01,0
2.7,0,2.64,0,17.0,0,4.55,0,3.39,0
3.01,0,5.18,0,13.12,0,6.36,0,2.78,0
2.76,0,2.53,0,14.33,0,4.87,0,2.54,0
2.72,0,2.51,0,16.47,0,6.03,0,2.58,0
2.78,0,2.84,0,15.97,0,6.42,0,3.16,0
3.9,0,2.44,0,14.05,0,4.68,0,3.59,0
2.83,0,3.13,0,12.96,0,6.53,0,2.72,0
2.72,0,2.51,0,16.32,0,6.97,0,3.14,0
3.39,0,3.94,0,20.92,0,6.54,0,2.66,0
6.22,0,3.73,0,15.02,0,5.42,0,6.53,0
2.93,0,3.34,0,12.43,0,6.93,0,3.88,0
2.87,0,3.37,0,15.02,0,6.0,0,3.25,0
2.73,0,2.97,0,13.16,0,6.21,0,3.04,0
3.68,0,2.94,0,19.26,0,4.94,0,4.98,0
4.12,0,3.24,0,13.85,0,5.19,0,3.2,0
