P-256_Time_ms,P-256_Bytes_Total,x25519_Time_ms,x25519_Bytes_Total,p256_mlkem512_Time_ms,p256_mlkem512_Bytes_Total,x25519_mlkem512_Time_ms,x25519_mlkem512_Bytes_Total,mlkem512_Time_ms,mlkem512_Bytes_Total
5.5,0,5.31,0,29.03,0,6.7,0,5.96,0
5.89,0,5.28,0,21.89,0,5.59,0,4.77,0
5.54,0,4.97,0,21.89,0,6.18,0,4.82,0
6.29,0,4.82,0,21.78,0,6.46,0,4.92,0
5.88,0,4.54,0,22.63,0,6.81,0,4.67,0
5.33,0,4.55,0,21.23,0,6.36,0,4.57,0
6.09,0,5.21,0,22.04,0,6.74,0,4.56,0
3.99,0,5.44,0,22.16,0,6.62,0,4.61,0
3.17,0,5.76,0,22.51,0,6.69,0,5.51,0
3.32,0,5.29,0,22.93,0,6.64,0,4.88,0
2.8,0,5.2,0,22.82,0,6.27,0,5.59,0
3.54,0,5.76,0,26.85,0,6.14,0,4.73,0
3.46,0,5.16,0,32.08,0,7.05,0,4.64,0
3.06,0,5.04,0,29.07,0,6.96,0,4.68,0
2.98,0,5.08,0,26.09,0,6.17,0,4.74,0
2.81,0,2.68,0,26.45,0,6.81,0,4.48,0
2.86,0,2.7,0,24.82,0,7.39,0,4.66,0
4.04,0,2.96,0,18.7,0,6.53,0,4.75,0
3.91,0,4.11,0,19.48,0,6.18,0,4.89,0
7.22,0,4.54,0,19.11,0,4.29,0,5.15,0
5.72,0,5.2,0,25.19,0,4.82,0,4.71,0
6.15,0,5.59,0,25.59,0,4.85,0,5.33,0
5.47,0,5.34,0,25.84,0,4.47,0,6.92,0
5.31,0,5.07,0,24.96,0,6.25,0,5.37,0
5.41,0,5.2,0,26.0,0,6.85,0,5.22,0
5.85,0,5.57,0,24.03,0,6.61,0,5.18,0
5.84,0,5.13,0,26.05,0,6.55,0,5.42,0
5.67,0,5.13,0,22.49,0,6.4,0,5.64,0
5.36,0,3.07,0,10.84,0,6.68,0,5.78,0
5.48,0,2.66,0,10.42,0,6.77,0,5.79,0
5.55,0,2.63,0,11.23,0,8.06,0,5.11,0
5.44,0,2.61,0,12.34,0,6.32,0,5.18,0
