P-384_Time_ms,P-384_Bytes_Total,x448_Time_ms,x448_Bytes_Total,p384_mlkem768_Time_ms,p384_mlkem768_Bytes_Total,x448_mlkem768_Time_ms,x448_mlkem768_Bytes_Total,mlkem768_Time_ms,mlkem768_Bytes_Total
8.32,0,8.75,0,27.27,0,19.65,0,7.04,0
11.7,0,7.34,0,20.69,0,14.93,0,4.8,0
13.74,0,8.34,0,18.68,0,11.48,0,4.46,0
7.92,0,7.33,0,20.71,0,9.81,0,6.54,0
9.19,0,7.02,0,22.91,0,14.12,0,6.19,0
11.33,0,5.67,0,18.92,0,15.32,0,6.72,0
9.38,0,6.3,0,24.77,0,11.98,0,5.78,0
7.72,0,8.54,0,20.01,0,11.36,0,6.52,0
10.3,0,6.04,0,28.48,0,15.16,0,6.53,0
8.83,0,5.82,0,19.16,0,23.11,0,5.97,0
10.99,0,6.95,0,21.5,0,10.95,0,6.2,0
11.21,0,6.02,0,19.93,0,10.82,0,4.58,0
12.66,0,10.88,0,19.24,0,9.24,0,5.59,0
10.81,0,5.63,0,22.0,0,8.89,0,7.57,0
8.18,0,5.62,0,28.39,0,11.72,0,6.68,0
10.14,0,5.46,0,24.37,0,8.39,0,6.63,0
8.51,0,7.45,0,19.97,0,10.78,0,4.48,0
8.48,0,6.49,0,21.61,0,12.66,0,5.74,0
11.72,0,7.21,0,19.49,0,9.49,0,6.33,0
9.16,0,7.96,0,25.52,0,9.99,0,5.3,0
7.72,0,7.83,0,28.08,0,10.67,0,5.06,0
7.59,0,6.46,0,28.22,0,8.5,0,4.89,0
8.26,0,8.6,0,25.58,0,9.13,0,4.44,0
8.96,0,9.06,0,21.0,0,11.01,0,4.93,0
11.0,0,6.93,0,21.41,0,12.45,0,5.26,0
8.34,0,5.43,0,18.07,0,15.67,0,7.82,0
11.79,0,10.62,0,21.58,0,10.1,0,7.07,0
8.05,0,8.2,0,19.76,0,9.01,0,4.36,0
10.88,0,7.1,0,19.9,0,9.39,0,5.14,0
9.21,0,8.02,0,22.62,0,10.92,0,5.61,0
8.81,0,9.37,0,19.05,0,9.65,0,5.25,0
7.59,0,6.75,0,18.15,0,8.88,0,6.18,0
7.7,0,7.38,0,20.66,0,13.94,0,5.04,0
8.78,0,5.54,0,21.17,0,9.63,0,4.42,0
11.79,0,5.97,0,20.42,0,9.05,0,5.5,0
7.66,0,6.5,0,21.45,0,13.05,0,4.52,0
8.22,0,6.64,0,18.23,0,14.34,0,4.38,0
9.41,0,7.21,0,21.01,0,9.84,0,4.68,0
7.91,0,5.61,0,21.8,0,9.01,0,7.97,0
7.92,0,6.56,0,18.27,0,13.59,0,5.92,0
7.87,0,9.39,0,24.59,0,13.39,0,5.32,0
8.94,0,8.2,0,25.58,0,10.5,0,5.77,0
9.4,0,5.43,0,18.32,0,10.34,0,4.53,0
