P-384_Time_ms,P-384_Bytes_Total,x448_Time_ms,x448_Bytes_Total,p384_mlkem768_Time_ms,p384_mlkem768_Bytes_Total,x448_mlkem768_Time_ms,x448_mlkem768_Bytes_Total,mlkem768_Time_ms,mlkem768_Bytes_Total
20.58,0,5.13,0,18.0,0,6.03,0,4.77,0
19.3,0,4.79,0,14.83,0,5.4,0,4.3,0
29.38,0,4.8,0,15.21,0,5.37,0,4.15,0
29.89,0,5.38,0,15.29,0,5.66,0,4.29,0
30.35,0,4.93,0,15.62,0,5.65,0,4.5,0
29.51,0,5.1,0,15.62,0,5.76,0,4.59,0
29.06,0,5.06,0,15.68,0,5.86,0,5.36,0
31.12,0,5.76,0,15.11,0,6.02,0,4.25,0
29.97,0,5.31,0,15.58,0,6.25,0,4.25,0
30.59,0,5.66,0,16.16,0,6.07,0,4.37,0
29.68,0,5.5,0,15.38,0,6.51,0,4.78,0
28.75,0,5.35,0,15.9,0,6.82,0,4.48,0
28.73,0,5.06,0,15.95,0,6.63,0,4.72,0
29.84,0,4.91,0,16.6,0,6.27,0,4.72,0
29.89,0,5.66,0,15.63,0,6.01,0,4.35,0
32.17,0,5.08,0,15.59,0,5.82,0,4.34,0
30.52,0,5.53,0,14.83,0,8.5,0,4.3,0
31.72,0,5.47,0,15.09,0,5.88,0,4.38,0
29.2,0,5.92,0,14.73,0,7.53,0,4.54,0
29.23,0,5.58,0,15.28,0,5.8,0,4.72,0
30.07,0,5.27,0,15.06,0,6.04,0,4.44,0
29.79,0,5.08,0,15.61,0,6.1,0,4.55,0
31.33,0,5.09,0,15.13,0,6.43,0,4.36,0
30.64,0,5.06,0,15.75,0,6.93,0,4.43,0
33.01,0,5.04,0,15.41,0,6.35,0,4.88,0
19.82,0,5.04,0,15.32,0,5.96,0,5.18,0
19.65,0,5.22,0,15.74,0,6.61,0,5.28,0
20.01,0,5.56,0,15.64,0,5.67,0,4.37,0
22.39,0,5.45,0,15.83,0,5.96,0,4.66,0
29.39,0,6.63,0,15.8,0,6.16,0,4.37,0
28.26,0,5.57,0,14.92,0,5.9,0,4.32,0
28.57,0,5.21,0,15.34,0,5.83,0,4.79,0
31.39,0,5.06,0,15.62,0,5.96,0,5.33,0
30.55,0,5.03,0,15.36,0,5.92,0,5.22,0
22.36,0,5.02,0,15.9,0,6.14,0,4.2,0
13.32,0,5.09,0,15.14,0,5.84,0,4.33,0
16.35,0,5.53,0,14.69,0,6.12,0,4.4,0
18.23,0,5.48,0,14.99,0,5.88,0,4.61,0
30.7,0,7.41,0,14.67,0,6.38,0,5.44,0
30.73,0,6.14,0,14.85,0,5.74,0,5.67,0
29.47,0,6.47,0,14.89,0,5.79,0,5.3,0
26.57,0,5.83,0,15.71,0,5.81,0,4.37,0
27.77,0,5.18,0,14.68,0,5.71,0,4.33,0
27.66,0,5.15,0,15.03,0,6.0,0,4.37,0
25.59,0,5.03,0,14.8,0,7.46,0,4.4,0
27.15,0,5.03,0,16.35,0,6.02,0,5.11,0
28.06,0,5.06,0,15.1,0,6.54,0,4.87,0
29.63,0,5.09,0,15.66,0,6.39,0,4.96,0
30.18,0,5.28,0,15.06,0,6.52,0,4.37,0
29.27,0,5.58,0,16.24,0,6.14,0,4.34,0
22.22,0,6.02,0,15.91,0,5.84,0,4.38,0
12.03,0,5.94,0,15.77,0,5.86,0,4.54,0
13.17,0,4.82,0,15.78,0,5.76,0,5.89,0
12.24,0,5.36,0,15.96,0,5.74,0,4.9,0
16.15,0,4.99,0,15.63,0,5.91,0,4.48,0
23.91,0,5.05,0,15.19,0,5.88,0,4.35,0
28.77,0,5.38,0,15.02,0,5.86,0,4.45,0
30.03,0,5.12,0,15.52,0,6.33,0,4.7,0
29.13,0,5.9,0,16.13,0,5.84,0,4.5,0
27.83,0,5.63,0,15.8,0,5.89,0,5.12,0
30.68,0,6.31,0,17.04,0,5.83,0,5.67,0
29.62,0,5.39,0,15.4,0,5.91,0,4.72,0
32.2,0,5.08,0,15.15,0,5.85,0,4.29,0
29.54,0,5.13,0,15.1,0,6.05,0,4.38,0
30.25,0,5.1,0,15.27,0,6.14,0,4.35,0
32.67,0,5.1,0,15.6,0,6.37,0,4.64,0
29.16,0,5.2,0,16.44,0,6.81,0,5.67,0
35.02,0,7.76,0,14.9,0,7.03,0,5.15,0
29.35,0,5.47,0,15.31,0,6.61,0,4.54,0
29.07,0,6.07,0,15.09,0,6.58,0,4.35,0
27.03,0,5.52,0,14.97,0,6.55,0,4.35,0
