P-521_Time_ms,P-521_Bytes_Total,p521_mlkem1024_Time_ms,p521_mlkem1024_Bytes_Total,mlkem1024_Time_ms,mlkem1024_Bytes_Total
8.16,0,24.5,0,5.43,0
9.16,0,17.95,0,5.22,0
10.88,0,18.42,0,4.95,0
7.44,0,18.52,0,6.22,0
7.51,0,29.2,0,4.97,0
11.83,0,18.41,0,5.71,0
12.56,0,28.38,0,4.75,0
11.31,0,18.23,0,5.39,0
10.59,0,17.84,0,4.67,0
7.6,0,18.29,0,5.41,0
7.69,0,27.02,0,5.97,0
7.37,0,17.96,0,7.16,0
9.01,0,17.72,0,4.77,0
17.67,0,23.25,0,4.64,0
12.22,0,18.48,0,7.63,0
10.93,0,22.1,0,4.68,0
7.7,0,18.36,0,4.81,0
7.56,0,19.57,0,5.11,0
11.96,0,18.0,0,4.71,0
8.2,0,22.67,0,4.68,0
11.53,0,17.84,0,5.84,0
11.85,0,19.2,0,4.99,0
7.39,0,17.91,0,5.26,0
7.58,0,18.13,0,5.43,0
7.97,0,19.06,0,5.34,0
8.35,0,18.44,0,4.61,0
11.28,0,19.16,0,6.64,0
7.95,0,33.24,0,5.73,0
8.51,0,24.37,0,5.08,0
8.03,0,28.99,0,4.79,0
7.71,0,21.22,0,6.92,0
11.82,0,28.62,0,6.1,0
10.49,0,17.82,0,5.32,0
7.68,0,18.65,0,4.86,0
11.29,0,18.1,0,4.67,0
8.62,0,29.63,0,4.72,0
15.72,0,18.95,0,5.58,0
7.58,0,18.85,0,5.68,0
8.27,0,18.41,0,5.27,0
8.92,0,18.81,0,4.71,0
8.13,0,29.29,0,4.82,0
9.35,0,18.82,0,5.42,0
8.99,0,29.9,0,5.22,0
8.56,0,28.83,0,4.8,0
9.97,0,31.78,0,4.66,0
7.53,0,21.8,0,5.04,0
8.22,0,30.34,0,5.66,0
8.74,0,19.83,0,5.1,0
8.59,0,27.54,0,4.83,0
7.52,0,21.69,0,7.04,0
8.15,0,21.14,0,5.74,0
8.54,0,25.34,0,5.43,0
8.44,0,23.6,0,4.69,0
7.44,0,24.06,0,4.75,0
7.74,0,27.79,0,4.71,0
8.68,0,29.52,0,5.63,0
12.46,0,23.09,0,6.81,0
7.58,0,27.07,0,5.14,0
7.38,0,23.3,0,5.73,0
8.21,0,18.92,0,6.1,0
9.14,0,22.21,0,7.1,0
9.39,0,17.76,0,9.97,0
