P-521_Time_ms,P-521_Bytes_Total,p521_mlkem1024_Time_ms,p521_mlkem1024_Bytes_Total,mlkem1024_Time_ms,mlkem1024_Bytes_Total
17.07,0,29.28,0,8.26,0
16.49,0,26.48,0,7.75,0
16.75,0,24.63,0,8.51,0
17.38,0,24.56,0,8.01,0
16.84,0,23.21,0,8.29,0
16.48,0,23.95,0,8.41,0
16.62,0,25.67,0,8.21,0
16.95,0,25.68,0,8.02,0
16.49,0,25.78,0,8.38,0
16.49,0,26.14,0,8.72,0
17.92,0,24.62,0,8.86,0
19.23,0,25.38,0,9.16,0
16.4,0,26.94,0,8.64,0
16.41,0,25.91,0,8.32,0
16.71,0,23.94,0,8.09,0
16.7,0,24.55,0,8.41,0
16.96,0,25.79,0,8.13,0
17.41,0,24.98,0,8.04,0
17.15,0,25.59,0,8.39,0
16.11,0,25.89,0,8.62,0
17.03,0,26.36,0,8.65,0
16.2,0,24.42,0,8.39,0
16.29,0,23.67,0,8.0,0
17.1,0,23.57,0,8.49,0
17.26,0,23.98,0,8.72,0
16.44,0,23.95,0,8.55,0
16.9,0,24.14,0,8.35,0
16.68,0,24.09,0,8.66,0
17.12,0,24.05,0,8.26,0
17.15,0,24.54,0,8.5,0
17.44,0,23.64,0,8.17,0
16.26,0,23.51,0,7.95,0
17.33,0,23.98,0,8.1,0
17.18,0,25.02,0,8.17,0
17.44,0,25.35,0,8.0,0
17.29,0,24.24,0,8.25,0
17.49,0,23.46,0,8.53,0
17.14,0,23.76,0,8.5,0
16.81,0,23.41,0,9.04,0
16.4,0,23.51,0,9.15,0
17.41,0,23.39,0,9.61,0
16.88,0,23.56,0,8.95,0
16.02,0,23.46,0,8.35,0
16.04,0,24.3,0,8.21,0
17.75,0,24.49,0,8.47,0
16.66,0,27.54,0,8.25,0
16.77,0,25.46,0,8.21,0
16.09,0,24.88,0,8.61,0
16.98,0,24.84,0,8.76,0
16.96,0,25.12,0,8.6,0
17.05,0,25.28,0,9.07,0
17.02,0,24.7,0,8.98,0
16.63,0,25.12,0,8.51,0
17.89,0,24.16,0,8.04,0
16.49,0,23.58,0,7.83,0
16.88,0,23.91,0,8.14,0
17.15,0,24.25,0,8.4,0
17.73,0,23.67,0,8.22,0
17.2,0,23.36,0,8.3,0
17.53,0,23.44,0,8.27,0
17.95,0,25.25,0,8.05,0
17.77,0,23.4,0,8.57,0
17.17,0,23.95,0,7.85,0
16.37,0,23.34,0,8.48,0
16.84,0,23.47,0,8.07,0
16.66,0,23.28,0,9.1,0
16.83,0,24.29,0,8.56,0
17.01,0,24.45,0,7.94,0
16.63,0,24.05,0,9.2,0
17.21,0,24.7,0,9.16,0
17.36,0,23.48,0,8.33,0
17.72,0,25.92,0,8.19,0
17.11,0,24.14,0,8.56,0
17.03,0,24.35,0,8.37,0
16.24,0,24.45,0,8.54,0
16.82,0,23.91,0,8.74,0
17.64,0,25.73,0,8.42,0
16.86,0,23.82,0,8.55,0
16.68,0,23.22,0,8.55,0
17.38,0,24.23,0,8.36,0
16.66,0,24.2,0,8.37,0
16.68,0,24.34,0,8.28,0
16.79,0,23.45,0,7.96,0
17.78,0,23.99,0,8.27,0
16.89,0,25.01,0,8.23,0
17.38,0,24.62,0,8.31,0
17.12,0,24.07,0,8.05,0
16.43,0,25.56,0,7.99,0
16.17,0,23.86,0,8.01,0
16.24,0,24.53,0,8.38,0
16.19,0,24.63,0,8.53,0
16.06,0,24.6,0,7.96,0
16.93,0,24.57,0,8.01,0
16.07,0,23.41,0,7.94,0
16.05,0,23.49,0,8.0,0
16.01,0,23.98,0,8.52,0
16.71,0,24.32,0,8.16,0
17.09,0,24.66,0,8.29,0
16.68,0,23.8,0,9.17,0
16.05,0,24.43,0,8.3,0
15.99,0,24.87,0,8.8,0
17.64,0,24.03,0,8.19,0
16.42,0,24.28,0,8.9,0
16.97,0,23.73,0,8.2,0
16.22,0,24.31,0,8.53,0
16.07,0,24.45,0,8.61,0
16.61,0,23.73,0,8.84,0
16.66,0,24.1,0,8.4,0
16.46,0,23.91,0,8.62,0
16.7,0,24.02,0,8.31,0
16.83,0,23.75,0,8.2,0
16.2,0,25.05,0,8.42,0
17.14,0,25.45,0,8.7,0
17.11,0,24.21,0,8.37,0
16.12,0,24.73,0,8.74,0
16.2,0,26.48,0,8.44,0
16.28,0,24.05,0,7.92,0
16.17,0,24.71,0,8.08,0
16.49,0,24.6,0,7.74,0
16.04,0,24.57,0,7.96,0
16.67,0,24.11,0,7.96,0
16.12,0,23.31,0,9.09,0
16.55,0,24.45,0,8.28,0
16.2,0,23.12,0,7.82,0
16.88,0,24.45,0,8.3,0
16.0,0,24.11,0,8.01,0
16.05,0,23.93,0,8.33,0
16.01,0,24.11,0,8.19,0
16.54,0,24.59,0,8.02,0
16.08,0,25.63,0,8.04,0
17.2,0,23.35,0,8.24,0
15.95,0,27.85,0,8.04,0
16.51,0,25.01,0,8.07,0
16.87,0,25.33,0,8.47,0
16.47,0,23.76,0,8.11,0
16.77,0,23.35,0,8.01,0
16.52,0,24.45,0,12.16,0
16.16,0,29.5,0,9.15,0
16.87,0,23.33,0,8.93,0
16.87,0,23.55,0,8.2,0
16.45,0,23.73,0,8.68,0
16.46,0,23.78,0,8.37,0
16.52,0,23.43,0,7.7,0
17.29,0,24.12,0,7.87,0
