P-256_Time_ms,P-256_Bytes_Total,x25519_Time_ms,x25519_Bytes_Total,p256_mlkem512_Time_ms,p256_mlkem512_Bytes_Total,x25519_mlkem512_Time_ms,x25519_mlkem512_Bytes_Total,mlkem512_Time_ms,mlkem512_Bytes_Total
2.73,0,2.52,0,15.25,0,6.01,0,2.79,0
3.6,0,2.36,0,9.81,0,3.33,0,1.85,0
2.59,0,1.82,0,8.79,0,3.35,0,1.9,0
3.13,0,2.31,0,10.38,0,3.27,0,1.89,0
2.37,0,1.99,0,13.73,0,3.42,0,1.83,0
2.52,0,1.7,0,8.64,0,3.48,0,2.16,0
2.16,0,2.29,0,8.53,0,3.46,0,1.64,0
3.01,0,2.16,0,11.04,0,3.44,0,1.81,0
2.19,0,1.75,0,8.53,0,5.05,0,2.04,0
2.45,0,2.19,0,9.33,0,3.2,0,1.77,0
2.29,0,1.67,0,9.62,0,3.1,0,1.71,0
1.98,0,2.21,0,8.47,0,3.43,0,2.09,0
2.05,0,2.5,0,10.8,0,3.1,0,2.5,0
3.42,0,1.64,0,8.45,0,3.36,0,2.08,0
2.11,0,1.73,0,8.43,0,3.43,0,2.2,0
2.9,0,1.98,0,9.81,0,3.06,0,1.99,0
2.24,0,1.93,0,10.28,0,3.13,0,1.64,0
2.75,0,2.71,0,9.93,0,3.03,0,1.66,0
1.95,0,2.11,0,8.48,0,3.49,0,1.79,0
1.92,0,1.7,0,8.44,0,4.14,0,1.66,0
2.67,0,2.1,0,9.04,0,3.16,0,2.15,0
2.63,0,1.67,0,10.74,0,3.73,0,1.97,0
2.61,0,2.06,0,8.6,0,3.71,0,1.61,0
2.21,0,2.39,0,9.04,0,3.28,0,1.97,0
3.02,0,1.68,0,13.22,0,3.2,0,1.66,0
2.72,0,1.79,0,8.96,0,4.4,0,1.58,0
1.97,0,1.81,0,8.69,0,3.24,0,1.94,0
2.74,0,1.7,0,13.24,0,3.11,0,2.01,0
1.98,0,1.67,0,10.47,0,5.07,0,2.04,0
2.74,0,1.65,0,9.01,0,3.46,0,1.68,0
1.96,0,1.72,0,13.71,0,3.13,0,1.6,0
1.9,0,1.63,0,8.65,0,3.92,0,1.65,0
1.86,0,1.73,0,8.92,0,3.16,0,1.98,0
2.01,0,1.95,0,9.33,0,3.81,0,1.73,0
3.63,0,1.65,0,9.15,0,3.17,0,1.68,0
2.38,0,2.2,0,8.6,0,3.1,0,2.19,0
2.9,0,1.69,0,8.96,0,3.28,0,1.69,0
1.78,0,1.64,0,8.64,0,4.89,0,1.87,0
2.58,0,1.75,0,8.97,0,3.36,0,1.77,0
2.23,0,1.86,0,9.54,0,3.12,0,1.69,0
2.67,0,1.69,0,8.56,0,3.06,0,1.69,0
2.53,0,1.74,0,13.63,0,3.63,0,1.76,0
2.01,0,1.79,0,8.95,0,3.5,0,1.67,0
3.31,0,1.65,0,8.67,0,4.49,0,1.65,0
2.03,0,2.06,0,9.09,0,3.19,0,2.49,0
2.04,0,1.66,0,8.82,0,3.44,0,1.65,0
1.95,0,2.1,0,8.46,0,3.1,0,1.9,0
1.95,0,1.96,0,8.51,0,4.36,0,2.44,0
2.02,0,1.66,0,13.69,0,3.13,0,1.7,0
1.85,0,1.91,0,8.63,0,4.39,0,1.62,0
2.45,0,1.98,0,9.03,0,3.1,0,1.64,0
1.89,0,1.78,0,8.73,0,3.4,0,1.59,0
2.63,0,1.67,0,8.69,0,3.12,0,1.74,0
2.03,0,1.79,0,8.63,0,4.59,0,2.22,0
2.05,0,2.1,0,9.44,0,3.97,0,2.01,0
2.18,0,1.66,0,13.54,0,3.11,0,2.17,0
2.16,0,1.7,0,8.55,0,3.66,0,2.26,0
2.12,0,1.59,0,8.45,0,3.15,0,1.61,0
2.51,0,1.64,0,8.51,0,3.96,0,1.67,0
2.48,0,1.65,0,8.52,0,3.52,0,1.86,0
1.84,0,1.77,0,8.84,0,3.07,0,1.63,0
