P-256_Time_ms,P-256_Bytes_Total,x25519_Time_ms,x25519_Bytes_Total,p256_mlkem512_Time_ms,p256_mlkem512_Bytes_Total,x25519_mlkem512_Time_ms,x25519_mlkem512_Bytes_Total,mlkem512_Time_ms,mlkem512_Bytes_Total
1.76,0,1.68,0,8.88,0,2.16,0,2.01,0
1.66,0,1.48,0,6.97,0,1.88,0,1.56,0
1.56,0,1.53,0,8.22,0,2.61,0,1.56,0
1.59,0,1.64,0,8.24,0,1.82,0,1.48,0
1.86,0,1.54,0,8.89,0,1.9,0,1.63,0
1.65,0,1.56,0,8.35,0,2.23,0,1.97,0
1.71,0,2.71,0,7.97,0,1.9,0,1.57,0
1.96,0,1.53,0,7.83,0,1.92,0,1.68,0
1.64,0,1.54,0,7.79,0,2.22,0,1.61,0
1.66,0,1.9,0,8.8,0,1.83,0,1.6,0
1.76,0,1.6,0,7.61,0,1.91,0,1.67,0
1.7,0,1.55,0,7.57,0,1.94,0,1.68,0
1.63,0,1.84,0,7.82,0,2.01,0,1.59,0
1.67,0,1.61,0,8.07,0,1.84,0,1.85,0
1.75,0,1.49,0,7.68,0,2.04,0,1.59,0
1.63,0,1.73,0,8.45,0,2.63,0,1.62,0
1.66,0,1.55,0,7.26,0,1.91,0,2.1,0
1.65,0,1.56,0,7.37,0,2.33,0,1.61,0
1.65,0,1.68,0,7.06,0,1.94,0,1.62,0
1.72,0,1.56,0,7.02,0,2.45,0,2.34,0
1.64,0,1.52,0,7.3,0,1.86,0,1.63,0
1.7,0,1.69,0,7.41,0,1.91,0,1.62,0
1.67,0,1.6,0,6.99,0,2.81,0,1.85,0
1.93,0,1.54,0,6.94,0,1.9,0,1.55,0
1.63,0,1.65,0,6.92,0,1.92,0,1.61,0
1.67,0,1.54,0,7.0,0,2.22,0,1.83,0
1.7,0,1.56,0,6.98,0,1.86,0,1.53,0
1.67,0,1.75,0,7.43,0,1.9,0,1.65,0
1.69,0,1.65,0,6.98,0,2.64,0,1.64,0
1.67,0,1.52,0,6.8,0,1.93,0,2.47,0
1.65,0,2.1,0,7.08,0,1.87,0,1.63,0
1.69,0,1.8,0,6.89,0,1.96,0,1.65,0
1.73,0,1.56,0,6.99,0,1.89,0,2.1,0
1.65,0,2.47,0,6.83,0,1.82,0,1.59,0
1.68,0,1.52,0,7.03,0,1.93,0,1.73,0
1.82,0,1.55,0,6.97,0,1.79,0,2.06,0
1.65,0,2.21,0,7.04,0,1.88,0,2.08,0
1.68,0,1.55,0,7.9,0,2.13,0,1.79,0
1.72,0,1.64,0,8.58,0,1.91,0,1.95,0
1.67,0,1.75,0,8.27,0,1.88,0,1.61,0
1.6,0,1.57,0,7.8,0,1.95,0,1.66,0
1.84,0,1.64,0,8.22,0,2.08,0,2.43,0
1.67,0,1.53,0,7.93,0,1.82,0,1.63,0
1.66,0,1.53,0,8.03,0,1.96,0,1.68,0
1.66,0,1.76,0,7.33,0,2.99,0,1.75,0
1.65,0,1.51,0,7.19,0,1.83,0,1.82,0
1.69,0,1.78,0,7.24,0,1.88,0,1.83,0
1.73,0,1.66,0,7.22,0,2.08,0,1.67,0
1.66,0,1.55,0,7.02,0,1.82,0,1.63,0
1.7,0,1.53,0,7.14,0,1.85,0,1.61,0
1.72,0,2.02,0,7.03,0,2.02,0,1.72,0
1.64,0,1.59,0,7.01,0,1.85,0,1.63,0
1.68,0,1.52,0,6.92,0,1.96,0,1.61,0
2.57,0,1.84,0,7.1,0,2.38,0,1.66,0
1.63,0,1.57,0,6.99,0,1.96,0,1.61,0
1.68,0,1.67,0,6.99,0,1.88,0,1.68,0
2.59,0,1.84,0,7.04,0,2.0,0,1.64,0
1.67,0,1.58,0,6.95,0,2.64,0,2.12,0
1.66,0,1.57,0,7.05,0,1.86,0,1.64,0
2.48,0,1.69,0,6.97,0,1.95,0,1.65,0
1.66,0,1.6,0,6.95,0,3.12,0,1.97,0
1.68,0,1.53,0,6.89,0,1.86,0,1.59,0
2.15,0,2.37,0,8.96,0,1.89,0,1.61,0
1.64,0,1.52,0,7.0,0,2.03,0,1.96,0
1.72,0,1.49,0,7.93,0,2.24,0,1.63,0
2.05,0,2.01,0,8.2,0,1.81,0,1.59,0
1.63,0,1.6,0,7.73,0,1.87,0,1.73,0
1.67,0,1.59,0,8.31,0,2.5,0,1.61,0
2.3,0,1.79,0,10.59,0,1.88,0,1.6,0
1.65,0,1.53,0,8.59,0,1.95,0,1.65,0
1.65,0,1.58,0,7.7,0,2.66,0,1.63,0
2.25,0,1.62,0,7.85,0,1.87,0,1.62,0
1.65,0,1.55,0,7.5,0,1.91,0,1.72,0
1.64,0,1.73,0,6.92,0,2.77,0,1.65,0
1.98,0,1.54,0,8.12,0,1.84,0,1.64,0
1.6,0,1.5,0,7.18,0,1.89,0,2.1,0
1.64,0,1.56,0,7.09,0,2.39,0,1.73,0
1.86,0,1.69,0,7.34,0,1.89,0,1.65,0
1.71,0,1.65,0,7.06,0,1.89,0,2.57,0
1.66,0,1.57,0,7.01,0,1.97,0,1.63,0
2.01,0,1.53,0,6.74,0,2.71,0,1.6,0
1.64,0,1.55,0,8.9,0,1.82,0,2.08,0
1.65,0,1.59,0,6.99,0,1.88,0,1.59,0
2.04,0,1.57,0,7.06,0,3.12,0,1.63,0
1.57,0,1.56,0,7.72,0,1.91,0,1.65,0
1.68,0,1.9,0,7.18,0,1.84,0,1.68,0
2.09,0,1.51,0,7.72,0,1.99,0,1.59,0
1.6,0,1.51,0,7.82,0,1.87,0,1.64,0
