P-384_Time_ms,P-384_Bytes_Total,x448_Time_ms,x448_Bytes_Total,p384_mlkem768_Time_ms,p384_mlkem768_Bytes_Total,x448_mlkem768_Time_ms,x448_mlkem768_Bytes_Total,mlkem768_Time_ms,mlkem768_Bytes_Total
5.57,0,5.37,0,16.76,0,7.54,0,4.91,0
5.26,0,3.86,0,18.72,0,6.78,0,3.1,0
5.24,0,4.09,0,12.19,0,5.85,0,3.16,0
5.41,0,4.04,0,13.24,0,8.42,0,3.42,0
6.54,0,5.42,0,12.25,0,5.67,0,2.91,0
5.31,0,4.86,0,13.06,0,6.4,0,3.85,0
8.27,0,3.74,0,11.99,0,6.71,0,3.3,0
5.52,0,3.81,0,13.11,0,6.99,0,3.29,0
7.14,0,3.83,0,12.64,0,6.37,0,3.26,0
7.2,0,3.74,0,12.46,0,7.26,0,2.9,0
5.22,0,3.75,0,12.18,0,5.68,0,4.38,0
7.32,0,3.73,0,13.22,0,5.59,0,2.92,0
5.95,0,4.71,0,14.85,0,6.32,0,3.02,0
5.48,0,3.72,0,11.98,0,5.88,0,3.68,0
5.28,0,4.04,0,18.88,0,6.58,0,3.64,0
5.41,0,3.88,0,14.31,0,5.69,0,3.28,0
5.06,0,3.71,0,19.7,0,6.05,0,4.59,0
5.71,0,4.07,0,12.24,0,5.52,0,4.23,0
5.05,0,4.51,0,14.53,0,5.83,0,3.68,0
5.33,0,4.99,0,14.13,0,5.9,0,3.01,0
5.0,0,3.67,0,12.9,0,8.06,0,3.25,0
5.06,0,4.84,0,14.5,0,6.77,0,3.48,0
5.05,0,3.69,0,12.44,0,8.34,0,4.37,0
5.13,0,3.97,0,11.94,0,6.49,0,3.21,0
5.11,0,3.69,0,12.49,0,5.83,0,2.97,0
5.04,0,5.32,0,18.4,0,5.58,0,4.39,0
5.42,0,4.52,0,11.9,0,6.58,0,3.29,0
5.07,0,3.7,0,11.95,0,5.78,0,3.49,0
5.61,0,3.71,0,12.13,0,8.07,0,3.13,0
5.1,0,3.84,0,11.96,0,6.57,0,2.9,0
5.19,0,5.34,0,14.73,0,6.83,0,4.04,0
7.23,0,4.12,0,19.42,0,6.25,0,3.26,0
5.06,0,4.17,0,12.4,0,5.6,0,3.23,0
6.83,0,3.86,0,12.37,0,6.13,0,2.96,0
5.07,0,3.76,0,13.24,0,5.91,0,3.04,0
5.12,0,3.77,0,12.37,0,5.54,0,2.93,0
7.21,0,3.95,0,12.06,0,5.66,0,4.19,0
5.07,0,3.68,0,13.99,0,5.5,0,3.16,0
5.12,0,3.71,0,12.01,0,5.62,0,2.95,0
5.1,0,5.09,0,21.25,0,5.5,0,3.71,0
5.07,0,3.65,0,11.99,0,5.7,0,3.64,0
5.09,0,3.92,0,12.52,0,5.5,0,4.71,0
5.2,0,5.26,0,12.31,0,5.92,0,2.91,0
5.09,0,5.83,0,12.0,0,7.08,0,2.86,0
