P-384_Time_ms,P-384_Bytes_Total,x448_Time_ms,x448_Bytes_Total,p384_mlkem768_Time_ms,p384_mlkem768_Bytes_Total,x448_mlkem768_Time_ms,x448_mlkem768_Bytes_Total,mlkem768_Time_ms,mlkem768_Bytes_Total
8.88,0,5.17,0,17.02,0,5.92,0,5.51,0
7.81,0,4.71,0,15.42,0,5.89,0,5.11,0
8.78,0,5.16,0,15.49,0,5.75,0,4.52,0
8.23,0,5.42,0,15.35,0,6.3,0,4.29,0
8.24,0,5.45,0,15.07,0,6.16,0,4.27,0
8.16,0,5.82,0,15.1,0,6.61,0,4.27,0
8.3,0,5.06,0,13.91,0,6.17,0,4.41,0
8.21,0,5.09,0,15.06,0,6.27,0,4.46,0
8.23,0,5.1,0,15.49,0,5.84,0,4.79,0
8.26,0,5.09,0,15.34,0,5.99,0,4.71,0
8.86,0,5.16,0,15.63,0,5.88,0,4.49,0
9.29,0,5.33,0,15.89,0,5.72,0,4.38,0
8.95,0,5.96,0,15.27,0,5.88,0,4.38,0
9.13,0,5.88,0,15.67,0,5.82,0,4.57,0
9.57,0,6.48,0,15.62,0,6.3,0,4.97,0
8.63,0,5.57,0,14.75,0,5.87,0,4.72,0
9.07,0,5.32,0,15.14,0,5.86,0,4.54,0
8.27,0,4.94,0,15.72,0,5.88,0,4.3,0
8.51,0,5.02,0,15.68,0,5.9,0,4.58,0
9.52,0,5.08,0,14.96,0,5.84,0,4.38,0
9.08,0,5.11,0,15.66,0,6.52,0,4.38,0
9.97,0,5.31,0,15.23,0,6.54,0,4.95,0
9.57,0,5.45,0,15.21,0,5.92,0,5.83,0
9.07,0,5.7,0,16.04,0,6.37,0,4.73,0
8.95,0,5.68,0,15.76,0,6.56,0,4.37,0
8.65,0,5.77,0,15.48,0,6.62,0,4.35,0
8.32,0,5.1,0,16.13,0,6.34,0,4.36,0
8.21,0,5.07,0,15.07,0,8.26,0,4.38,0
9.13,0,5.03,0,14.84,0,7.39,0,4.61,0
8.7,0,5.1,0,15.12,0,6.51,0,5.19,0
10.14,0,5.21,0,15.33,0,6.62,0,5.72,0
9.54,0,5.27,0,14.85,0,5.95,0,4.4,0
9.38,0,5.68,0,15.74,0,6.17,0,4.41,0
8.72,0,5.82,0,15.0,0,6.18,0,4.4,0
8.52,0,5.59,0,15.56,0,6.19,0,4.5,0
9.22,0,5.66,0,14.74,0,6.05,0,5.4,0
8.26,0,5.29,0,15.39,0,6.28,0,5.61,0
8.97,0,5.07,0,15.14,0,5.85,0,4.93,0
9.3,0,5.11,0,15.3,0,5.7,0,4.58,0
9.63,0,5.07,0,15.44,0,5.99,0,4.35,0
8.88,0,5.27,0,15.55,0,5.77,0,4.33,0
9.42,0,5.32,0,15.18,0,5.71,0,4.66,0
9.38,0,5.68,0,15.98,0,5.89,0,4.77,0
8.74,0,5.68,0,15.05,0,6.01,0,4.28,0
8.53,0,6.9,0,15.46,0,6.18,0,4.41,0
8.32,0,5.49,0,16.08,0,6.53,0,4.38,0
8.39,0,5.1,0,15.37,0,6.39,0,4.33,0
8.89,0,4.89,0,14.86,0,7.24,0,4.56,0
9.58,0,5.0,0,15.77,0,7.18,0,4.78,0
8.85,0,5.09,0,15.87,0,7.33,0,4.46,0
8.85,0,5.19,0,15.24,0,6.8,0,4.39,0
8.73,0,5.76,0,15.4,0,6.57,0,4.85,0
9.25,0,5.61,0,16.59,0,7.13,0,4.33,0
8.56,0,6.28,0,16.72,0,5.83,0,4.5,0
8.19,0,5.82,0,14.15,0,5.72,0,4.63,0
8.24,0,5.26,0,14.6,0,5.89,0,5.43,0
9.04,0,5.12,0,14.32,0,5.92,0,4.77,0
9.12,0,5.06,0,14.87,0,5.88,0,4.36,0
9.74,0,5.07,0,14.13,0,6.0,0,4.39,0
8.97,0,5.06,0,14.73,0,5.9,0,4.39,0
9.2,0,5.19,0,15.12,0,5.83,0,4.63,0
8.72,0,5.23,0,14.41,0,5.64,0,4.95,0
8.35,0,6.25,0,14.33,0,5.94,0,4.43,0
8.32,0,7.33,0,14.99,0,5.9,0,4.26,0
8.54,0,5.61,0,15.85,0,6.08,0,4.26,0
9.25,0,5.09,0,15.73,0,6.11,0,4.34,0
8.34,0,5.1,0,15.37,0,6.13,0,4.57,0
8.84,0,5.04,0,14.7,0,6.7,0,4.74,0
8.62,0,5.03,0,15.1,0,6.27,0,4.26,0
8.77,0,5.06,0,14.8,0,5.88,0,4.43,0
8.59,0,5.22,0,14.19,0,5.93,0,4.38,0
8.94,0,5.57,0,14.33,0,5.81,0,4.54,0
8.2,0,5.72,0,14.82,0,5.87,0,5.94,0
8.3,0,6.11,0,15.56,0,5.74,0,5.18,0
9.05,0,4.89,0,15.48,0,5.89,0,4.53,0
9.99,0,5.07,0,15.45,0,5.9,0,4.41,0
9.22,0,5.05,0,15.65,0,5.86,0,4.38,0
9.53,0,5.05,0,15.45,0,6.28,0,4.37,0
8.85,0,5.07,0,16.08,0,5.85,0,4.48,0
8.9,0,5.2,0,15.42,0,5.89,0,5.28,0
8.52,0,5.83,0,14.74,0,5.91,0,5.49,0
8.47,0,5.87,0,14.56,0,6.13,0,4.61,0
8.51,0,5.72,0,18.68,0,6.13,0,4.33,0
8.63,0,6.02,0,14.47,0,6.58,0,4.47,0
9.05,0,5.1,0,14.41,0,6.29,0,4.54,0
9.58,0,4.87,0,14.36,0,6.76,0,4.89,0
9.25,0,4.94,0,14.49,0,6.55,0,5.8,0
8.94,0,5.04,0,14.05,0,5.88,0,5.42,0
8.51,0,5.12,0,14.85,0,6.57,0,4.37,0
8.83,0,5.39,0,14.65,0,5.9,0,4.37,0
9.21,0,5.57,0,14.43,0,5.99,0,4.37,0
8.45,0,7.41,0,14.96,0,5.91,0,4.4,0
8.6,0,5.79,0,13.92,0,5.85,0,4.61,0
8.15,0,5.18,0,14.23,0,5.86,0,4.91,0
8.15,0,4.92,0,17.11,0,5.86,0,5.8,0
8.31,0,4.93,0,16.09,0,5.87,0,4.4,0
8.35,0,4.89,0,14.63,0,6.11,0,4.37,0
9.26,0,4.89,0,15.25,0,6.07,0,4.37,0
10.07,0,5.39,0,14.88,0,6.57,0,4.51,0
9.61,0,5.74,0,14.97,0,6.29,0,4.67,0
8.99,0,6.89,0,14.18,0,7.34,0,4.89,0
8.19,0,5.89,0,14.28,0,6.39,0,4.86,0
8.57,0,5.73,0,15.55,0,6.3,0,4.42,0
9.19,0,5.14,0,14.55,0,5.9,0,4.45,0
8.29,0,5.07,0,14.83,0,5.98,0,4.41,0
8.21,0,4.88,0,15.23,0,5.88,0,4.71,0
8.44,0,4.91,0,15.38,0,5.89,0,5.28,0
8.87,0,5.19,0,14.94,0,5.88,0,4.9,0
8.28,0,5.25,0,14.78,0,5.92,0,5.95,0
8.44,0,5.63,0,15.16,0,5.78,0,4.41,0
8.32,0,5.68,0,16.22,0,5.75,0,4.37,0
9.0,0,5.1,0,14.37,0,5.69,0,4.5,0
9.3,0,4.99,0,15.01,0,5.7,0,4.59,0
8.63,0,5.11,0,15.58,0,5.71,0,5.23,0
8.56,0,5.07,0,15.27,0,5.88,0,4.62,0
8.68,0,5.02,0,15.58,0,6.7,0,4.72,0
9.32,0,5.22,0,14.47,0,6.68,0,4.4,0
8.67,0,5.67,0,15.05,0,6.48,0,4.39,0
9.55,0,7.68,0,15.2,0,6.35,0,4.61,0
8.21,0,6.22,0,15.21,0,6.07,0,4.57,0
8.31,0,6.0,0,16.09,0,5.67,0,5.27,0
8.28,0,5.43,0,14.65,0,5.66,0,4.17,0
8.8,0,4.87,0,14.95,0,6.2,0,4.28,0
8.31,0,4.85,0,14.13,0,5.86,0,4.21,0
8.65,0,4.92,0,14.71,0,5.68,0,4.24,0
8.77,0,4.98,0,14.45,0,5.79,0,4.81,0
8.7,0,6.2,0,14.27,0,5.94,0,4.45,0
9.14,0,6.2,0,14.97,0,6.36,0,5.01,0
8.91,0,5.13,0,14.56,0,6.18,0,4.24,0
