P-521_Time_ms,P-521_Bytes_Total,p521_mlkem1024_Time_ms,p521_mlkem1024_Bytes_Total,mlkem1024_Time_ms,mlkem1024_Bytes_Total
7.08,0,15.96,0,3.68,0
5.17,0,12.42,0,3.4,0
5.1,0,11.97,0,3.25,0
8.15,0,12.67,0,4.71,0
5.07,0,11.98,0,4.32,0
5.64,0,12.16,0,3.75,0
5.17,0,11.86,0,4.57,0
5.26,0,12.41,0,3.81,0
6.99,0,11.91,0,3.51,0
5.12,0,12.04,0,3.2,0
4.92,0,12.09,0,3.34,0
4.91,0,12.27,0,3.58,0
5.02,0,11.74,0,3.94,0
5.07,0,11.99,0,3.68,0
5.05,0,11.84,0,3.89,0
6.28,0,12.16,0,3.54,0
4.96,0,12.46,0,3.57,0
5.01,0,12.2,0,3.71,0
6.73,0,12.06,0,3.67,0
6.19,0,12.38,0,3.21,0
6.4,0,12.19,0,3.57,0
5.02,0,18.45,0,3.53,0
5.0,0,18.75,0,3.33,0
5.0,0,12.21,0,3.13,0
5.01,0,11.78,0,3.18,0
6.21,0,12.18,0,3.18,0
4.97,0,12.2,0,3.48,0
6.35,0,12.12,0,3.42,0
6.22,0,13.92,0,3.22,0
6.45,0,11.84,0,3.63,0
5.05,0,12.35,0,3.11,0
6.23,0,11.9,0,3.92,0
6.36,0,13.58,0,3.11,0
5.02,0,11.88,0,3.18,0
7.0,0,12.32,0,3.32,0
6.74,0,18.25,0,3.13,0
4.98,0,12.8,0,3.54,0
6.71,0,18.29,0,3.3,0
4.99,0,12.23,0,3.13,0
7.04,0,12.28,0,3.32,0
6.45,0,18.89,0,4.42,0
6.11,0,12.27,0,3.33,0
5.3,0,12.02,0,3.19,0
6.18,0,12.27,0,3.19,0
6.18,0,11.91,0,3.33,0
6.27,0,12.23,0,4.73,0
6.22,0,12.58,0,4.87,0
6.4,0,11.74,0,3.11,0
6.68,0,12.29,0,3.23,0
6.24,0,18.3,0,3.13,0
6.57,0,12.59,0,4.97,0
6.24,0,11.92,0,3.1,0
6.28,0,12.54,0,3.14,0
6.23,0,12.92,0,3.67,0
4.99,0,11.88,0,3.29,0
5.37,0,12.41,0,3.4,0
5.34,0,12.5,0,3.42,0
5.3,0,12.38,0,3.71,0
4.85,0,11.87,0,4.49,0
6.6,0,12.31,0,3.11,0
6.21,0,11.88,0,3.23,0
6.27,0,12.02,0,3.23,0
4.89,0,11.87,0,3.15,0
6.25,0,11.92,0,3.12,0
6.23,0,11.83,0,3.54,0
6.19,0,14.82,0,3.13,0
6.46,0,18.73,0,3.22,0
6.32,0,11.85,0,3.57,0
6.58,0,13.78,0,3.12,0
6.7,0,11.92,0,3.65,0
6.99,0,19.12,0,3.17,0
5.24,0,13.36,0,4.5,0
4.96,0,12.09,0,3.36,0
5.03,0,11.88,0,3.12,0
6.17,0,13.07,0,3.44,0
5.25,0,12.07,0,3.14,0
4.98,0,11.89,0,3.86,0
5.05,0,12.34,0,3.2,0
5.8,0,12.21,0,3.21,0
5.05,0,12.07,0,3.29,0
6.27,0,12.79,0,3.15,0
5.62,0,12.19,0,3.47,0
6.31,0,11.75,0,3.11,0
4.99,0,12.62,0,4.56,0
5.25,0,11.9,0,3.83,0
4.95,0,11.94,0,3.13,0
5.47,0,14.45,0,3.24,0
5.12,0,12.1,0,3.14,0
6.7,0,15.84,0,3.29,0
6.83,0,18.77,0,3.4,0
5.3,0,12.06,0,3.11,0
