P-521_Time_ms,P-521_Bytes_Total,p521_mlkem1024_Time_ms,p521_mlkem1024_Bytes_Total,mlkem1024_Time_ms,mlkem1024_Bytes_Total
17.53,0,27.02,0,8.45,0
16.96,0,26.38,0,7.62,0
16.83,0,24.03,0,7.83,0
17.18,0,25.5,0,7.98,0
17.05,0,25.27,0,8.2,0
17.15,0,24.11,0,9.77,0
17.93,0,24.0,0,8.35,0
16.82,0,24.73,0,9.27,0
18.2,0,24.24,0,8.8,0
18.57,0,24.04,0,8.26,0
17.75,0,24.26,0,8.27,0
20.19,0,24.24,0,8.89,0
17.78,0,23.9,0,8.88,0
17.35,0,24.08,0,8.31,0
16.12,0,24.24,0,8.33,0
16.67,0,23.45,0,8.25,0
16.33,0,23.44,0,9.8,0
16.98,0,25.83,0,8.6,0
16.63,0,25.75,0,8.98,0
17.39,0,23.8,0,8.87,0
16.68,0,23.48,0,8.46,0
17.98,0,24.96,0,8.2,0
18.1,0,23.48,0,8.25,0
17.59,0,23.14,0,8.24,0
17.59,0,25.39,0,8.58,0
17.36,0,25.83,0,8.45,0
17.69,0,24.9,0,8.18,0
17.9,0,25.18,0,8.22,0
18.07,0,24.7,0,7.94,0
18.27,0,24.62,0,7.92,0
16.33,0,25.57,0,8.25,0
16.07,0,25.06,0,8.62,0
19.23,0,24.39,0,8.68,0
16.34,0,24.22,0,9.25,0
17.73,0,24.74,0,9.18,0
16.72,0,24.86,0,9.64,0
19.2,0,24.9,0,8.97,0
17.4,0,25.7,0,8.64,0
17.12,0,24.68,0,8.32,0
18.02,0,24.94,0,8.33,0
17.94,0,24.62,0,8.12,0
18.3,0,24.92,0,8.18,0
16.98,0,25.75,0,8.17,0
17.3,0,25.98,0,8.41,0
18.13,0,25.7,0,8.68,0
18.08,0,24.93,0,8.53,0
17.47,0,24.18,0,9.03,0
17.44,0,25.08,0,8.39,0
17.01,0,25.11,0,8.72,0
17.31,0,25.32,0,8.95,0
17.87,0,25.87,0,8.34,0
17.94,0,25.44,0,8.35,0
17.16,0,27.56,0,8.32,0
17.03,0,25.44,0,8.47,0
17.01,0,25.57,0,8.59,0
17.18,0,27.4,0,8.59,0
17.97,0,28.35,0,8.21,0
18.6,0,26.75,0,8.31,0
19.38,0,25.93,0,8.09,0
18.06,0,24.5,0,8.62,0
17.88,0,24.86,0,8.29,0
16.88,0,25.26,0,9.13,0
16.37,0,26.13,0,11.78,0
16.25,0,26.11,0,9.2,0
16.37,0,26.53,0,8.01,0
16.61,0,26.68,0,7.76,0
18.34,0,25.84,0,8.5,0
17.42,0,26.52,0,8.89,0
16.49,0,26.4,0,9.0,0
16.59,0,26.11,0,8.5,0
16.61,0,26.71,0,8.8,0
16.54,0,25.96,0,8.16,0
16.23,0,26.39,0,8.01,0
18.48,0,25.81,0,8.02,0
16.0,0,25.71,0,7.96,0
16.27,0,23.59,0,8.03,0
16.07,0,24.7,0,8.8,0
17.13,0,25.39,0,8.57,0
16.29,0,25.86,0,8.24,0
16.01,0,25.87,0,8.64,0
15.95,0,26.27,0,8.26,0
16.2,0,25.51,0,8.14,0
