P-384_Time_ms,P-384_Bytes_Total,x448_Time_ms,x448_Bytes_Total,p384_mlkem768_Time_ms,p384_mlkem768_Bytes_Total,x448_mlkem768_Time_ms,x448_mlkem768_Bytes_Total,mlkem768_Time_ms,mlkem768_Bytes_Total
8.52,0,5.19,0,17.71,0,6.26,0,4.62,0
8.58,0,4.87,0,15.1,0,5.59,0,4.16,0
9.13,0,5.63,0,14.86,0,5.43,0,4.18,0
11.16,0,7.56,0,14.59,0,5.69,0,4.28,0
8.77,0,5.93,0,14.7,0,5.65,0,5.03,0
8.81,0,5.05,0,14.7,0,6.76,0,6.19,0
9.2,0,5.14,0,14.28,0,5.7,0,4.81,0
8.55,0,5.09,0,16.57,0,5.66,0,4.26,0
8.41,0,5.03,0,15.59,0,5.71,0,4.29,0
9.73,0,5.32,0,15.19,0,5.75,0,4.32,0
8.33,0,5.16,0,14.87,0,6.03,0,5.29,0
9.26,0,5.67,0,15.51,0,6.81,0,4.72,0
9.15,0,6.55,0,17.16,0,9.34,0,5.14,0
8.64,0,5.8,0,15.14,0,6.25,0,4.9,0
9.65,0,5.6,0,15.12,0,6.74,0,4.4,0
9.22,0,5.11,0,15.13,0,6.82,0,4.38,0
9.36,0,5.12,0,17.01,0,5.93,0,4.58,0
8.67,0,5.25,0,15.33,0,5.94,0,4.41,0
8.67,0,5.02,0,16.26,0,5.9,0,4.7,0
8.5,0,5.04,0,15.73,0,5.93,0,5.24,0
8.37,0,5.05,0,16.53,0,5.91,0,4.68,0
8.31,0,5.29,0,15.69,0,5.93,0,4.29,0
8.67,0,5.36,0,16.34,0,5.78,0,4.29,0
8.45,0,5.89,0,15.33,0,5.86,0,5.15,0
9.14,0,6.39,0,15.68,0,5.76,0,4.38,0
8.9,0,5.61,0,15.62,0,5.8,0,4.62,0
8.99,0,5.14,0,15.76,0,5.76,0,5.52,0
9.28,0,5.24,0,16.38,0,5.89,0,4.43,0
8.79,0,4.98,0,15.12,0,6.49,0,4.37,0
8.51,0,5.08,0,15.44,0,6.9,0,4.36,0
9.42,0,5.17,0,15.41,0,7.08,0,4.38,0
8.46,0,6.0,0,15.89,0,6.2,0,4.41,0
8.12,0,5.41,0,16.54,0,6.0,0,5.02,0
8.49,0,5.96,0,15.04,0,5.89,0,5.21,0
9.44,0,5.11,0,15.25,0,5.89,0,4.43,0
8.71,0,5.12,0,15.68,0,6.28,0,4.36,0
8.24,0,4.97,0,15.54,0,5.75,0,4.35,0
7.97,0,5.01,0,16.21,0,5.86,0,4.48,0
8.05,0,5.05,0,15.79,0,5.79,0,5.24,0
8.26,0,5.07,0,15.16,0,5.77,0,5.25,0
8.25,0,5.17,0,16.24,0,6.02,0,4.25,0
8.7,0,5.6,0,15.5,0,5.88,0,4.25,0
9.79,0,6.06,0,16.04,0,6.08,0,4.23,0
9.09,0,5.52,0,16.42,0,6.05,0,4.46,0
9.09,0,5.14,0,14.85,0,7.24,0,5.08,0
8.97,0,4.93,0,14.76,0,6.8,0,4.16,0
