P-521_Time_ms,P-521_Bytes_Total,p521_mlkem1024_Time_ms,p521_mlkem1024_Bytes_Total,mlkem1024_Time_ms,mlkem1024_Bytes_Total
18.19,0,28.01,0,7.93,0
18.1,0,24.14,0,7.56,0
17.69,0,24.73,0,8.74,0
17.4,0,26.05,0,8.1,0
17.76,0,24.85,0,7.91,0
17.16,0,24.87,0,7.92,0
17.33,0,24.86,0,7.98,0
18.48,0,24.64,0,7.97,0
18.14,0,24.79,0,8.0,0
17.01,0,25.17,0,8.49,0
17.64,0,24.99,0,8.79,0
16.79,0,25.2,0,9.23,0
18.48,0,25.04,0,8.79,0
17.95,0,25.11,0,9.15,0
17.7,0,24.94,0,9.2,0
17.72,0,25.24,0,9.21,0
17.7,0,25.83,0,8.53,0
17.68,0,25.1,0,10.78,0
17.79,0,24.79,0,8.24,0
17.82,0,25.07,0,9.26,0
17.89,0,25.45,0,9.47,0
17.69,0,25.25,0,9.32,0
17.62,0,26.76,0,8.83,0
16.98,0,26.08,0,8.61,0
17.33,0,24.73,0,8.58,0
17.11,0,27.84,0,7.98,0
17.82,0,25.27,0,9.09,0
17.68,0,24.81,0,7.89,0
17.64,0,26.05,0,7.86,0
17.99,0,25.46,0,7.92,0
18.53,0,24.2,0,7.95,0
17.73,0,24.24,0,7.89,0
17.61,0,25.75,0,8.79,0
17.52,0,24.33,0,8.3,0
17.36,0,24.84,0,8.09,0
16.68,0,24.67,0,8.48,0
16.62,0,25.49,0,8.65,0
16.69,0,24.75,0,8.21,0
16.44,0,24.84,0,8.41,0
17.49,0,24.01,0,8.15,0
16.63,0,24.9,0,8.88,0
17.3,0,25.16,0,8.13,0
16.6,0,25.02,0,8.75,0
16.7,0,24.96,0,8.83,0
16.04,0,25.28,0,11.47,0
16.56,0,25.15,0,8.35,0
16.12,0,24.45,0,8.04,0
16.4,0,24.14,0,7.92,0
16.97,0,23.93,0,8.1,0
17.21,0,24.18,0,8.29,0
16.72,0,25.52,0,7.98,0
16.9,0,26.67,0,7.94,0
16.56,0,25.64,0,7.96,0
18.08,0,25.35,0,7.97,0
16.5,0,24.68,0,7.96,0
16.95,0,24.02,0,8.01,0
16.57,0,24.87,0,7.97,0
16.73,0,26.13,0,8.05,0
16.75,0,25.46,0,8.89,0
17.86,0,26.35,0,8.29,0
16.55,0,24.94,0,8.58,0
16.87,0,24.99,0,8.15,0
16.52,0,25.72,0,8.29,0
16.84,0,25.58,0,8.0,0
16.64,0,26.06,0,8.23,0
16.87,0,25.5,0,8.19,0
16.66,0,25.68,0,9.45,0
17.15,0,25.61,0,8.36,0
16.75,0,24.9,0,9.06,0
17.86,0,25.19,0,8.02,0
16.54,0,25.02,0,8.49,0
17.23,0,25.41,0,8.48,0
17.75,0,27.34,0,8.3,0
17.43,0,25.56,0,8.84,0
17.2,0,27.55,0,7.82,0
17.31,0,27.12,0,8.07,0
17.34,0,26.71,0,8.05,0
16.99,0,26.57,0,8.3,0
17.59,0,26.59,0,8.66,0
17.38,0,27.07,0,8.49,0
16.92,0,26.78,0,9.2,0
16.39,0,28.0,0,8.2,0
16.74,0,26.55,0,8.58,0
16.77,0,24.56,0,8.33,0
17.0,0,25.39,0,8.72,0
16.55,0,25.74,0,8.07,0
16.47,0,24.77,0,8.69,0
16.56,0,25.5,0,8.41,0
17.17,0,26.27,0,8.49,0
17.09,0,27.1,0,8.68,0
16.8,0,25.63,0,8.51,0
16.86,0,24.7,0,8.38,0
16.73,0,25.06,0,8.72,0
17.08,0,26.17,0,8.65,0
16.51,0,23.64,0,8.39,0
16.79,0,23.82,0,8.24,0
16.37,0,24.53,0,8.81,0
17.06,0,24.3,0,8.37,0
17.28,0,25.6,0,8.1,0
16.5,0,25.42,0,8.75,0
17.46,0,24.84,0,9.0,0
17.28,0,24.12,0,7.98,0
17.07,0,23.96,0,8.57,0
16.73,0,23.33,0,8.06,0
16.18,0,23.67,0,8.19,0
16.16,0,27.45,0,7.93,0
16.49,0,25.01,0,8.6,0
16.5,0,24.28,0,8.04,0
16.85,0,24.68,0,9.31,0
16.82,0,24.93,0,8.29,0
16.77,0,25.81,0,8.06,0
17.06,0,24.33,0,8.01,0
16.44,0,26.58,0,8.02,0
16.95,0,24.09,0,8.67,0
17.26,0,23.98,0,8.29,0
18.13,0,24.74,0,8.11,0
16.27,0,23.84,0,8.01,0
18.82,0,23.89,0,8.02,0
16.68,0,23.85,0,7.71,0
17.0,0,24.13,0,7.87,0
16.32,0,24.29,0,8.75,0
17.05,0,24.12,0,8.01,0
17.82,0,24.21,0,8.67,0
16.93,0,24.44,0,7.79,0
16.38,0,24.32,0,7.76,0
16.42,0,24.78,0,8.07,0
17.07,0,24.14,0,8.55,0
17.1,0,24.1,0,8.3,0
16.47,0,25.18,0,8.29,0
16.04,0,25.46,0,9.07,0
16.98,0,24.23,0,8.58,0
16.36,0,23.94,0,8.04,0
18.05,0,23.66,0,7.87,0
16.24,0,23.56,0,8.16,0
17.97,0,24.06,0,8.38,0
16.94,0,23.97,0,8.03,0
16.92,0,24.02,0,8.01,0
16.41,0,35.6,0,7.77,0
17.75,0,32.02,0,8.87,0
16.48,0,24.8,0,8.08,0
17.0,0,25.43,0,8.7,0
16.15,0,24.77,0,8.21,0
16.88,0,26.28,0,8.19,0
16.81,0,25.16,0,8.72,0
16.15,0,24.76,0,8.64,0
17.27,0,26.18,0,7.96,0
16.64,0,23.69,0,8.43,0
19.19,0,25.31,0,7.98,0
