P-384_Time_ms,P-384_Bytes_Total,x448_Time_ms,x448_Bytes_Total,p384_mlkem768_Time_ms,p384_mlkem768_Bytes_Total,x448_mlkem768_Time_ms,x448_mlkem768_Bytes_Total,mlkem768_Time_ms,mlkem768_Bytes_Total
7.07,0,5.2,0,22.4,0,9.93,0,3.52,0
5.92,0,4.23,0,12.88,0,5.86,0,3.19,0
5.1,0,3.74,0,12.67,0,6.2,0,3.61,0
6.81,0,3.97,0,12.54,0,8.21,0,4.64,0
5.24,0,3.85,0,12.63,0,6.7,0,3.41,0
5.57,0,4.2,0,12.07,0,6.58,0,3.01,0
5.13,0,5.98,0,18.96,0,6.03,0,3.44,0
5.82,0,3.73,0,12.1,0,6.48,0,4.22,0
6.4,0,3.81,0,12.61,0,5.82,0,3.18,0
5.25,0,4.51,0,12.06,0,6.57,0,3.0,0
5.16,0,3.87,0,12.05,0,6.11,0,2.98,0
5.2,0,3.76,0,13.32,0,8.05,0,3.12,0
6.46,0,3.97,0,12.3,0,5.9,0,2.99,0
6.87,0,3.79,0,11.88,0,6.86,0,3.42,0
7.12,0,3.88,0,13.64,0,5.6,0,3.08,0
7.32,0,5.47,0,12.52,0,6.66,0,3.53,0
5.54,0,4.97,0,12.21,0,6.73,0,4.38,0
7.49,0,3.63,0,12.86,0,8.02,0,3.1,0
6.66,0,5.1,0,15.65,0,6.02,0,3.63,0
5.08,0,5.25,0,12.07,0,7.12,0,2.99,0
5.38,0,4.0,0,13.05,0,5.51,0,3.16,0
5.0,0,3.99,0,12.02,0,5.91,0,2.96,0
7.47,0,5.31,0,14.71,0,8.06,0,3.48,0
4.99,0,3.73,0,14.81,0,5.8,0,3.29,0
7.25,0,4.52,0,12.6,0,7.1,0,2.94,0
6.62,0,5.09,0,11.96,0,5.55,0,3.0,0
6.54,0,4.47,0,18.44,0,5.64,0,2.95,0
5.27,0,3.88,0,14.86,0,5.53,0,3.09,0
5.08,0,4.02,0,14.41,0,5.78,0,3.02,0
7.17,0,4.04,0,12.53,0,5.51,0,2.99,0
5.1,0,3.98,0,14.39,0,6.08,0,3.07,0
6.34,0,5.01,0,14.4,0,5.82,0,2.94,0
5.1,0,3.76,0,11.83,0,5.91,0,3.33,0
6.36,0,3.99,0,14.21,0,5.75,0,3.0,0
5.11,0,3.82,0,14.81,0,5.7,0,2.95,0
5.05,0,4.2,0,12.02,0,5.69,0,3.21,0
6.94,0,3.69,0,18.85,0,6.03,0,4.24,0
7.42,0,3.69,0,11.92,0,5.51,0,4.5,0
6.3,0,3.75,0,12.49,0,6.06,0,2.97,0
5.1,0,3.99,0,12.67,0,8.01,0,3.06,0
5.13,0,3.71,0,12.1,0,5.72,0,3.16,0
5.05,0,4.18,0,12.11,0,5.82,0,2.99,0
5.83,0,3.81,0,15.89,0,5.65,0,4.19,0
5.01,0,3.73,0,14.35,0,5.65,0,3.36,0
5.07,0,3.84,0,14.35,0,5.55,0,3.08,0
5.1,0,5.3,0,12.15,0,6.57,0,3.11,0
5.12,0,3.65,0,12.28,0,8.13,0,2.96,0
5.08,0,4.23,0,12.03,0,6.95,0,3.0,0
5.1,0,4.26,0,12.62,0,6.2,0,3.09,0
5.01,0,4.48,0,12.16,0,6.08,0,3.04,0
5.03,0,4.11,0,18.34,0,6.56,0,2.96,0
5.11,0,3.88,0,12.58,0,6.7,0,2.94,0
5.07,0,3.96,0,12.27,0,6.53,0,2.87,0
5.07,0,3.67,0,12.02,0,5.51,0,3.96,0
5.07,0,4.03,0,11.99,0,5.56,0,4.26,0
7.18,0,4.93,0,11.99,0,7.52,0,3.33,0
5.56,0,3.99,0,18.6,0,8.12,0,4.16,0
5.25,0,4.42,0,18.36,0,6.05,0,3.02,0
5.19,0,3.88,0,14.55,0,5.92,0,3.33,0
5.18,0,4.51,0,14.14,0,7.5,0,3.05,0
6.58,0,3.93,0,15.52,0,5.61,0,2.98,0
5.52,0,4.48,0,14.16,0,7.44,0,3.0,0
5.54,0,4.28,0,12.86,0,8.04,0,3.5,0
5.47,0,3.76,0,14.13,0,6.55,0,4.18,0
7.35,0,3.69,0,12.62,0,5.88,0,3.75,0
5.09,0,3.78,0,18.62,0,6.65,0,2.98,0
5.5,0,4.55,0,12.02,0,5.59,0,4.34,0
5.1,0,3.78,0,12.03,0,7.2,0,3.35,0
6.27,0,4.51,0,14.24,0,5.62,0,2.93,0
5.04,0,4.5,0,14.56,0,5.62,0,3.18,0
5.46,0,4.91,0,12.02,0,7.06,0,3.08,0
5.08,0,3.76,0,14.51,0,5.74,0,3.33,0
5.46,0,3.69,0,12.68,0,5.99,0,3.35,0
7.17,0,5.27,0,11.94,0,5.59,0,3.07,0
5.76,0,3.84,0,13.87,0,5.67,0,3.49,0
5.04,0,5.74,0,11.86,0,5.68,0,2.89,0
5.73,0,4.55,0,12.06,0,5.61,0,2.97,0
6.87,0,3.69,0,12.26,0,5.64,0,3.56,0
5.07,0,3.75,0,11.86,0,5.58,0,2.96,0
6.73,0,4.04,0,12.26,0,6.77,0,3.21,0
8.86,0,3.71,0,11.97,0,5.58,0,2.93,0
5.08,0,5.38,0,14.4,0,5.77,0,3.37,0
5.07,0,3.73,0,12.02,0,5.63,0,3.01,0
7.15,0,3.93,0,11.96,0,5.88,0,3.02,0
7.71,0,3.71,0,11.84,0,5.63,0,3.33,0
5.1,0,3.88,0,11.87,0,5.58,0,3.06,0
5.11,0,3.9,0,11.96,0,5.55,0,4.43,0
5.06,0,3.71,0,11.9,0,5.59,0,3.2,0
6.33,0,3.96,0,12.27,0,5.64,0,3.04,0
5.0,0,3.79,0,18.44,0,5.57,0,3.02,0
6.84,0,3.9,0,12.6,0,6.55,0,4.46,0
5.34,0,3.66,0,14.58,0,5.79,0,3.68,0
5.06,0,3.85,0,12.05,0,5.6,0,2.95,0
5.58,0,3.81,0,12.91,0,6.21,0,3.15,0
5.06,0,3.93,0,12.34,0,5.71,0,2.97,0
5.72,0,3.74,0,17.71,0,5.99,0,3.17,0
7.09,0,3.99,0,14.15,0,5.67,0,3.0,0
5.48,0,4.6,0,12.17,0,6.2,0,2.94,0
5.03,0,6.04,0,12.66,0,5.74,0,3.46,0
5.1,0,3.83,0,12.19,0,6.64,0,4.19,0
7.86,0,3.92,0,14.96,0,6.04,0,3.17,0
7.16,0,3.78,0,14.66,0,5.6,0,3.09,0
5.29,0,3.9,0,12.62,0,6.42,0,4.19,0
5.14,0,3.7,0,11.99,0,5.58,0,2.98,0
7.86,0,4.02,0,14.23,0,5.61,0,3.1,0
5.26,0,5.3,0,12.01,0,5.64,0,3.13,0
5.29,0,3.94,0,12.26,0,5.64,0,3.33,0
5.49,0,3.63,0,12.27,0,8.04,0,3.73,0
5.04,0,3.72,0,14.56,0,5.69,0,2.94,0
5.32,0,4.16,0,12.28,0,6.32,0,2.94,0
5.12,0,3.7,0,12.14,0,6.89,0,3.54,0
5.58,0,4.38,0,12.21,0,8.3,0,3.35,0
5.44,0,3.77,0,14.23,0,5.64,0,3.0,0
5.63,0,4.38,0,13.48,0,5.59,0,3.77,0
5.04,0,3.68,0,12.18,0,5.69,0,3.03,0
5.09,0,3.89,0,12.37,0,6.59,0,3.15,0
5.05,0,3.81,0,13.22,0,6.62,0,3.26,0
5.06,0,3.64,0,12.59,0,6.07,0,3.46,0
6.39,0,3.71,0,12.01,0,6.92,0,4.15,0
5.07,0,3.72,0,14.38,0,6.42,0,3.23,0
7.32,0,3.82,0,11.96,0,6.6,0,2.98,0
5.75,0,5.31,0,12.3,0,8.23,0,3.01,0
5.07,0,3.8,0,18.43,0,8.24,0,3.39,0
7.63,0,3.7,0,12.63,0,5.64,0,3.06,0
6.45,0,5.35,0,12.01,0,5.63,0,3.85,0
8.41,0,3.66,0,14.58,0,6.16,0,3.35,0
7.15,0,4.07,0,14.38,0,5.71,0,4.2,0
5.03,0,5.25,0,12.15,0,5.8,0,3.36,0
5.54,0,4.21,0,11.89,0,6.36,0,3.23,0
5.06,0,3.74,0,12.06,0,5.67,0,4.21,0
5.53,0,3.74,0,13.08,0,5.64,0,3.34,0
6.37,0,3.72,0,11.94,0,5.63,0,3.06,0
6.37,0,4.1,0,11.91,0,5.68,0,2.95,0
5.1,0,4.07,0,15.92,0,6.22,0,3.58,0
6.33,0,5.28,0,11.94,0,6.5,0,4.19,0
5.38,0,3.76,0,14.99,0,5.66,0,4.78,0
5.06,0,3.65,0,14.45,0,6.01,0,2.97,0
5.27,0,3.79,0,12.29,0,5.74,0,3.08,0
5.0,0,3.81,0,11.97,0,6.68,0,2.97,0
5.37,0,4.12,0,12.72,0,5.62,0,3.04,0
5.06,0,3.7,0,18.38,0,5.92,0,4.35,0
5.77,0,3.77,0,12.41,0,6.11,0,2.96,0
5.0,0,4.88,0,13.23,0,6.82,0,3.35,0
5.05,0,3.69,0,13.46,0,8.32,0,3.54,0
