P-521_Time_ms,P-521_Bytes_Total,p521_mlkem1024_Time_ms,p521_mlkem1024_Bytes_Total,mlkem1024_Time_ms,mlkem1024_Bytes_Total
5.27,0,20.82,0,3.59,0
6.46,0,12.05,0,4.29,0
5.24,0,11.96,0,3.83,0
4.98,0,18.52,0,3.62,0
4.99,0,18.73,0,4.67,0
5.33,0,12.42,0,3.55,0
5.18,0,12.46,0,3.19,0
5.14,0,18.26,0,3.78,0
4.97,0,14.42,0,4.49,0
5.03,0,12.62,0,3.67,0
7.54,0,11.98,0,3.63,0
7.52,0,12.38,0,3.42,0
7.04,0,11.84,0,4.28,0
5.6,0,12.33,0,3.4,0
5.24,0,11.93,0,3.34,0
5.01,0,14.48,0,4.65,0
7.38,0,14.33,0,3.13,0
5.06,0,12.1,0,4.08,0
7.49,0,18.27,0,3.09,0
4.95,0,13.15,0,4.64,0
5.12,0,18.18,0,3.18,0
4.98,0,14.39,0,3.23,0
7.62,0,14.1,0,4.4,0
5.06,0,12.48,0,3.15,0
5.02,0,11.88,0,3.44,0
6.25,0,14.49,0,3.53,0
4.97,0,12.08,0,3.68,0
4.95,0,13.52,0,3.15,0
5.39,0,12.52,0,3.73,0
5.15,0,12.61,0,3.22,0
5.42,0,12.75,0,3.54,0
5.09,0,14.07,0,3.07,0
7.37,0,14.58,0,4.53,0
6.26,0,13.14,0,4.43,0
5.16,0,14.12,0,4.12,0
6.24,0,11.92,0,3.81,0
5.12,0,13.45,0,3.13,0
6.31,0,11.89,0,3.54,0
4.89,0,19.02,0,4.38,0
5.42,0,18.98,0,4.1,0
6.53,0,12.36,0,3.12,0
5.02,0,12.26,0,3.59,0
5.22,0,12.1,0,3.15,0
5.19,0,12.38,0,3.48,0
5.39,0,12.28,0,3.06,0
5.66,0,18.68,0,3.42,0
5.1,0,12.89,0,3.12,0
4.91,0,12.48,0,3.27,0
5.16,0,11.99,0,3.27,0
4.98,0,12.59,0,3.1,0
5.58,0,14.52,0,3.28,0
4.96,0,12.41,0,3.13,0
7.22,0,18.74,0,4.96,0
4.92,0,11.95,0,3.13,0
5.05,0,12.68,0,3.39,0
4.92,0,12.03,0,5.02,0
5.16,0,14.72,0,3.21,0
5.07,0,11.98,0,4.54,0
4.94,0,13.0,0,3.17,0
5.69,0,14.25,0,3.61,0
4.93,0,14.57,0,3.17,0
5.38,0,11.9,0,3.23,0
5.07,0,18.6,0,3.9,0
5.18,0,12.36,0,3.06,0
4.96,0,12.09,0,3.31,0
5.09,0,12.52,0,3.12,0
4.95,0,11.87,0,3.15,0
5.64,0,11.71,0,3.27,0
4.93,0,11.8,0,3.19,0
7.37,0,11.88,0,3.33,0
4.93,0,18.41,0,3.17,0
7.0,0,12.98,0,5.15,0
5.04,0,12.36,0,3.12,0
5.19,0,11.97,0,3.17,0
4.94,0,12.87,0,3.14,0
7.25,0,12.78,0,3.12,0
4.96,0,11.99,0,3.26,0
5.19,0,12.85,0,3.13,0
4.97,0,18.21,0,3.47,0
5.03,0,12.12,0,3.33,0
7.04,0,11.82,0,4.45,0
5.07,0,11.92,0,3.14,0
5.03,0,11.95,0,3.16,0
4.95,0,12.46,0,3.31,0
5.56,0,12.03,0,3.51,0
4.91,0,11.76,0,3.13,0
5.5,0,11.8,0,3.46,0
4.92,0,12.38,0,3.15,0
5.0,0,11.94,0,3.15,0
4.95,0,13.11,0,3.15,0
5.01,0,12.09,0,4.41,0
4.97,0,12.1,0,3.68,0
6.99,0,14.04,0,3.25,0
7.33,0,15.53,0,3.28,0
5.07,0,12.61,0,3.2,0
6.99,0,14.08,0,3.13,0
5.69,0,12.04,0,3.59,0
6.57,0,12.62,0,3.13,0
5.02,0,12.71,0,4.53,0
7.07,0,11.88,0,3.23,0
5.0,0,12.21,0,3.95,0
5.35,0,11.81,0,3.17,0
7.03,0,12.43,0,4.48,0
5.24,0,11.88,0,3.21,0
5.27,0,11.91,0,4.52,0
5.2,0,12.87,0,3.39,0
4.92,0,12.09,0,3.11,0
5.16,0,11.86,0,3.37,0
4.97,0,12.15,0,4.42,0
4.91,0,11.99,0,3.52,0
5.67,0,12.03,0,3.19,0
4.92,0,11.9,0,3.26,0
5.47,0,12.4,0,3.46,0
4.89,0,12.21,0,3.14,0
4.9,0,11.83,0,3.21,0
4.91,0,12.91,0,3.25,0
5.24,0,18.97,0,4.99,0
5.42,0,12.14,0,3.11,0
5.11,0,18.53,0,3.78,0
5.45,0,18.25,0,4.79,0
4.95,0,18.27,0,3.23,0
5.45,0,12.53,0,3.65,0
5.22,0,11.88,0,3.13,0
5.05,0,12.52,0,3.36,0
4.92,0,12.08,0,3.15,0
5.21,0,12.52,0,3.31,0
5.14,0,11.94,0,3.57,0
5.35,0,12.01,0,3.18,0
4.91,0,18.19,0,5.01,0
7.74,0,12.19,0,3.14,0
4.98,0,12.77,0,4.62,0
6.99,0,13.28,0,3.15,0
5.01,0,13.48,0,3.13,0
4.92,0,20.69,0,4.91,0
5.23,0,18.36,0,3.04,0
4.94,0,19.05,0,3.66,0
5.0,0,19.13,0,3.27,0
