P-256_Time_ms,P-256_Bytes_Total,x25519_Time_ms,x25519_Bytes_Total,p256_mlkem512_Time_ms,p256_mlkem512_Bytes_Total,x25519_mlkem512_Time_ms,x25519_mlkem512_Bytes_Total,mlkem512_Time_ms,mlkem512_Bytes_Total
2.32,0,2.29,0,12.77,0,5.97,0,3.09,0
2.04,0,1.83,0,8.66,0,3.94,0,2.09,0
2.35,0,2.3,0,8.93,0,4.26,0,1.93,0
4.23,0,2.33,0,8.68,0,3.76,0,2.21,0
2.11,0,1.82,0,8.58,0,3.68,0,1.89,0
2.0,0,2.04,0,8.64,0,4.25,0,1.69,0
2.01,0,1.75,0,9.02,0,4.35,0,2.04,0
2.71,0,1.96,0,9.95,0,5.0,0,2.53,0
2.16,0,2.35,0,14.24,0,4.24,0,1.82,0
2.41,0,1.99,0,9.18,0,3.18,0,2.27,0
1.85,0,1.86,0,13.43,0,3.23,0,1.69,0
2.7,0,2.13,0,8.56,0,3.54,0,1.66,0
2.45,0,1.77,0,8.4,0,4.51,0,2.58,0
1.87,0,2.25,0,8.67,0,3.15,0,2.04,0
1.93,0,2.3,0,13.78,0,3.6,0,1.68,0
1.84,0,1.83,0,9.34,0,3.84,0,2.58,0
2.03,0,1.75,0,10.16,0,3.74,0,1.82,0
2.38,0,2.27,0,8.52,0,3.18,0,1.66,0
1.87,0,2.13,0,8.58,0,3.44,0,2.01,0
1.9,0,2.09,0,8.49,0,3.4,0,1.7,0
1.97,0,1.97,0,8.9,0,4.63,0,1.88,0
1.78,0,2.37,0,8.9,0,3.11,0,2.15,0
2.08,0,1.84,0,8.84,0,3.28,0,1.97,0
2.14,0,1.98,0,8.52,0,3.49,0,1.88,0
1.8,0,1.91,0,9.76,0,4.21,0,2.07,0
1.92,0,2.08,0,8.62,0,3.64,0,1.87,0
1.97,0,2.31,0,10.01,0,3.09,0,2.42,0
1.89,0,1.72,0,8.73,0,4.76,0,1.89,0
2.34,0,1.67,0,13.82,0,4.26,0,1.97,0
1.8,0,1.86,0,9.34,0,3.91,0,1.84,0
1.82,0,1.93,0,9.03,0,3.43,0,1.72,0
2.13,0,2.08,0,8.75,0,3.12,0,2.08,0
1.82,0,2.12,0,8.72,0,3.48,0,1.69,0
1.78,0,1.69,0,8.85,0,3.1,0,1.71,0
1.96,0,1.65,0,9.53,0,3.14,0,1.92,0
