P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
610.54,405.59,1428.84,608.33,605.14
404.07,403.87,412.35,407.62,409.28
404.64,403.87,416.24,406.00,404.84
403.79,404.08,1411.74,414.08,405.82
404.02,403.59,1842.64,405.30,404.54
403.88,403.57,414.29,406.33,403.64
409.01,407.09,415.96,406.19,404.19
403.80,404.28,479.25,405.71,405.28
404.85,405.19,432.38,406.62,404.55
404.78,1410.54,414.70,407.30,404.86
403.64,403.64,438.48,406.81,403.56
406.27,406.82,415.68,406.51,403.77
404.09,403.54,413.39,407.62,404.61
405.42,403.61,432.14,405.67,407.19
404.74,408.56,412.72,405.69,407.44
404.82,1405.94,415.33,409.06,404.38
405.10,413.38,412.54,407.32,403.33
403.85,404.27,413.95,406.34,405.05
404.02,405.67,413.99,406.61,405.02
403.83,404.47,412.78,405.72,405.31
404.16,403.06,1841.66,408.06,403.92
404.56,405.61,416.04,408.46,405.32
405.14,403.49,413.02,406.66,405.21
403.76,403.15,415.17,406.65,405.40
403.72,410.88,412.61,409.05,404.54
1402.79,403.57,413.47,405.81,404.30
1405.33,403.38,419.20,408.01,404.45
407.02,403.90,416.90,407.18,403.34
409.21,407.50,1902.77,405.94,409.89
426.41,404.23,418.01,406.37,405.00
415.14,405.85,429.75,406.13,404.98
1403.63,403.21,418.50,408.92,404.06
403.34,403.77,433.50,405.34,405.77
405.13,1403.30,415.03,1404.90,412.61
406.88,404.02,416.35,1406.03,405.58
404.63,403.52,413.21,405.63,409.69
403.64,406.42,413.08,405.93,404.41
403.89,403.26,412.24,417.26,405.20
404.50,404.82,418.75,407.67,408.75
405.99,404.48,412.93,405.49,406.36
404.31,407.18,412.71,415.93,411.98
415.78,403.50,413.87,406.63,1837.70
411.77,403.29,412.72,407.48,404.65
409.66,403.45,413.59,406.61,406.85
404.47,403.26,412.65,407.08,405.39
403.93,405.30,414.45,411.74,1405.67
3405.32,404.98,415.91,405.81,407.27
407.19,413.40,412.51,409.67,405.14
1403.87,404.06,412.00,406.75,404.09
418.48,404.14,1840.50,406.27,403.83
