P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
609.89,611.66,621.70,407.85,2405.55
409.51,1409.88,3406.78,405.98,405.19
407.84,2405.39,411.34,406.72,404.58
1405.54,403.82,1836.89,3050.13,404.36
404.95,403.75,416.68,425.77,404.42
405.61,404.83,411.02,406.19,404.41
403.91,403.81,414.13,405.74,407.72
404.23,1403.02,420.64,405.29,1833.70
406.54,403.43,1411.50,412.14,404.05
408.29,404.32,1839.77,405.75,404.88
403.82,403.77,414.03,405.36,404.53
405.05,403.38,412.14,442.37,405.31
1404.83,407.02,447.56,429.07,1405.34
405.15,1403.71,1425.34,405.77,404.17
405.06,404.74,1412.24,413.15,415.26
411.49,405.62,3413.25,409.64,403.54
405.95,1402.82,411.45,405.76,409.69
405.17,405.21,424.07,408.76,1404.60
404.36,403.00,414.12,423.96,403.38
405.60,404.71,416.03,409.22,404.69
404.41,404.39,412.00,411.54,407.48
405.45,404.82,425.38,407.75,406.80
404.87,404.88,416.70,405.50,409.42
405.46,404.86,413.39,408.58,404.44
407.18,405.31,413.08,406.79,412.06
403.89,404.89,411.87,405.69,1405.67
403.33,403.15,414.68,407.23,409.90
404.82,804.32,1839.61,406.63,414.37
406.47,403.22,1417.66,409.44,405.12
415.81,405.83,412.08,420.10,403.92
403.96,404.63,1411.18,406.92,405.80
403.80,403.54,411.48,2859.83,404.33
1407.73,403.33,412.03,420.69,404.27
409.12,403.37,411.40,415.38,406.26
404.30,405.15,412.65,409.68,416.98
405.12,405.93,411.01,418.48,1832.98
404.50,412.10,420.39,412.67,405.00
404.08,404.08,1415.78,406.78,405.77
405.93,403.30,413.34,414.51,403.71
407.32,403.74,415.41,1418.93,403.98
1402.77,403.31,419.23,1831.21,403.37
804.33,403.46,417.71,1409.54,1830.76
404.23,403.21,419.08,404.91,416.20
405.17,403.93,420.68,407.98,1830.12
1407.23,403.34,413.15,1407.11,406.85
407.19,405.10,416.85,407.93,408.91
404.69,1402.90,418.64,407.28,406.39
404.65,403.87,414.31,1855.09,464.57
406.13,406.67,411.57,409.82,1833.90
1403.85,403.67,1413.36,1412.60,405.29
