P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
76.44,75.38,87.75,81.98,74.22
40.37,74.00,53.92,83.39,40.63
74.14,74.76,98.35,76.58,77.01
89.27,74.00,1082.13,76.72,73.91
75.69,80.28,81.54,76.37,74.59
78.50,81.28,85.45,75.76,73.75
74.28,73.70,81.11,81.83,73.86
1077.70,74.36,82.34,77.88,73.73
74.44,73.79,82.46,76.20,73.93
74.72,73.75,81.00,75.47,74.03
74.52,74.49,84.53,77.30,74.12
79.86,73.84,83.78,82.41,75.05
77.20,74.56,1083.05,79.39,78.67
75.99,1073.08,83.43,76.10,79.34
76.12,73.62,82.28,75.96,76.78
74.54,76.95,80.54,79.54,84.68
74.31,73.87,78.73,76.23,76.49
77.45,76.03,81.63,76.00,75.22
73.80,1072.44,82.42,76.25,73.95
74.94,74.52,82.55,76.59,74.68
73.49,75.39,82.25,77.09,74.02
74.22,81.93,88.33,75.77,77.78
75.72,85.40,83.43,76.14,88.84
75.10,82.78,88.54,75.84,92.47
74.33,77.64,83.42,75.52,76.42
1074.24,78.43,81.95,78.05,73.54
74.80,75.28,86.03,75.16,74.82
74.97,74.37,83.72,75.80,74.45
74.53,73.59,81.82,76.61,85.03
74.21,74.73,84.04,78.16,74.00
75.86,74.25,81.80,76.45,74.04
73.58,73.80,87.35,76.43,73.92
73.88,73.74,81.47,77.01,81.52
74.51,74.24,84.57,75.35,78.03
73.96,73.95,83.42,78.11,78.70
79.70,74.12,85.68,75.18,75.36
74.64,73.47,83.38,75.54,76.78
74.11,75.59,81.23,74.54,77.10
74.07,74.41,92.08,78.11,75.41
73.93,73.36,98.26,75.69,78.10
75.15,74.99,95.63,79.03,77.91
74.85,74.54,80.96,78.19,81.49
74.50,75.33,98.70,79.19,73.97
75.41,76.53,81.40,77.08,1078.33
73.25,75.06,82.94,74.79,1073.46
74.52,79.08,103.10,75.75,77.81
74.22,73.04,84.32,76.42,74.95
74.96,74.08,85.33,75.38,80.14
73.33,74.58,84.24,77.39,75.66
74.07,80.76,84.90,75.41,76.02
