P-384,x448,p384_mlkem768,x448_mlkem768,mlkem768
639.67,608.02,626.68,646.10,609.16
411.45,409.11,418.33,411.50,409.18
410.95,414.56,417.14,448.66,408.50
1408.96,412.44,416.69,468.74,410.31
410.66,406.79,443.85,420.35,410.53
410.92,410.88,418.32,412.11,411.42
413.39,411.06,419.66,424.00,408.37
409.48,408.20,418.80,409.28,407.28
409.47,406.59,416.57,409.68,407.63
410.89,405.60,421.08,411.72,406.05
408.57,415.06,1418.92,1408.25,418.05
409.15,411.29,421.23,408.35,408.04
408.63,406.57,416.47,409.96,411.75
410.03,1412.13,450.04,411.28,410.31
409.54,407.56,419.58,411.18,406.62
411.50,407.69,420.55,415.01,407.49
408.29,408.43,3646.58,412.50,405.90
413.98,414.88,421.50,409.32,411.09
409.72,409.89,418.76,409.45,409.18
414.69,1405.85,419.88,409.31,410.78
410.89,412.64,430.35,410.33,404.45
410.83,418.45,417.99,415.27,405.26
409.62,416.19,420.00,408.15,405.74
412.46,422.47,422.91,409.73,405.19
414.34,410.69,419.41,412.84,404.79
409.02,407.14,418.77,410.21,405.99
409.98,407.11,420.00,408.00,406.18
428.19,406.69,418.98,409.54,405.69
410.49,407.10,417.87,408.59,405.52
409.29,406.12,1418.98,409.77,406.68
411.96,406.39,417.67,408.11,407.11
415.37,409.77,414.16,411.48,405.44
408.70,406.90,422.32,408.82,405.08
419.83,409.12,421.59,409.30,411.34
411.39,1411.57,419.99,409.61,406.64
409.30,415.58,416.21,413.05,406.53
1423.55,408.22,423.08,408.31,1404.34
419.35,407.54,418.72,412.40,406.33
410.31,407.09,435.55,409.66,407.98
429.05,436.42,427.20,410.10,408.79
421.86,407.71,1416.88,409.30,408.16
1412.11,406.48,3643.60,415.69,406.87
410.99,409.14,423.65,409.40,405.97
417.14,408.63,421.24,410.30,411.75
426.71,406.88,422.75,408.89,407.04
419.86,406.37,417.76,409.07,410.94
408.73,406.92,420.83,422.08,407.77
409.72,406.38,420.58,414.77,409.81
408.25,405.89,2643.21,415.10,408.34
409.88,413.30,417.37,422.06,405.86
