P-384,x448,p384_mlkem768,x448_mlkem768,mlkem768
1830.55,409.91,429.67,615.09,406.72
412.71,1442.39,3418.81,3408.25,413.86
415.52,1431.43,3423.19,412.47,405.56
1417.07,434.69,2725.96,411.20,1429.17
421.28,436.31,425.85,426.66,414.08
1424.46,421.07,432.20,428.62,406.79
411.00,572.17,424.99,426.03,412.40
418.78,409.26,417.65,2641.12,412.79
412.33,414.27,1444.64,2644.45,408.85
410.55,456.57,2676.30,2648.42,1409.45
409.41,467.87,420.55,427.57,405.92
420.46,411.46,1419.38,3845.76,407.90
431.74,431.50,443.45,459.57,408.15
416.12,406.77,428.92,415.13,407.42
415.80,413.19,1423.48,410.00,406.89
1407.75,407.60,418.81,410.15,408.43
1427.16,408.98,434.16,409.63,1404.20
409.28,1418.96,437.78,409.77,1410.22
2735.70,415.88,429.21,424.58,407.12
1410.79,417.41,479.57,415.00,407.54
415.82,431.73,450.37,423.13,407.24
527.86,421.80,2676.34,408.65,406.81
428.20,433.21,425.97,426.27,406.19
428.75,411.35,436.86,424.71,436.78
410.10,406.40,439.89,414.52,410.64
410.73,408.37,431.62,411.78,429.17
1408.19,411.55,3417.17,423.24,405.50
413.98,411.55,419.75,411.42,1410.08
439.40,1423.28,454.10,2637.95,416.67
1408.26,433.21,423.86,2642.78,443.16
411.42,406.72,423.18,411.19,406.02
410.48,1419.51,420.08,412.20,412.97
410.43,425.52,422.71,2643.49,408.11
421.86,409.58,420.40,408.86,406.21
433.61,410.21,422.85,2637.74,406.44
415.84,452.47,416.94,1424.42,407.12
417.15,409.48,418.27,415.74,413.92
408.20,477.40,422.99,412.14,411.75
409.94,442.20,423.94,410.86,1409.57
434.98,459.36,428.23,411.51,1405.89
1416.00,444.95,417.66,411.86,410.03
411.22,1413.71,425.18,506.38,409.63
430.82,429.94,442.47,1414.82,405.25
410.23,409.40,431.60,411.30,405.95
415.36,1444.39,426.59,414.29,420.84
412.32,428.82,2646.34,419.20,405.20
440.69,1415.93,423.03,422.22,413.37
428.38,417.83,2650.66,2665.86,406.05
421.02,437.54,419.59,435.61,407.82
1409.34,418.00,425.71,411.09,422.33
