P-384,x448,p384_mlkem768,x448_mlkem768,mlkem768
79.72,81.36,96.19,84.63,85.63
45.88,41.39,106.04,60.17,46.73
79.84,77.29,98.96,94.55,76.52
81.14,76.25,89.70,80.47,77.66
89.06,1077.76,93.53,96.00,76.44
81.04,75.85,121.37,84.98,76.86
78.19,76.93,92.88,82.57,1075.51
82.04,76.56,104.33,80.93,77.17
78.79,76.39,130.61,80.47,76.54
79.37,75.69,95.18,80.93,76.29
78.19,76.11,88.19,96.93,77.39
78.63,76.92,91.90,86.33,75.42
78.28,1090.73,91.10,110.50,76.68
81.27,76.68,89.58,80.97,79.11
1078.70,77.01,110.03,81.83,75.40
78.37,77.56,91.16,94.74,76.67
78.81,75.82,87.97,80.99,76.79
82.54,77.73,90.78,96.48,75.34
79.12,87.32,90.91,80.89,75.25
81.86,77.19,96.07,79.82,75.53
78.32,76.79,89.79,78.28,75.77
79.37,76.92,95.35,80.08,78.58
80.45,76.13,86.74,79.62,76.39
2080.21,76.48,86.24,79.71,76.25
78.93,77.07,89.04,79.06,77.37
78.96,77.69,90.19,79.18,83.23
81.59,77.74,86.88,80.49,78.95
78.07,76.62,87.91,80.84,82.70
79.80,77.14,84.85,1318.06,78.06
79.30,76.58,87.57,81.93,75.70
79.64,76.80,93.92,84.49,76.06
79.25,78.41,106.88,81.56,76.15
88.62,82.42,89.59,81.78,1074.86
82.28,76.32,91.88,79.95,76.64
81.78,74.83,86.06,82.73,77.07
84.83,76.44,88.13,79.85,75.23
82.23,78.41,89.58,79.99,77.90
79.94,83.76,88.94,86.31,75.65
89.88,1077.40,94.26,79.86,75.36
78.20,77.31,85.20,80.44,88.22
81.19,76.31,90.21,79.13,75.30
79.06,76.92,91.67,81.91,75.12
78.53,76.94,88.79,79.66,88.06
79.80,76.13,86.03,82.44,76.07
81.22,79.31,90.60,79.43,83.88
79.41,76.60,99.45,81.09,92.76
84.38,81.50,117.86,80.80,77.48
82.61,82.79,89.10,80.43,141.90
77.47,107.72,87.98,1315.50,75.77
93.86,80.11,86.39,80.81,89.75
