P-384,x448,p384_mlkem768,x448_mlkem768,mlkem768
8.86,54.88,22.99,23.66,5.95
8.51,6.53,17.26,10.30,5.31
7.86,6.03,20.03,8.62,14.22
8.06,6.78,26.06,11.15,5.11
8.39,5.35,34.44,8.58,5.18
9.12,9.27,15.30,9.14,5.73
10.01,6.54,17.90,8.57,12.65
9.44,9.16,19.29,8.27,4.19
11.92,6.10,19.58,8.70,4.83
9.17,6.05,18.03,11.29,4.33
11.82,22.28,39.19,15.99,6.48
12.21,5.60,36.67,9.81,5.04
7.57,10.44,33.62,7.71,9.12
8.84,14.39,67.81,7.67,4.03
11.35,5.51,19.65,9.11,4.32
9.45,6.61,25.36,13.44,9.73
8.01,5.39,24.57,17.67,4.97
7.97,5.26,14.15,12.28,5.58
7.88,7.35,17.03,8.99,7.46
21.58,5.70,18.06,11.88,8.93
8.69,7.40,16.28,8.45,7.23
5.93,7.63,17.53,6.89,4.79
12.36,7.25,25.73,8.51,4.18
6.68,5.40,19.31,9.12,8.78
8.32,5.58,20.86,7.65,6.70
9.97,28.43,17.99,9.23,5.20
11.59,5.98,15.23,8.76,3.42
14.71,5.19,25.61,9.04,5.33
8.82,7.18,16.62,8.90,6.45
33.39,13.01,19.92,8.87,10.92
57.11,5.85,18.31,8.07,5.20
10.73,4.93,23.05,9.12,12.58
8.48,6.92,45.25,9.60,5.82
7.57,7.91,21.06,7.50,4.62
11.30,8.09,27.67,9.09,6.33
10.96,5.00,19.80,8.82,4.48
13.23,16.25,18.86,9.08,7.83
11.50,6.16,38.51,7.36,5.04
12.34,8.54,14.57,10.12,5.33
11.45,7.12,18.96,9.07,5.21
8.35,8.16,17.50,7.96,6.09
7.41,7.96,25.74,8.89,5.59
8.18,10.19,19.12,8.06,5.11
8.10,8.02,18.52,7.81,6.15
9.47,5.77,19.76,16.99,5.44
7.38,8.46,16.24,10.55,6.10
8.76,9.04,20.62,8.91,5.84
8.31,5.11,17.34,7.80,5.20
8.00,5.16,19.07,9.41,5.01
7.45,6.56,22.89,8.97,4.12
