P-521,p521_mlkem1024,mlkem1024
1608.10,625.01,608.01
415.22,420.53,411.51
410.31,1416.53,406.13
407.68,415.95,419.51
413.37,442.56,408.76
411.08,416.17,410.67
408.32,416.50,407.43
410.80,414.51,407.73
421.00,416.62,405.31
407.15,417.22,405.44
407.00,425.98,408.39
408.30,415.28,404.72
406.81,416.93,405.72
417.11,418.10,405.91
418.93,417.58,404.55
408.57,2646.82,415.12
408.02,415.43,405.17
407.51,415.90,408.36
409.79,415.95,405.27
407.92,417.74,1406.11
409.74,416.63,405.95
407.54,2641.61,405.20
413.05,443.15,406.78
406.32,414.89,405.70
413.48,421.37,405.45
407.42,417.27,1404.20
407.38,416.71,442.50
408.10,414.47,407.88
408.63,417.73,405.82
409.55,416.65,406.95
407.20,461.44,407.91
409.77,416.40,411.49
409.45,2658.50,405.20
408.40,441.93,407.10
411.02,420.72,405.99
412.48,420.20,406.83
415.16,417.20,405.23
412.56,418.29,405.86
1408.32,415.47,405.37
414.84,418.18,406.63
420.52,421.64,409.99
410.59,418.75,405.45
408.88,416.74,405.54
409.60,418.14,405.82
407.18,421.83,405.82
1407.98,1416.89,407.63
406.41,417.87,406.03
412.12,419.05,405.17
407.62,416.84,405.72
412.22,418.57,405.42
