P-521,p521_mlkem1024,mlkem1024
419.78,620.31,418.17
412.67,431.78,407.40
413.94,421.89,409.63
409.73,432.76,1405.62
409.69,424.68,413.31
409.03,418.91,413.56
1409.39,3415.77,406.25
412.37,421.37,408.11
411.61,427.92,420.67
413.47,447.74,408.05
408.87,431.71,406.31
407.70,424.11,409.62
408.04,435.29,409.26
417.09,444.47,1444.72
1406.73,423.32,409.13
1412.98,1416.06,407.85
408.00,419.95,406.15
409.47,517.94,4813.71
407.58,1420.13,406.76
412.83,429.77,423.37
408.03,434.41,414.73
1409.28,424.26,408.05
417.40,424.42,2644.36
1408.53,417.33,416.58
409.23,426.90,407.82
407.59,438.39,1410.56
1407.81,422.76,410.26
408.71,424.01,1408.86
1416.59,445.25,415.45
416.92,426.33,419.58
410.18,425.51,406.88
1424.27,441.30,405.43
423.53,430.79,405.48
408.73,423.54,408.61
3415.72,449.66,1408.12
409.67,440.17,408.59
413.15,2658.39,2706.71
411.55,421.60,2640.24
407.87,431.43,406.81
407.42,3414.07,1424.16
408.07,433.54,1410.10
1411.11,414.97,1411.14
409.11,2690.83,3410.59
408.34,443.39,3866.29
407.33,437.21,405.90
409.74,421.32,408.82
408.75,435.62,406.90
425.07,423.27,406.55
409.58,419.12,406.98
412.50,532.59,406.00
