P-521,p521_mlkem1024,mlkem1024
79.67,96.17,77.59
43.50,96.47,75.57
77.93,92.44,83.68
81.39,96.63,76.30
80.31,105.53,77.89
79.80,87.70,77.69
79.21,88.89,75.80
78.24,88.89,78.64
82.59,92.38,75.08
97.51,88.22,75.89
86.70,85.13,76.14
114.43,86.77,75.43
79.16,93.87,77.25
78.36,88.10,78.39
77.21,87.02,76.73
81.37,102.97,1315.47
77.93,1084.05,75.04
77.58,85.25,76.03
78.91,94.69,84.22
82.83,88.81,79.83
80.86,87.97,75.13
79.98,89.44,106.74
104.07,129.31,78.09
82.38,88.07,81.65
80.87,88.94,86.41
77.92,112.56,75.67
86.52,86.64,77.21
87.42,85.47,82.81
87.47,99.59,78.80
82.70,85.32,76.34
77.42,89.81,95.74
77.85,90.73,84.08
78.19,111.31,74.99
84.84,95.39,75.89
79.81,95.78,76.14
78.30,88.22,75.45
97.53,87.39,85.42
81.69,85.18,81.19
78.80,87.64,75.38
78.47,88.64,82.10
85.12,95.72,75.39
78.35,95.14,75.69
78.16,85.86,75.19
80.27,85.93,75.17
76.67,90.24,76.81
80.12,87.30,83.22
80.81,89.30,78.42
80.62,85.58,75.57
77.17,87.55,76.64
77.30,88.72,76.85
