P-521,p521_mlkem1024,mlkem1024
8.70,22.70,6.68
7.13,17.09,5.42
8.04,16.54,4.15
6.92,17.81,6.72
7.80,17.19,4.65
7.62,23.83,5.22
8.02,16.74,9.51
8.61,18.90,4.59
5.98,19.27,5.13
11.07,16.38,4.95
8.37,27.07,7.85
6.78,17.57,6.46
6.63,20.46,5.40
6.73,16.08,5.56
7.04,22.57,6.16
6.73,16.82,6.42
9.90,15.17,4.46
11.15,18.30,5.32
9.96,14.80,4.50
8.06,15.18,6.08
14.95,16.90,5.87
7.17,17.48,4.92
8.92,17.91,6.03
11.88,16.46,5.02
19.02,16.69,6.03
11.78,16.07,4.92
8.72,16.57,7.38
8.47,16.19,4.92
16.75,20.40,4.44
25.26,16.17,34.55
7.36,15.89,6.57
6.04,13.03,14.16
8.41,15.41,3.79
14.47,17.48,4.74
7.70,15.67,4.30
26.11,15.63,4.93
7.57,23.16,8.25
9.38,16.64,5.68
26.22,17.96,5.11
6.78,14.43,5.18
7.73,15.33,4.93
18.95,15.66,9.61
7.30,15.65,5.13
7.40,18.07,6.02
7.68,14.69,4.16
7.09,13.42,13.28
7.92,15.09,5.53
10.34,17.50,6.07
9.61,18.56,4.93
8.10,22.55,4.71
