P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
3.51,3.73,15.11,4.35,4.61
3.00,2.68,10.57,4.33,2.81
2.27,2.33,13.25,2.74,3.91
3.18,2.81,10.95,3.54,3.18
2.62,2.85,11.37,3.13,2.82
2.78,4.14,8.88,4.06,2.59
2.44,2.92,9.56,3.27,2.92
2.49,2.08,13.31,3.83,3.01
3.16,2.69,8.75,3.51,6.93
2.60,2.38,12.03,3.25,3.50
3.32,2.64,12.13,3.64,2.50
3.39,2.83,10.51,3.77,2.80
2.55,2.85,20.02,4.05,2.49
2.49,2.48,11.50,3.04,2.66
3.00,2.20,9.73,2.99,2.72
6.88,2.12,9.10,3.70,2.31
2.87,2.47,11.84,3.34,3.16
2.79,3.20,11.67,2.95,4.99
2.77,3.40,10.39,3.17,3.07
3.45,2.80,8.38,3.05,2.73
2.99,2.54,10.89,3.39,3.42
4.33,3.15,16.72,2.50,3.56
3.63,2.25,9.55,3.07,3.85
14.57,2.31,9.86,3.53,3.04
4.45,2.38,11.09,2.74,4.04
3.49,2.91,7.79,2.66,8.35
2.38,4.21,8.66,2.62,2.34
2.30,4.21,9.20,3.48,5.31
2.69,2.40,10.12,3.18,2.97
6.47,2.16,10.39,2.66,4.49
2.62,2.60,11.67,3.57,4.64
2.80,3.70,9.19,3.45,5.64
2.68,2.64,9.20,3.16,7.80
2.31,2.47,11.05,4.49,25.06
7.33,3.25,8.57,3.27,3.19
3.33,3.90,9.51,3.46,4.13
4.07,2.70,10.36,5.95,2.26
10.65,2.72,9.13,6.92,3.71
3.11,2.76,9.86,2.91,3.24
2.62,1.94,10.96,2.26,3.44
2.28,2.75,9.42,3.04,3.94
2.66,3.00,8.54,3.23,2.83
2.80,2.80,11.57,2.70,3.04
2.51,2.10,9.89,3.54,5.19
2.51,2.25,10.31,6.00,5.50
2.75,2.56,9.79,3.34,3.59
4.30,4.93,9.00,2.79,3.30
6.31,2.29,19.19,4.30,4.69
3.27,3.20,10.20,3.08,2.55
3.49,2.16,7.94,2.87,2.61
