P-384,x448,p384_mlkem768,x448_mlkem768,mlkem768
9.55,7.33,19.13,9.22,5.67
11.21,6.13,15.60,10.90,6.11
10.53,7.50,17.49,6.17,8.12
12.28,7.67,16.58,8.58,5.97
10.91,5.73,14.46,6.64,6.69
17.18,7.07,19.57,7.48,5.19
12.21,7.45,16.27,7.70,14.93
10.58,7.03,17.76,8.13,5.75
12.04,8.10,19.89,6.63,6.43
11.92,6.80,16.88,15.68,6.44
10.36,8.16,15.85,8.81,7.20
9.39,7.52,17.74,7.82,6.46
10.18,8.23,17.63,8.63,5.43
11.57,6.62,13.83,7.77,5.78
10.99,6.76,18.35,6.55,7.58
10.11,6.90,17.73,8.04,5.93
10.08,11.08,21.27,8.19,7.05
12.84,6.33,22.48,11.05,6.93
12.21,5.80,20.43,7.31,9.16
9.69,6.71,26.24,7.26,6.13
8.52,7.36,19.03,7.25,6.23
14.96,6.29,29.56,7.85,5.12
10.65,8.04,27.71,7.54,9.26
10.25,6.78,19.06,6.97,5.57
10.71,7.55,16.20,6.13,6.29
9.25,5.98,18.11,9.55,5.64
9.96,9.23,16.68,8.21,5.72
27.62,7.10,16.59,9.75,5.87
12.67,8.82,18.18,8.54,6.92
12.65,7.11,20.62,7.62,6.03
17.82,9.22,21.66,7.43,5.68
12.46,7.23,49.67,8.10,5.38
27.15,6.97,16.99,7.48,6.92
15.89,5.53,32.01,7.61,5.76
11.88,4.52,16.60,8.28,6.10
12.95,5.90,18.23,6.46,5.30
10.12,6.63,19.95,6.86,5.12
10.55,7.00,18.48,8.68,6.08
12.67,6.07,18.90,8.60,6.04
10.20,5.83,15.76,8.73,5.25
9.76,8.05,15.86,12.56,4.90
10.41,9.52,16.31,7.82,8.73
10.80,5.02,18.56,6.49,5.76
9.72,6.12,17.35,10.60,8.03
17.14,7.31,19.11,9.29,5.25
12.31,19.24,26.31,9.38,6.41
13.24,12.82,17.02,9.16,5.37
14.12,6.47,15.69,8.01,6.05
11.09,6.89,18.31,7.45,5.49
34.41,11.09,15.56,8.37,6.61
