P-521,p521_mlkem1024,mlkem1024
22.46,38.45,11.29
52.19,33.67,9.43
24.12,29.35,10.22
31.34,30.89,9.18
36.26,29.64,10.71
22.21,33.43,9.33
43.54,24.46,8.87
37.70,31.93,11.48
20.02,26.81,13.46
22.20,30.31,13.22
45.46,30.35,9.65
19.22,25.11,9.33
20.34,28.86,12.57
18.60,28.70,10.80
28.44,31.75,9.46
20.65,32.56,9.56
18.89,73.02,11.96
19.12,30.67,10.02
23.26,30.00,9.72
19.91,29.34,15.34
19.76,29.26,9.78
18.89,27.55,10.81
22.20,29.38,10.25
20.68,29.45,12.71
22.41,28.17,10.83
22.73,27.12,10.88
22.46,35.64,9.95
22.46,29.62,10.99
22.03,27.79,10.78
17.93,28.42,11.50
23.93,32.08,11.25
21.02,24.49,9.54
20.95,27.14,9.77
17.71,28.05,9.89
19.18,27.57,10.61
22.00,26.43,10.30
17.10,26.42,9.45
21.46,29.98,10.39
22.99,26.66,10.09
19.60,33.39,10.23
18.72,30.26,10.08
20.82,27.83,9.55
22.20,33.90,8.82
19.61,30.65,9.45
21.76,28.95,9.53
21.67,27.38,10.47
21.07,30.08,10.52
18.89,26.67,8.95
21.23,34.97,16.68
20.77,32.33,9.71
