P-256,x25519,hqc128,p256_hqc128,x25519_hqc128
613.30,610.88,669.88,681.07,1885.23
405.25,405.00,431.50,446.13,422.30
411.50,410.41,421.52,441.50,430.86
404.07,407.97,498.51,439.42,444.33
406.28,416.39,429.88,440.45,441.85
406.07,406.00,425.80,3100.71,438.19
408.23,420.65,426.05,442.00,446.61
405.69,403.48,427.01,473.53,539.96
420.28,501.93,425.44,488.01,466.93
408.62,408.05,423.71,436.17,2849.58
406.17,404.26,426.00,447.25,520.91
426.66,409.33,424.13,430.83,438.92
419.71,404.41,427.25,442.03,492.33
405.32,406.71,457.33,446.85,441.97
405.30,442.12,433.82,436.50,457.60
410.53,405.01,428.68,445.78,423.76
407.01,403.35,435.23,475.26,434.91
1404.86,407.75,447.08,451.31,426.39
408.35,404.99,425.78,442.49,439.42
407.66,413.07,478.20,449.12,437.64
408.68,414.38,438.49,2851.58,2879.98
411.40,404.07,427.02,436.80,435.14
408.75,404.33,422.38,471.10,453.83
404.01,405.04,473.75,448.54,2138.09
1403.16,403.12,427.46,487.07,482.72
412.97,407.77,429.28,453.40,447.14
409.42,405.39,426.83,436.81,498.39
1415.84,404.15,424.87,435.05,429.50
404.48,404.09,422.77,463.89,437.11
403.96,403.64,4165.38,437.74,430.18
405.39,407.62,423.61,447.99,424.26
403.80,403.75,424.89,456.90,436.77
424.36,403.67,430.83,464.32,451.41
405.24,404.54,455.83,473.33,445.61
417.05,403.06,436.38,460.46,452.27
405.62,404.47,436.95,3639.55,470.17
409.53,405.40,451.85,442.40,2859.45
449.03,404.39,434.49,499.29,2870.85
429.03,404.09,440.29,486.51,440.08
405.23,403.93,430.79,431.56,465.75
403.81,406.59,471.09,478.91,433.95
413.06,405.41,455.88,428.85,430.07
1416.19,404.64,426.58,482.56,494.41
404.00,404.09,425.26,431.11,437.65
405.68,403.46,438.50,434.60,425.33
412.25,405.47,428.21,446.73,435.08
428.27,407.20,430.77,501.97,437.70
406.49,403.93,426.23,470.33,445.52
407.71,410.93,431.76,449.57,447.93
404.25,1410.60,444.49,465.96,430.21
