P-256,x25519,hqc128,p256_hqc128,x25519_hqc128
630.91,1403.19,488.75,637.70,628.83
407.82,414.71,447.24,432.85,427.22
1533.79,1404.63,429.32,5031.10,436.93
434.79,406.77,424.96,446.90,442.83
405.99,1403.56,423.52,434.55,427.76
430.56,435.69,467.77,448.47,432.30
404.98,404.50,428.21,448.83,444.98
422.73,403.33,425.41,450.86,2861.04
407.38,404.65,428.95,466.50,426.33
469.31,406.41,1826.01,521.65,481.08
1533.86,1403.94,1826.69,434.68,438.33
405.44,405.65,427.94,466.89,431.55
410.01,3702.24,3548.97,2864.28,429.94
1419.51,403.70,421.62,438.39,2850.10
409.30,403.71,459.27,448.46,1834.44
411.75,403.98,6601.82,427.76,424.71
1426.73,416.32,420.44,3884.63,426.92
408.14,404.43,429.47,1838.21,453.58
407.15,404.06,424.59,437.52,424.43
1416.36,1405.61,2842.00,436.33,431.29
404.69,407.46,422.41,3676.07,425.81
1403.95,407.67,3459.19,430.29,421.98
405.44,405.92,454.56,440.32,434.54
405.00,404.82,460.44,438.60,427.40
404.76,405.53,450.06,435.44,432.19
407.54,403.75,2850.45,432.06,428.38
404.53,405.93,436.04,452.20,426.15
404.30,408.67,425.49,434.18,427.49
409.79,405.69,3465.62,469.76,445.43
405.39,414.50,432.77,462.62,477.58
1403.50,403.32,444.67,471.85,438.48
1403.82,407.14,431.37,2869.45,431.26
406.29,406.89,451.95,439.92,440.50
403.26,405.05,1832.15,496.14,449.49
403.63,1406.44,491.00,5541.60,445.46
404.63,405.88,521.51,432.05,434.10
403.11,1404.86,430.93,437.61,431.20
403.92,420.38,423.64,453.01,476.63
1408.78,403.19,423.18,444.35,429.98
403.82,410.47,420.13,3466.10,459.23
432.01,1402.65,3067.86,445.66,433.71
403.63,403.48,430.98,436.73,430.46
1411.62,1406.71,2850.89,2876.17,460.08
407.40,403.38,428.40,579.41,447.76
1403.31,1403.75,437.56,436.35,2850.49
409.73,403.61,423.41,433.77,3681.40
406.96,1405.04,427.02,432.20,449.62
1407.07,405.36,424.16,429.37,426.45
403.80,409.02,425.01,2853.51,508.50
403.56,406.83,421.22,438.66,442.74
