P-256,x25519,hqc128,p256_hqc128,x25519_hqc128
1244.11,146.49,307.19,204.40,230.17
1092.01,77.55,120.73,282.05,157.40
77.96,90.93,200.85,139.32,400.56
82.01,76.38,1962.35,171.20,129.05
77.82,81.62,107.33,182.18,178.50
77.72,81.06,1217.99,316.01,110.50
83.07,81.52,133.96,147.66,99.74
77.34,73.96,113.22,142.50,108.75
79.07,76.05,195.40,105.50,142.56
157.40,78.58,134.31,137.94,378.53
90.90,80.66,273.37,219.61,1315.84
134.76,85.25,195.34,106.94,135.01
90.35,76.92,221.25,153.99,110.79
75.60,78.96,131.29,122.66,205.72
1089.34,73.18,135.12,211.47,198.81
101.53,81.67,123.37,111.64,816.47
76.08,80.83,172.60,190.99,130.59
81.87,76.94,160.93,223.51,144.99
76.75,83.39,125.62,165.45,155.62
117.95,74.34,102.42,188.57,112.75
99.25,73.32,317.92,184.34,118.95
75.10,81.55,211.99,168.18,105.28
76.57,73.05,180.66,219.61,98.01
80.15,1123.06,174.13,343.33,165.55
82.28,77.32,125.19,192.97,858.44
82.12,128.27,398.02,161.41,155.08
85.26,73.22,104.91,486.42,115.86
76.25,1159.10,165.74,171.48,175.95
88.92,81.92,122.07,165.08,199.62
90.46,81.61,334.56,156.47,106.88
75.27,73.73,143.22,116.83,327.38
77.32,78.52,156.22,189.67,141.07
80.32,81.20,133.67,138.41,124.86
102.11,87.51,97.42,219.69,138.23
78.04,85.76,101.92,167.69,194.30
83.92,104.55,117.65,127.74,110.46
92.28,73.27,199.27,150.16,1215.09
92.77,117.23,118.60,147.74,94.11
78.34,81.94,95.36,190.44,129.60
94.86,133.84,115.40,135.34,123.65
129.80,74.40,135.77,186.70,118.64
88.93,108.65,127.44,126.12,114.97
98.23,99.33,107.32,132.75,150.47
87.22,98.61,97.37,159.26,137.92
77.65,134.21,98.32,115.26,115.39
82.10,72.99,496.23,112.49,195.55
74.75,98.01,150.40,123.10,151.76
76.80,78.96,125.53,152.24,148.69
82.53,77.88,128.04,836.53,126.41
82.91,73.26,112.14,172.59,107.33
