P-256,x25519,hqc128,p256_hqc128,x25519_hqc128
24.14,3.81,27.10,219.52,67.67
12.41,13.00,28.99,37.44,33.95
7.13,4.20,26.68,68.11,57.01
4.55,21.57,307.68,48.07,86.66
6.67,3.03,143.30,60.19,23.68
4.34,3.45,29.81,37.33,34.33
10.99,8.35,23.40,52.72,145.81
4.62,4.68,38.21,105.96,48.79
8.41,3.85,34.59,206.73,43.73
4.29,5.67,24.05,101.00,43.54
4.95,9.48,22.28,87.30,588.24
15.34,2.48,25.91,185.53,111.08
4.05,14.23,29.14,44.24,34.09
6.35,3.04,22.79,35.54,51.34
2.82,2.75,38.49,28.26,120.74
3.26,2.56,55.05,36.39,152.19
4.35,14.41,38.52,285.84,24.17
6.58,2.32,26.05,70.99,74.17
26.46,2.77,25.14,47.35,26.73
3.01,3.41,24.23,37.45,36.72
3.24,2.60,50.18,100.10,53.65
2.46,2.87,29.06,75.03,31.29
3.91,8.57,23.42,154.04,29.24
18.08,10.90,43.87,560.95,57.49
72.51,3.58,37.76,258.26,31.52
20.60,2.75,31.27,89.60,27.80
12.07,4.87,25.02,54.57,80.92
5.71,4.86,25.09,45.31,270.05
8.30,37.37,54.95,269.71,34.10
15.88,7.57,155.02,172.91,33.23
5.30,12.16,41.96,96.50,24.27
2.98,2.69,50.42,459.55,43.35
3.53,2.37,46.28,220.65,28.45
21.10,3.28,97.58,150.75,121.38
2.87,2.75,244.14,30.66,36.17
15.92,8.95,262.98,66.32,27.01
8.58,13.69,49.93,56.70,28.99
2.73,3.90,48.18,32.93,36.93
3.24,2.57,26.58,47.66,28.92
5.35,24.99,28.54,39.57,25.07
6.00,4.87,29.38,36.56,32.12
15.65,4.43,21.95,70.05,53.37
12.90,3.21,39.32,38.69,54.90
5.23,3.66,46.65,92.31,56.12
5.09,4.88,26.82,33.17,73.14
4.03,40.36,27.70,123.93,35.03
3.15,2.88,37.70,139.66,67.59
8.07,5.71,22.90,97.36,39.86
7.62,2.37,26.95,30.67,41.06
39.73,7.59,27.73,132.78,72.21
