P-256,x25519,hqc128,p256_hqc128,x25519_hqc128
1011.61,1212.05,765.27,1279.46,1231.04
806.24,827.47,830.19,867.42,839.18
2252.36,809.54,848.63,860.21,828.09
808.67,823.26,832.72,864.43,853.21
806.57,824.19,826.08,1619.96,829.84
807.31,805.82,827.59,844.24,829.61
813.81,812.41,863.18,1885.25,825.46
823.59,810.00,1875.91,847.64,846.58
805.28,804.80,879.95,852.44,2229.46
2236.45,810.89,923.86,849.90,4534.63
809.68,806.99,846.02,1615.80,853.11
808.48,809.65,845.42,832.67,862.26
2804.70,811.07,876.21,859.88,831.34
1613.69,820.80,885.76,842.51,2227.24
804.54,845.37,846.80,906.88,842.89
815.39,814.11,1941.52,848.23,836.73
807.09,805.33,994.59,892.28,841.72
809.40,811.61,841.85,852.20,860.93
814.27,3804.23,829.73,844.18,847.27
806.60,813.62,857.13,885.23,839.19
805.85,818.33,1616.34,842.12,835.76
805.40,812.58,2233.86,846.32,837.03
1612.78,817.55,831.31,907.34,2228.62
1808.22,812.60,834.80,854.83,887.44
805.95,805.22,859.45,890.49,1914.17
3145.66,809.53,828.47,834.73,836.19
808.66,811.72,891.77,837.82,840.40
805.98,809.34,829.42,838.47,896.01
811.33,804.09,865.00,837.53,859.89
806.54,805.50,823.12,841.14,837.98
807.45,821.01,868.66,837.72,890.31
807.21,810.15,841.53,834.50,825.90
2806.09,806.26,841.93,839.40,4496.33
821.48,811.15,831.89,848.01,2233.10
2811.78,822.92,846.29,919.81,933.66
809.43,807.99,839.53,861.31,843.35
805.22,853.76,865.03,885.70,845.08
810.49,806.07,889.39,900.83,4562.44
806.47,809.13,837.74,1004.92,830.98
807.02,833.21,827.13,872.76,832.30
809.32,824.05,821.99,863.13,3434.47
805.47,805.56,833.03,870.10,846.13
807.08,806.07,832.89,846.82,823.71
805.49,806.92,826.45,850.31,843.81
812.33,816.75,837.58,846.60,1613.28
806.72,2806.17,1626.87,860.33,874.49
827.56,821.72,825.95,871.02,827.46
824.49,810.46,881.76,870.62,837.49
812.22,807.49,869.40,853.54,828.08
805.53,832.09,844.33,854.55,1634.53
