P-256,x25519,hqc128,p256_hqc128,x25519_hqc128
26.96,4.47,27.60,40.16,73.82
4.66,4.73,22.89,52.09,27.55
19.91,12.14,75.63,31.54,29.05
4.95,8.14,25.59,32.51,39.90
4.14,6.64,38.98,39.55,33.25
11.06,4.91,32.61,30.44,125.22
3.79,32.51,50.49,44.41,25.28
8.79,4.32,92.03,71.89,29.18
10.36,6.50,28.24,114.96,133.94
8.00,8.26,39.65,35.16,30.53
4.51,6.11,49.65,37.56,24.03
18.42,25.74,91.51,54.70,35.23
4.36,6.91,158.60,38.32,67.92
9.04,6.04,67.46,30.80,24.45
17.75,9.41,30.26,45.44,41.22
3.04,3.56,31.97,52.71,66.08
12.71,60.06,89.35,35.74,53.95
7.91,18.38,39.21,89.45,29.33
7.81,3.25,40.53,41.89,47.23
9.33,3.01,32.31,55.76,288.83
5.36,31.52,62.86,48.91,27.59
5.08,9.66,59.13,57.41,66.22
15.97,3.19,22.43,36.41,31.09
7.32,3.11,28.60,319.97,86.22
9.70,3.26,34.40,37.95,100.96
5.26,6.75,33.96,31.40,378.73
3.26,31.46,21.88,30.82,136.64
10.32,10.39,69.17,35.31,131.42
3.35,14.36,39.95,116.49,117.10
13.29,9.90,24.61,153.34,39.16
3.57,5.95,51.72,186.22,34.07
23.43,14.54,85.24,40.93,26.69
27.04,2.69,101.07,34.91,24.36
6.88,5.75,57.00,32.13,35.34
3.49,2.75,22.07,58.60,24.19
8.99,5.26,33.47,46.66,31.56
39.50,3.30,34.28,47.88,38.20
7.61,6.28,69.58,32.38,44.60
3.44,3.40,23.12,78.34,67.82
4.67,6.34,23.08,32.72,45.89
5.92,7.89,67.93,34.62,42.02
3.28,16.58,39.35,29.93,24.02
13.62,18.52,25.83,46.80,39.55
25.79,8.66,22.48,29.91,26.30
3.17,4.83,22.03,26.71,27.16
39.35,17.26,25.24,37.09,24.71
3.07,14.04,34.90,51.06,32.29
3.50,3.14,48.41,34.72,105.16
19.58,11.99,24.48,56.01,33.88
11.10,3.21,26.72,45.91,24.66
