P-384,x448,hqc192,p384_hqc192,x448_hqc192
230.99,222.88,629.43,519.80,211.87
387.97,187.37,245.08,407.84,459.14
152.00,153.91,450.31,359.61,251.42
205.22,149.53,290.69,374.94,253.63
155.23,158.32,294.65,418.01,217.91
215.57,149.68,247.66,321.00,229.81
189.24,161.84,299.18,1438.78,241.70
158.93,167.24,233.53,263.66,240.40
184.97,146.31,314.43,250.40,339.12
149.73,153.97,362.26,229.80,265.71
158.00,151.04,207.16,392.77,262.81
165.84,173.06,339.58,263.53,356.20
151.47,179.26,302.24,262.25,253.32
221.46,153.93,301.52,331.11,220.49
170.06,165.82,324.15,266.79,225.10
169.78,169.46,266.95,257.15,375.64
149.90,223.53,291.93,432.85,347.81
150.52,162.03,273.43,265.71,236.32
162.69,148.47,1385.34,399.57,219.52
151.96,164.02,869.86,270.83,240.46
183.02,214.27,337.68,621.51,213.77
158.39,154.77,224.04,375.74,250.62
161.31,173.66,346.04,395.80,263.13
174.89,177.62,542.63,318.97,263.41
149.86,208.09,306.94,1497.70,352.84
156.80,227.05,359.68,232.60,219.17
150.92,153.35,320.85,1419.27,289.50
164.51,7163.93,253.95,673.11,278.28
167.42,148.97,256.66,570.74,373.52
153.13,189.75,369.50,241.67,297.77
159.64,158.90,248.97,267.25,245.03
169.16,156.70,276.52,239.93,296.41
161.26,153.01,403.34,562.60,421.46
187.86,176.82,325.11,426.72,265.45
200.12,162.40,303.91,1123.62,474.60
192.06,150.41,538.50,1995.26,305.83
177.81,149.00,361.00,240.33,340.71
175.82,176.63,365.60,412.54,221.38
152.08,151.46,222.22,277.63,270.01
188.03,176.85,272.64,312.58,285.01
149.05,153.42,307.99,243.76,1663.96
161.67,151.43,231.81,595.54,275.92
1179.27,149.48,292.06,298.72,330.40
396.40,1117.32,535.12,239.43,338.36
168.47,153.20,236.59,1318.10,312.28
283.66,3166.24,264.93,349.14,229.39
173.23,361.69,211.65,308.28,308.44
171.35,300.94,213.52,1309.57,295.57
185.02,153.35,220.12,235.74,332.00
276.27,152.16,330.37,214.59,253.10
