P-521,hqc256,p521_hqc256
1268.84,3407.24,2910.14
820.93,2421.52,3489.63
833.78,2174.80,1415.82
818.49,2548.25,2240.13
817.91,2841.45,2017.03
807.01,2210.72,2438.75
823.81,4697.84,3590.83
834.05,3005.34,2404.24
857.47,2260.88,2087.29
2060.20,1959.87,2271.72
822.71,2271.47,2038.87
810.60,2439.69,2820.45
886.60,2229.37,2223.97
902.44,2141.67,3390.78
809.78,2173.95,2561.27
818.21,2057.97,2215.37
2266.55,2037.96,2693.25
824.21,2138.87,3009.82
818.32,1223.27,3269.92
878.05,1170.92,2505.69
826.01,2253.14,2671.99
836.32,2174.82,1844.75
829.91,1976.91,2033.22
3850.75,2043.58,2548.27
869.57,5460.73,2210.07
4567.54,2149.56,2745.65
829.61,3692.59,2202.71
892.51,2100.03,2495.94
818.01,2103.81,2066.77
1021.50,2108.29,2172.29
814.40,2778.52,2006.76
808.67,3764.71,2076.24
843.29,1340.12,2175.16
864.85,2397.31,1210.77
815.01,2369.14,2633.64
829.84,2522.34,2157.30
813.04,2221.27,2081.44
812.39,2444.00,3772.00
807.55,2207.30,2547.68
848.22,2658.24,2416.58
3853.19,4010.38,6908.10
821.50,2711.09,2447.47
850.76,4150.82,2466.99
816.40,1459.18,2426.86
847.20,2766.89,2211.25
831.39,2063.27,2424.14
808.68,2390.13,2267.07
831.32,4470.57,3457.31
834.04,2093.95,2251.71
858.74,2212.60,2135.16
