P-521,hqc256,p521_hqc256
248.22,576.69,238.97
163.63,794.51,536.97
218.21,409.58,595.13
154.45,770.23,525.34
217.53,1508.70,511.31
157.08,322.54,535.90
178.71,353.14,386.39
152.92,906.57,475.57
198.39,939.44,655.28
166.01,915.93,532.54
166.17,436.55,596.62
207.00,275.58,312.25
165.90,780.83,550.14
174.42,545.17,593.08
266.19,528.70,530.35
154.45,919.96,525.44
299.47,490.03,803.69
150.42,682.17,664.13
151.31,537.96,1341.23
176.53,314.10,596.00
157.30,549.65,852.19
1282.95,747.07,523.51
222.35,616.89,514.75
3157.39,508.60,709.62
154.06,286.10,274.13
172.49,501.99,317.83
169.80,773.17,563.23
184.89,364.66,969.66
149.01,628.94,863.37
153.39,908.24,538.12
179.64,520.43,620.67
196.22,564.57,809.80
163.71,575.38,393.06
434.06,553.30,683.28
176.00,452.91,706.04
304.61,250.56,398.77
158.74,525.73,1711.81
160.22,562.57,896.62
157.80,502.46,488.02
185.00,387.19,347.65
147.16,554.49,405.82
151.83,539.47,522.07
170.51,598.41,570.50
167.88,613.42,865.39
152.35,490.20,494.79
153.97,427.90,2397.58
226.47,652.08,536.32
149.01,530.38,792.57
154.53,538.80,615.21
176.15,360.48,1028.57
