P-521,hqc256,p521_hqc256
6.51,327.25,127.09
9.98,322.66,149.88
15.67,222.27,163.78
11.12,136.19,147.49
7.09,143.12,235.97
107.80,430.65,187.15
135.86,161.12,441.21
12.17,365.42,218.11
6.52,180.20,146.21
21.70,160.31,140.21
46.61,146.89,195.03
22.77,107.82,301.39
6.41,132.99,131.52
7.26,593.20,140.28
10.51,115.52,172.99
13.45,133.16,116.08
7.18,290.10,217.57
9.28,110.17,123.02
12.73,95.86,436.18
8.52,115.53,173.66
7.14,105.84,119.98
16.13,205.10,455.10
50.57,141.56,141.70
16.96,158.35,126.08
11.24,135.14,249.65
38.50,310.64,155.30
5.97,105.60,227.04
18.23,160.47,219.71
19.71,196.53,367.30
108.20,219.61,143.67
26.94,136.68,180.26
5.60,157.48,143.15
7.75,354.19,182.07
10.35,239.91,133.19
14.78,133.82,121.67
33.84,118.30,109.44
6.81,135.00,116.85
9.94,112.91,222.42
36.77,116.70,168.50
23.81,130.09,596.24
14.40,150.04,1285.39
19.96,293.83,749.11
13.66,160.36,318.89
5.80,205.26,186.85
10.80,142.19,113.92
19.57,128.11,155.49
5.32,179.91,121.60
30.68,117.90,138.42
53.73,207.31,301.15
36.91,122.76,403.09
