P-384,x448,hqc192,p384_hqc192,x448_hqc192
622.49,811.84,895.33,925.37,693.28
409.64,406.82,507.92,475.46,463.78
410.35,412.91,469.77,510.04,471.40
413.93,411.70,496.62,1928.89,486.59
412.22,410.84,472.78,506.14,464.70
419.07,417.29,468.03,536.03,472.70
409.18,417.96,471.89,515.25,468.41
1415.89,412.04,472.16,487.16,554.11
412.13,415.52,1939.52,477.98,516.14
415.99,406.59,502.13,475.14,494.08
410.93,412.12,469.73,473.91,485.16
415.71,407.95,539.15,491.67,489.40
427.34,424.53,466.57,1889.46,536.61
420.74,414.28,575.63,510.77,463.29
409.78,1421.09,467.29,489.43,501.54
414.74,406.77,472.00,479.22,481.64
423.72,407.67,2611.56,479.06,491.76
420.41,420.42,483.09,568.68,493.70
414.26,411.81,581.19,482.79,528.00
408.72,411.28,501.63,491.14,494.42
1422.64,412.70,492.87,493.97,504.10
411.04,409.04,2612.53,504.10,524.04
1421.47,407.49,476.38,542.49,493.12
409.43,407.56,471.43,493.10,472.48
409.68,407.44,469.28,522.36,471.10
413.37,410.06,455.79,508.98,475.11
418.27,414.81,499.04,493.37,481.71
413.16,407.60,4671.25,686.84,463.88
411.68,410.42,465.41,558.13,469.74
416.15,413.50,472.45,650.63,470.02
411.18,405.92,474.31,477.45,467.42
415.48,409.67,472.31,522.38,491.80
411.20,406.48,468.15,558.80,1875.66
418.56,1418.64,498.80,488.82,478.06
414.94,406.50,588.96,498.16,555.17
426.95,406.79,465.35,543.95,478.50
422.00,410.29,524.20,502.80,480.59
436.52,410.78,475.56,533.23,470.59
444.12,1414.06,499.41,472.58,476.96
421.71,406.89,458.37,502.43,481.65
1418.65,421.50,563.71,485.03,1866.52
1415.72,1408.77,499.05,518.33,464.42
1408.37,417.20,476.68,475.68,472.94
448.51,407.14,3832.36,521.31,485.85
413.53,409.65,458.48,550.17,470.54
416.68,412.13,486.62,500.80,472.52
410.96,428.64,1871.74,639.96,472.58
411.46,421.97,476.05,512.34,471.10
409.34,427.56,461.35,520.07,2643.99
428.32,1426.84,484.01,502.64,477.18
