P-384,x448,hqc192,p384_hqc192,x448_hqc192
611.93,813.61,887.31,969.65,499.61
406.58,422.27,475.98,482.55,569.12
1415.96,412.49,489.81,499.32,465.31
415.29,407.46,489.35,481.87,3037.66
1409.58,415.86,2762.97,509.02,474.96
412.00,2413.50,473.08,480.26,553.59
411.66,408.66,1871.01,542.58,548.15
409.75,3407.70,470.36,6929.78,497.85
418.03,412.41,488.43,491.65,466.74
1412.79,3404.71,477.34,469.90,486.69
410.14,414.05,476.63,503.23,538.31
409.29,409.76,474.87,2959.60,469.48
408.74,407.91,1878.35,482.58,493.18
413.17,408.66,3888.45,480.18,461.62
411.83,463.69,467.74,504.71,4106.26
1415.07,406.59,463.75,2747.68,513.07
1439.69,432.50,497.24,477.70,461.51
410.86,1427.59,473.12,3828.88,640.41
416.75,413.14,457.60,492.67,515.14
438.41,434.28,457.50,514.12,463.98
415.96,1411.78,2740.92,1873.89,469.89
1412.06,428.97,467.65,483.96,468.60
408.37,409.85,478.07,481.25,503.99
442.26,420.39,589.95,473.93,563.46
413.00,443.90,3511.96,494.02,494.18
1409.65,421.12,532.78,522.32,480.12
413.45,455.02,1898.51,483.18,505.99
431.53,415.60,472.71,499.51,471.58
410.02,410.66,462.90,496.98,482.09
432.54,412.65,9273.88,473.14,472.72
1425.49,424.92,531.59,483.59,477.88
452.98,407.90,479.15,1885.51,470.43
1410.33,1407.16,474.72,487.07,487.64
1416.78,411.31,471.95,477.98,1882.49
420.28,406.71,460.61,471.37,4745.81
418.04,419.45,485.63,551.07,1882.80
416.82,407.57,467.97,479.05,514.04
411.97,411.60,535.04,480.93,491.02
412.09,407.14,461.34,487.49,478.76
410.49,407.03,471.49,480.50,539.37
411.49,410.68,1871.36,3293.60,476.42
427.91,414.04,2732.60,482.72,493.73
408.54,1408.42,483.98,485.78,474.42
1418.74,409.14,477.03,472.78,465.78
414.41,3405.49,465.02,564.66,508.70
423.10,412.13,463.13,2743.24,474.93
1518.16,407.86,468.33,7905.26,476.69
497.82,3415.58,469.79,788.11,480.23
409.09,406.78,455.03,547.40,2730.99
418.69,419.44,468.56,720.71,482.54
