P-384,x448,hqc192,p384_hqc192,x448_hqc192
1248.47,158.84,1299.68,339.98,1527.84
150.86,213.41,136.47,175.02,338.54
192.83,93.37,147.21,142.51,179.07
155.19,82.92,616.20,332.60,141.81
123.73,200.08,368.96,293.65,381.34
112.39,104.59,213.70,203.70,271.51
97.69,172.99,220.44,201.39,249.59
93.03,80.24,281.25,169.94,252.39
85.64,88.48,537.36,178.45,261.69
78.68,84.67,401.30,160.25,413.87
122.97,82.37,145.24,1290.97,296.44
97.26,1075.92,181.56,162.70,187.89
89.51,80.19,281.71,350.65,204.76
96.86,80.56,571.92,272.69,355.60
94.17,82.68,384.88,609.18,451.33
90.11,81.79,150.91,185.05,662.73
192.62,81.21,171.54,171.03,390.51
111.11,82.36,269.44,170.67,151.52
85.95,95.13,307.26,878.52,410.90
80.03,106.05,181.77,198.93,374.35
92.54,81.21,181.50,198.50,905.63
135.39,97.75,189.62,301.44,298.15
96.53,218.23,145.97,201.01,232.56
108.32,123.82,211.98,176.66,938.00
118.23,163.11,208.13,218.87,170.59
153.10,135.96,361.27,193.03,372.38
179.66,87.36,247.91,192.32,330.89
181.61,117.53,598.31,194.78,226.54
86.77,1104.75,313.30,470.30,771.98
151.41,79.77,171.47,342.03,444.09
135.36,76.67,417.05,202.26,189.31
79.94,77.85,137.46,212.33,146.47
94.38,98.60,450.67,256.25,348.85
90.95,153.97,373.87,253.42,256.80
105.58,90.44,132.38,381.05,153.05
124.41,96.68,156.24,225.32,263.39
96.47,85.67,159.10,511.67,397.91
104.00,116.77,385.25,300.90,1370.75
112.73,81.95,541.87,1606.15,169.59
105.98,103.22,744.52,276.68,380.07
109.82,86.01,201.99,193.16,156.58
95.69,1082.12,161.96,200.60,260.67
194.34,104.91,194.61,214.07,436.10
104.06,123.63,229.94,257.57,446.89
89.47,117.41,311.38,171.12,575.34
90.98,96.99,294.20,154.18,202.07
86.76,82.47,219.99,198.40,314.08
88.31,77.73,173.00,151.85,387.14
100.75,106.69,363.12,244.82,394.33
94.98,128.75,390.84,193.95,208.26
