P-384,x448,hqc192,p384_hqc192,x448_hqc192
28.96,32.92,66.88,199.25,68.70
17.63,5.71,210.82,124.93,70.09
74.68,9.31,160.86,97.62,372.19
104.56,6.79,90.76,79.52,261.26
49.04,7.85,125.14,86.04,69.77
10.38,20.39,96.59,309.24,115.80
7.12,15.79,89.77,410.96,126.09
18.16,130.51,61.24,144.72,81.83
18.62,16.24,134.51,583.04,222.00
9.59,69.79,109.08,263.04,66.19
8.74,7.35,371.93,91.50,91.97
7.84,6.63,65.45,97.07,66.28
10.32,10.45,102.42,81.83,65.81
54.89,6.17,78.05,104.45,164.42
33.12,8.76,60.82,197.13,263.67
8.86,11.36,90.67,129.28,139.05
7.08,6.72,127.35,215.23,217.57
9.17,10.50,67.58,73.98,241.27
8.63,7.99,72.18,96.48,94.53
14.08,16.54,141.25,107.34,100.04
27.23,27.92,128.19,107.51,62.44
8.65,17.05,101.20,91.43,77.80
24.00,8.89,92.16,70.30,132.34
53.30,5.92,76.99,255.03,116.30
53.06,9.91,72.89,83.99,101.28
33.15,5.37,85.15,118.29,69.31
28.11,11.10,98.21,93.45,92.37
7.19,28.17,70.90,98.43,73.63
10.74,34.14,92.99,102.75,105.62
48.47,11.56,167.36,144.43,72.26
32.45,28.94,70.95,88.19,82.99
10.52,10.49,70.24,287.84,499.74
22.04,7.53,74.89,91.18,75.21
16.57,12.10,72.92,143.36,81.37
16.29,22.36,68.86,98.20,74.44
11.94,16.05,95.23,311.74,93.88
22.83,12.50,89.95,118.77,407.57
19.67,6.23,72.52,187.28,90.83
7.67,10.12,63.37,326.10,111.78
30.06,10.66,161.08,90.00,334.70
50.57,6.92,69.79,96.90,334.72
8.96,12.10,125.40,75.91,77.53
7.44,14.05,83.47,74.74,97.94
44.76,6.25,213.91,141.18,91.95
21.89,15.10,138.54,123.77,163.87
37.42,5.81,152.41,107.39,133.59
35.19,10.68,67.38,154.94,243.89
8.36,5.19,58.72,78.40,132.51
7.96,6.94,138.00,80.19,66.48
7.82,7.83,194.72,80.47,90.72
